Id	MachineId	LastRestockCashSalesAmountInCents	LastRestockCashInAmountInCents	LastRestockCashSalesQuantity	LastRestockBillsInAmount	LastRestockCoinsToTubesAmountInCents	LastRestockCoinsToBoxAmountInCents	CashSalesAmountInCents	CashInAmountInCents	CashSalesQuantity	BillsInAmount	CoinsToBoxAmountInCents	CoinsToTubeAmountInCents	CollectionDateTime	LastCollectionDateTime	CreatedByBackRestock	CollectedBillsAmount	CollectedCoinsAmountInCents	RefundAmountInCents	LastRestockCardSalesQuantity	LastRestockCardSalesAmountInCents	LastRestockTokenSalesQuantity	LastRestockTokenSalesAmountInCents	LastRestockCashDispensedAmountInCents	CardSalesQuantity	CardSalesAmountInCents	TokenSalesQuantity	TokenSalesAmountInCents	CashDispensedAmountInCents	CoinRefillAmountInCents	LastRestockTestVendAmountInCents	CoinsInTubeAmountInCents	FreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesQuantity	LastRestockFreeSalesAmountInCents	BagNumber	CollectedTokensCount	CollectedTokensAmountInCents	CreatedDateTime	CreatedBy	Deleted	PrepickId	LastRestockAllSalesAmountInCents	AllSalesAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	PreviousRestockUtcDateTime	RestockUtcDateTime	CreatedUtcDateTime	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleId	ScheduleDate	LastUpdateReason	LastUpdatedByUserId	
=9911	=44	=4105	=6095	=25	=53	=520	=275	=4713915	=6447975	=28280	=53369	=389415	=721660	=08/08/2013 09:04:57	=08/05/2013 10:14:04	=0	=0	=0	=0	=3	=700	=0	=0	=1990	=6599	=1202445	=0	=0	=1747030	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 09:04:59	[NULL]	=False	=3858	=4805	=5916360	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 06:04:57	=08/08/2013 06:04:59	[NULL]	[NULL]	[NULL]	[NULL]	=4623	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9912	=52	=3150	=3150	=20	=26	=945	=65	=3101185	=3101450	=23933	=25026	=352450	=737245	=08/08/2013 09:12:16	=08/01/2013 12:08:59	=0	=0	=0	=0	=0	=0	=0	=0	=460	=0	=0	=0	=0	=486855	=0	[NULL]	[NULL]	=38	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 09:12:17	[NULL]	=False	=3859	=3150	=3101185	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 06:12:16	=08/08/2013 06:12:17	[NULL]	[NULL]	[NULL]	[NULL]	=4624	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9913	=16	=2400	=2400	=12	=23	=550	=50	=5543070	=5543070	=45930	=46586	=912565	=725415	=08/08/2013 09:33:30	=08/05/2013 10:25:39	=0	=0	=0	=0	=0	=0	=0	=0	=500	=11000	=1331650	=0	=0	=747665	=0	[NULL]	[NULL]	=37	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 09:33:31	[NULL]	=False	=3860	=2400	=6874720	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 06:33:30	=08/08/2013 06:33:31	[NULL]	[NULL]	[NULL]	[NULL]	=4625	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9914	=41	=7100	=10310	=41	=95	=790	=20	=3643210	=5076860	=21769	=43416	=166305	=568955	=08/08/2013 09:49:18	=08/02/2013 13:30:27	=0	=0	=0	=0	=3	=525	=0	=0	=3210	=2535	=459625	=0	=0	=1455040	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 09:49:19	[NULL]	=False	=3860	=7625	=4102835	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 06:49:18	=08/08/2013 06:49:19	[NULL]	[NULL]	[NULL]	[NULL]	=4625	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9915	=31	=3325	=4180	=32	=32	=460	=520	=1182810	=1457575	=10981	=39	=800	=156190	=08/08/2013 10:12:11	=08/05/2013 10:22:29	=0	=0	=0	=0	=1	=125	=0	=0	=855	=2	=250	=0	=0	=383495	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 10:12:13	[NULL]	=False	=3860	=3450	=1183060	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 07:12:11	=08/08/2013 07:12:13	[NULL]	[NULL]	[NULL]	[NULL]	=4625	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9916	=7	=3950	=5150	=22	=38	=1135	=215	=4227750	=4735070	=34757	=34131	=847745	=474225	=08/08/2013 11:27:42	=08/01/2013 11:23:39	=0	=0	=0	=0	=0	=0	=0	=0	=1200	=0	=0	=0	=0	=465215	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 11:27:42	[NULL]	=False	=3861	=3950	=4227750	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 08:27:42	=08/08/2013 08:27:42	[NULL]	[NULL]	[NULL]	[NULL]	=4626	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9917	=9	=5075	=5075	=29	=33	=350	=1800	=3180435	=3181435	=24490	=25436	=605910	=516895	=08/08/2013 11:36:05	=08/01/2013 11:28:07	=0	=0	=0	=0	=0	=0	=0	=0	=375	=0	=0	=0	=0	=506560	=0	[NULL]	[NULL]	=38	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 11:36:05	[NULL]	=False	=3861	=5075	=3180435	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 08:36:05	=08/08/2013 08:36:05	[NULL]	[NULL]	[NULL]	[NULL]	=4626	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9918	=6	=4100	=5380	=41	=36	=580	=1200	=2180650	=3042535	=21951	=640	=6050	=304085	=08/08/2013 11:56:29	=08/07/2013 10:54:37	=0	=0	=0	=0	=4	=530	=0	=0	=1280	=29	=3205	=0	=0	=1013775	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 11:56:29	[NULL]	=False	=3861	=4630	=2183855	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 08:56:29	=08/08/2013 08:56:29	[NULL]	[NULL]	[NULL]	[NULL]	=4626	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9919	=8	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/08/2013 11:20:00	=07/29/2013 14:30:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 12:52:28	=broman@tmcc.edu	=False	=3861	=9250	=2624040	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 08:20:00	=08/08/2013 09:52:29	=4433	[NULL]	[NULL]	[NULL]	=4626	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9920	=28	=1050	=1150	=6	=7	=200	=250	=12133565	=14341025	=95937	=110107	=1438130	=1892195	=08/08/2013 15:47:03	=08/07/2013 15:53:47	=0	=0	=0	=0	=3	=875	=0	=0	=100	=25887	=3857885	=0	=0	=2156300	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 15:47:03	[NULL]	=False	=3862	=1925	=15991450	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 12:47:03	=08/08/2013 12:47:03	[NULL]	[NULL]	[NULL]	[NULL]	=4627	=08/08/2013 00:00:00	[NULL]	[NULL]	
