Id	CalculatedTaxRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
=15544	=119557	=248	=4920	=4920	=4920	=4920.00000	=307.50000	=0	
=15545	=119557	=269	=1512	=1512	=1512	=1512.00000	=94.50000	=0	
=15546	=119557	=726	=3648	=3648	=3648	=3648.00000	=228.00000	=0	
=15547	=119558	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
=15548	=119558	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
=15549	=119558	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
=15550	=119559	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
=15551	=119559	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
=15552	=119559	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
=15553	=119560	=825	=1476	=1476	=1476	=1476.00000	=92.25000	=0	
=15554	=119560	=250	=3024	=3024	=3024	=3024.00000	=189.00000	=0	
=15555	=119561	=876	=3354	=3354	=3354	=3354.00000	=104.81250	=0	
=15556	=119561	=808	=452	=452	=452	=452.00000	=14.12500	=0	
=15557	=119562	=825	=1476	=1476	=1476	=1476.00000	=14.76000	=0	
=15558	=119562	=250	=3024	=3024	=3024	=3024.00000	=30.24000	=0	
=15559	=119563	=876	=3354	=3354	=3354	=3354.00000	=16.77000	=0	
=15560	=119563	=808	=452	=452	=452	=452.00000	=2.26000	=0	
