Id	CalculatedTaxRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
=15544	=119557	=248	=4920	=4920	=4920	=4920.00000	=307.50000	=0	
=15545	=119557	=269	=1512	=1512	=1512	=1512.00000	=94.50000	=0	
=15546	=119557	=726	=3648	=3648	=3648	=3648.00000	=228.00000	=0	
=15547	=119558	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
=15548	=119558	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
=15549	=119558	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
=15550	=119559	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
=15551	=119559	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
=15552	=119559	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
=15553	=119560	=825	=1476	=1476	=1476	=1476.00000	=92.25000	=0	
=15554	=119560	=250	=3024	=3024	=3024	=3024.00000	=189.00000	=0	
=15555	=119561	=876	=3354	=3354	=3354	=3354.00000	=104.81250	=0	
=15556	=119561	=808	=452	=452	=452	=452.00000	=14.12500	=0	
=15557	=119562	=825	=1476	=1476	=1476	=1476.00000	=14.76000	=0	
=15558	=119562	=250	=3024	=3024	=3024	=3024.00000	=30.24000	=0	
=15559	=119563	=876	=3354	=3354	=3354	=3354.00000	=16.77000	=0	
=15560	=119563	=808	=452	=452	=452	=452.00000	=2.26000	=0	
=15561	=119564	=248	=3904	=3904	=3904	=3904.00000	=244.00000	=0	
=15562	=119564	=260	=96	=96	=96	=96.00000	=6.00000	=0	
=15563	=119564	=726	=1844	=1844	=1844	=1844.00000	=116.00000	=0	
=15564	=119564	=825	=4434	=4434	=4434	=4434.00000	=277.00000	=0	
=15565	=119565	=336	=210	=210	=210	=210.00000	=6.00000	=0	
=15566	=119565	=336	=3000	=3000	=3000	=3000.00000	=93.00000	=0	
=15567	=119565	=336	=8580	=8580	=8580	=8580.00000	=268.00000	=0	
=15568	=119565	=358	=165	=165	=165	=165.00000	=5.00000	=0	
=15569	=119565	=358	=2400	=2400	=2400	=2400.00000	=75.00000	=0	
=15570	=119565	=897	=12960	=12960	=12960	=12960.00000	=405.00000	=0	
=15571	=119565	=926	=770	=770	=770	=770.00000	=25.00000	=0	
=15572	=119565	=926	=1540	=1540	=1540	=1540.00000	=48.00000	=0	
=15573	=119565	=926	=1980	=1980	=1980	=1980.00000	=62.00000	=0	
=15574	=119565	=991	=13800	=13800	=13800	=13800.00000	=431.00000	=0	
=15575	=119566	=248	=3904	=3904	=3904	=3904.00000	=39.00000	=0	
=15576	=119566	=260	=96	=96	=96	=96.00000	=1.00000	=45	
=15577	=119566	=726	=1844	=1844	=1844	=1844.00000	=18.00000	=0	
=15578	=119566	=825	=4434	=4434	=4434	=4434.00000	=45.00000	=0	
=15579	=119567	=336	=210	=210	=210	=210.00000	=1.00000	=0	
=15580	=119567	=336	=3000	=3000	=3000	=3000.00000	=15.00000	=0	
=15581	=119567	=336	=8580	=8580	=8580	=8580.00000	=42.00000	=0	
=15582	=119567	=358	=165	=165	=165	=165.00000	=1.00000	=0	
=15583	=119567	=358	=2400	=2400	=2400	=2400.00000	=12.00000	=0	
=15584	=119567	=897	=12960	=12960	=12960	=12960.00000	=65.00000	=1080	
=15585	=119567	=926	=770	=770	=770	=770.00000	=4.00000	=0	
=15586	=119567	=926	=1540	=1540	=1540	=1540.00000	=8.00000	=0	
=15587	=119567	=926	=1980	=1980	=1980	=1980.00000	=10.00000	=0	
=15588	=119567	=991	=13800	=13800	=13800	=13800.00000	=69.00000	=0	
