Id	DeliveryOrderId	PackId	Quantity	OriginalPriceInCents	PriceInCents	
=4	=1001	=1209	=5	=984	=984	
=5	=1001	=1211	=3	=504	=504	
=6	=1001	=1127	=4	=912	=912	
=7	=1002	=872	=3	=1118	=1118	
=8	=1002	=625	=4	=113	=113	
=9	=1002	=1246	=1	=1476	=1476	
=10	=1002	=939	=3	=1008	=1008	
=11	=1003	=1127	=2	=922	=922	
=12	=1003	=1209	=4	=976	=976	
=13	=1003	=1246	=3	=1478	=1478	
=14	=1003	=24	=3	=32	=32	
=15	=1003	=858	=2	=1200	=1200	
=16	=1003	=363	=5	=33	=33	
=17	=1003	=1324	=2	=1500	=1500	
=18	=1003	=1074	=3	=2860	=2860	
=19	=1003	=265	=7	=30	=30	
=20	=1003	=1300	=2	=770	=770	
=21	=1003	=1102	=3	=660	=660	
=22	=1003	=698	=7	=110	=110	
=23	=1003	=1305	=2	=6900	=6900	
=24	=1003	=1441	=3	=4320	=4320	
