Id	DeliveryOrderId	PackId	Quantity	OriginalPriceInCents	PriceInCents	
=4	=1001	=1209	=5	=984	=984	
=5	=1001	=1211	=3	=504	=504	
=6	=1001	=1127	=4	=912	=912	
=11	=1002	=1127	=2	=922	=922	
=12	=1002	=1209	=4	=976	=976	
=13	=1002	=1246	=3	=1478	=1478	
=14	=1002	=24	=3	=32	=32	
=15	=1002	=858	=2	=1200	=1200	
=16	=1002	=363	=5	=33	=33	
=17	=1002	=1324	=2	=1500	=1500	
=18	=1002	=1074	=3	=2860	=2860	
=19	=1002	=265	=7	=30	=30	
=20	=1002	=1300	=2	=770	=770	
=21	=1002	=1102	=3	=660	=660	
=22	=1002	=698	=7	=110	=110	
=23	=1002	=1305	=2	=6900	=6900	
=24	=1002	=1441	=3	=4320	=4320	
