Id	DeliveryPricingPlanId	CreatedUtcDateTime	CreatedByUserId	
=1	=1	=02/06/2014 12:09:32	=2970	
=2	=1	=03/07/2014 08:32:55	=2970	
=3	=1	=03/12/2014 07:02:49	=2970	
=4	=2	=03/24/2014 10:30:36	=2972	
=5	=3	=03/24/2014 10:31:29	=2972	
=6	=3	=03/24/2014 11:12:12	=2972	
=7	=4	=07/03/2014 17:25:15	=2678	
=8	=5	=07/04/2014 17:25:15	=2678	
=9	=4	=07/05/2014 17:25:15	=2678	
=10	=5	=07/05/2014 17:25:15	=2678	
=11	=4	=07/06/2014 17:25:15	=2678	
=12	=5	=07/06/2014 17:25:15	=2678	
=13	=5	=07/07/2014 17:25:15	=2678	
