Id	DeliveryPricingPlanId	ItemCategoryId	CostPlusRate	PriceInCents	StartUtcDateTime	EndUtcDateTime	
=1	=1	=52	=0.20000	[NULL]	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=2	=1	=11	[NULL]	=115	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=3	=2	=25	=0.03000	[NULL]	=03/24/2014 10:30:36	=01/01/9999 00:00:00	
=4	=3	=25	[NULL]	=300	=03/24/2014 10:31:29	=03/24/2014 11:12:12	
=5	=3	=25	=0.03000	[NULL]	=03/24/2014 11:12:12	=01/01/9999 00:00:00	
=6	=4	=15	=0.13550	[NULL]	=07/03/2014 17:25:15	=07/05/2014 17:25:15	
=7	=4	=28	[NULL]	=75	=07/03/2014 17:25:15	=07/05/2014 17:25:15	
=8	=4	=13	[NULL]	=150	=07/03/2014 17:25:15	=01/01/9999 00:00:00	
=9	=4	=23	=0.30000	[NULL]	=07/03/2014 17:25:15	=01/01/9999 00:00:00	
=10	=5	=32	=0.22430	[NULL]	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=11	=5	=26	[NULL]	=112	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=12	=5	=13	[NULL]	=250	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=13	=4	=28	=0.20000	[NULL]	=07/05/2014 17:25:15	=01/01/9999 00:00:00	
