Id	DeliveryPricingPlanId	PackId	CostPlusRate	PriceInCents	StartUtcDateTime	EndUtcDateTime	
=1	=1	=858	[NULL]	=1200	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=2	=1	=1324	[NULL]	=1500	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=3	=1	=1300	=0.10000	[NULL]	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=4	=1	=1074	=0.25000	[NULL]	=03/12/2014 07:02:49	=01/01/9999 00:00:00	
=5	=2	=1102	[NULL]	=700	=03/24/2014 10:30:36	=01/01/9999 00:00:00	
=6	=3	=1300	=0.02000	[NULL]	=03/24/2014 10:31:29	=03/24/2014 11:12:12	
=7	=3	=1102	[NULL]	=700	=03/24/2014 11:12:12	=01/01/9999 00:00:00	
=8	=4	=98	[NULL]	=65	=07/03/2014 17:25:15	=07/05/2014 17:25:15	
=9	=4	=524	=0.12500	[NULL]	=07/03/2014 17:25:15	=07/05/2014 17:25:15	
=10	=4	=859	[NULL]	=1030	=07/03/2014 17:25:15	=01/01/9999 00:00:00	
=11	=4	=1443	=0.50000	[NULL]	=07/03/2014 17:25:15	=01/01/9999 00:00:00	
=12	=4	=1420	[NULL]	=765	=07/03/2014 17:25:15	=01/01/9999 00:00:00	
=13	=5	=1288	[NULL]	=150	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=14	=5	=1244	=0.10000	[NULL]	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=15	=5	=859	=0.20000	[NULL]	=07/04/2014 17:25:15	=01/01/9999 00:00:00	
=16	=4	=524	[NULL]	=2000	=07/05/2014 17:25:15	=01/01/9999 00:00:00	
