Id	DeliveryPricingPlanId	ItemCategoryId	CostPlusRate	PriceInCents	StartUtcDateTime	EndUtcDateTime	
=1	=1	=52	=0.20000	[NULL]	=03/07/2014 08:32:55	=02/01/2014 17:25:15	
=2	=1	=11	[NULL]	=115	=03/07/2014 08:32:55	=01/01/9999 00:00:00	
=3	=2	=25	=0.03000	[NULL]	=03/24/2014 10:30:36	=01/01/9999 00:00:00	
=4	=3	=25	[NULL]	=300	=03/24/2014 10:31:29	=03/24/2014 11:12:12	
=5	=3	=25	=0.03000	[NULL]	=03/24/2014 11:12:12	=01/01/9999 00:00:00	
=6	=1	=15	=0.13550	[NULL]	=02/01/2014 17:25:15	=01/01/9999 00:00:00	
=7	=1	=28	[NULL]	=75	=02/01/2014 17:25:15	=01/01/9999 00:00:00	
=8	=1	=13	[NULL]	=150	=02/01/2014 17:25:15	=01/01/9999 00:00:00	
=9	=1	=23	=0.30000	[NULL]	=02/01/2014 17:25:15	=01/01/9999 00:00:00	
=10	=1	=52	=0.25000	[NULL]	=02/01/2014 17:25:15	=01/01/9999 00:00:00	
