RestockId	DeliveryOrderId	SaleId	MachineId	EffectiveDate	TaxJurisdictionDetailId	TaxCommissionRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=10	=98	=248	=4920	=4920	=4920	=4920.00000	=307.50000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=10	=98	=269	=1512	=1512	=1512	=1512.00000	=94.50000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=10	=98	=726	=3648	=3648	=3648	=3648.00000	=228.00000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=16	=122	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=16	=122	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=16	=122	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=18	=130	=248	=4920	=4920	=4920	=4920.00000	=49.20000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=18	=130	=269	=1512	=1512	=1512	=1512.00000	=15.12000	=0	
[NULL]	=1001	[NULL]	=999945	=12/16/2013 00:00:00	=18	=130	=726	=3648	=3648	=3648	=3648.00000	=36.48000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=10	=98	=250	=3024	=3024	=3024	=3024.00000	=189.00000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=10	=98	=825	=1476	=1476	=1476	=1476.00000	=92.25000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=10	=99	=808	=452	=452	=452	=452.00000	=14.12500	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=10	=99	=876	=3354	=3354	=3354	=3354.00000	=104.81250	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=16	=122	=250	=3024	=3024	=3024	=3024.00000	=30.24000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=16	=122	=825	=1476	=1476	=1476	=1476.00000	=14.76000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=16	=123	=808	=452	=452	=452	=452.00000	=2.26000	=0	
[NULL]	=1002	[NULL]	=999944	=12/14/2013 00:00:00	=16	=123	=876	=3354	=3354	=3354	=3354.00000	=16.77000	=0	
