Id	DeviceSerialNumber	CentralThirdPartyDeviceId	OfflineMachineType	MeterType	MeterPriceInCents	PremiumOfflineStandardPrepickInventoriesCountThreshold	IsOnBattery	LastOnBatteryUtcDateTime	IsDoorOpen	LastDoorOpenUtcDateTime	CoilCrc	HasCashless	
=1	[NULL]	=76	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=2	[NULL]	=79	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=3	[NULL]	=77	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=4	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=5	[NULL]	=78	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=6	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=7	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=8	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
=9	=37069	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=False	[NULL]	=0	=False	
=10	[NULL]	=80	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=False	
