Id	PrepickGroupId	LocationId	SubLocationId	RouteId	SubRouteNumber	AssetId	Barcode	ImportId	DeviceSerialNumber	CentralThirdPartyDeviceId	ManagementAccountCode	ManagementCode	Deployed	Place	Name	UserMachineSerialNumber	IsOnBattery	IsDoorOpen	IsOutOfOrder	OutOfOrderReason	PlanogramId	SyncPlanogram	LastUpdatedByIntegrationUtcDateTime	LastRestockDateTime	ExternalSystemId	HasTemperatureSensor	OfflineMachineType	MeterType	MeterPriceInCents	ReinventoryNextVisit	InventoryAccuracyInPercents	NeedUpdateInventoryAccuracy	InventoryIntervalType	InventoryIntervalInRestocks	InventoryGradeAIntervalInRestocks	InventoryGradeBIntervalInRestocks	InventoryGradeCIntervalInRestocks	InventoryGradeDIntervalInRestocks	InventoryMaxIntervalInDays	HasCashless	UpdateCashlessSeedDeviceNextVisitWelcomeMessage	CashDiscountInCents	CommissionPlanId	TaxJurisdictionId	SeedSyncDownloadCoilDetails	PremiumOfflineStandardPrepickInventoriesCountThreshold	LastContactUtcDateTime	LastDexUtcDateTime	LastSaleUtcDateTime	LastBillsInUtcDateTime	LastCoinsInUtcDateTime	LastInventoryAdjustmentUtcDateTime	MachineConfigurationId	MachineClassId	MachineMakeId	MachineModelId	MachineTypeOverride	IsExceptionPeriodDisabled	LastReportedAlertLowTemperatureInFahrenheit	LastReportedTemperatureInFahrenheit	LastReportedAlertHighTemperatureInFahrenheit	LastReportedTemperatureUtcDateTime	DexMachineSerialNumber	DexMachineModelNumber	DexMachineBuildStandard	CoilCrc	MicromarketId	AlertTargetId	PulledDateTime	SnoozeId	IsDeliveryPoint	DeliveryPricingPlanId	Equipment	Deleted	AcquiredFromCompanyName	PurchaseDate	PurchasePriceInCents	DepreciationInYears	PostDepreciationMonthlyCostInCents	
=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	=False	=F	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=07/26/2010 09:55:00	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=1	=1	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=1	=1	=1002	=1	=2	=1	=#80	=12346	[NULL]	=139453	[NULL]	=MACode	=MCode	=0	=Edison Lobby	=MName	=456546	=False	=False	=False	[NULL]	=15	=False	=11/11/2013 13:31:00	=08/21/2013 14:02:18	=E123	=True	[NULL]	[NULL]	[NULL]	=True	=0	=True	=SIM	=5	=8	=4	=3	=1	=10	=True	=True	=10	=1	=1	=True	=12	=08/22/2013 02:58:00	=08/22/2013 02:58:00	=08/21/2013 17:56:00	=08/21/2013 16:56:00	=08/21/2013 17:56:00	=08/15/2013 08:54:00	[NULL]	=2	=5	=18	=Crane 157 snack	=True	=10	=15	=20	=11/11/2013 13:31:00	=000080	=CRANE..VER 15823	=BS	=-16995	[NULL]	=33	=11/06/2014 23:58:58	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=2	=7	=1002	=1	=2	=1	=#81	=7885	=123	[NULL]	=1	=MACode2	=MCode2	=1	=Edison Lobby	=MName2	=12312	=True	=True	=True	=OO reason	=15	=True	=11/11/2013 18:06:00	=08/13/2013 11:50:00	=E2	=True	[NULL]	[NULL]	[NULL]	=True	=20	=True	=SIM	=4	=8	=4	=3	=1	=10	=True	=False	=10	=1	=1	=True	=12	=11/11/2013 18:06:00	=08/13/2013 08:50:00	=11/11/2013 18:06:00	=11/11/2013 18:06:00	=11/11/2013 18:06:00	=08/13/2013 08:50:00	[NULL]	=1	=1	=1	=Crane SBC Coffee 677	=True	=10	=15	=20	=11/11/2013 18:06:00	=D1	=D2	=BS	=1000	[NULL]	=33	[NULL]	=2	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=3	=2	=1002	[NULL]	=2	=1	=#84	[NULL]	[NULL]	=139359	[NULL]	[NULL]	[NULL]	=1	=Edison Lobby	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 15:32:25	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=SIM	=5	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 03:13:00	=08/22/2013 03:13:00	=08/21/2013 19:13:00	=08/21/2013 19:13:00	=08/21/2013 19:13:00	=07/18/2013 08:50:00	[NULL]	=4	=15	=78	=Vendo V540	=False	[NULL]	[NULL]	[NULL]	[NULL]	=VCS90028979	=VEC 9.1	=2020	=-6907	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=4	=4	=1002	=1	=2	=1	=#85	=b3	=i3	[NULL]	[NULL]	=MACode3	=MCode3	=1	=Edison Lobby	=MName3	=u3	=True	=True	=True	=OO reason	=15	=True	=11/11/2013 18:15:00	=08/16/2013 13:10:00	=E3	=True	=P	=C	[NULL]	=True	=20	=True	=SIM	=4	=8	=4	=3	=1	=10	=False	=False	=10	=1	=1	=True	=12	=11/11/2013 18:15:00	=08/16/2013 10:10:00	=11/11/2013 18:15:00	=11/11/2013 18:15:00	=11/11/2013 18:15:00	=08/16/2013 10:10:00	[NULL]	=1	=1	=1	=Shoppertron 431	=True	=10	=15	=20	=11/11/2013 18:15:00	=D1	=D2	=BS	=1000	[NULL]	=33	[NULL]	=3	=False	[NULL]	[NULL]	=False	=Some Company	=09/28/2015 00:00:00	=123	=1.45	=56	
=5	=3	=1002	[NULL]	=2	=1	=#92	[NULL]	[NULL]	=139335	[NULL]	[NULL]	[NULL]	=1	=Edison Lobby	[NULL]	[NULL]	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 15:26:32	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=SIM	=5	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 03:09:00	=08/22/2013 03:09:00	=08/21/2013 18:09:00	=08/21/2013 16:09:00	=08/21/2013 18:09:00	=08/20/2013 12:27:00	[NULL]	=4	=6	=1	=Pepsi Dixie Narco 5800	=False	[NULL]	[NULL]	[NULL]	[NULL]	=DIX	=DN 5800.4	=7011	=-5523	[NULL]	=34	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=6	=1	=1003	[NULL]	=2	=1	=#41	[NULL]	[NULL]	=139377	[NULL]	[NULL]	[NULL]	=1	=Meadows Breakroom	[NULL]	[NULL]	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 15:49:01	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/21/2013 23:50:00	=08/21/2013 23:49:00	=08/21/2013 19:49:00	=08/21/2013 19:49:00	=08/21/2013 19:49:00	=08/20/2013 12:49:01	[NULL]	=2	=5	=18	=Crane 167 snack	=False	[NULL]	[NULL]	[NULL]	[NULL]	=000041	=CRANE..VER 15819	[NULL]	=-24801	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=7	=2	=1003	[NULL]	=2	=1	=#42	[NULL]	[NULL]	=139458	[NULL]	[NULL]	[NULL]	=1	=Meadows Breakroom	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 13:16:23	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:32:00	=08/22/2013 02:32:00	=08/21/2013 18:32:00	=08/21/2013 18:32:00	=08/21/2013 18:32:00	=08/21/2013 10:16:23	[NULL]	=4	=15	=78	=Vendo V540	=False	[NULL]	[NULL]	[NULL]	[NULL]	=VCS90020957	=VEC 9.1	=2020	=-32591	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=8	=7	=1003	=1	=2	=1	=#43	=b4	=i4	[NULL]	[NULL]	=MACode4	=MCode4	=1	=Meadows Breakroom	=MName4	=u4	=True	=True	=True	=OO reason	=15	=True	=11/11/2013 18:26:00	=08/21/2013 13:30:00	=E4	=True	=F	[NULL]	[NULL]	=True	=20	=True	=SIM	=4	=8	=4	=3	=1	=10	=False	=False	=10	=1	=1	=True	=12	=11/11/2013 18:26:00	=08/21/2013 10:30:00	=11/11/2013 18:26:00	=11/11/2013 18:26:00	=11/11/2013 18:26:00	=08/21/2013 10:30:00	[NULL]	=1	=1	=1	=Crane 637 Coffee	=True	=10	=15	=20	=11/11/2013 18:26:00	=D1	=D2	=BS	=1000	[NULL]	=33	[NULL]	=4	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=9	=2	=1003	[NULL]	=2	=1	=#45	[NULL]	[NULL]	=139378	[NULL]	[NULL]	[NULL]	=1	=Meadows Breakroom	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/19/2013 15:03:13	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:01:00	=08/22/2013 02:01:00	=08/21/2013 18:01:00	=08/21/2013 18:01:00	=08/21/2013 18:01:00	=08/19/2013 12:03:13	[NULL]	=4	=15	=78	=Pepsi Vendo V540HV	=False	[NULL]	[NULL]	[NULL]	[NULL]	=90006679	=VEC 9.3	=2030	=-30938	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
