Id	MachineId	ScheduleType	DynamicDepletionLimit	DynamicDepletionType	DynamicMaxAmount	DynamicMaxServiceIntervalInDays	DynamicSaleQuantityLimit	DynamicSaleQuantityLimitCoilName	StaticMaxServiceIntervalFlexibilityInDays	StaticMaxServiceIntervalInDays	
=1	=21	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=2	=14	=Dynamic	=3	=Item	=250	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=3	=22	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=4	=23	=Dynamic	=2	=Coil	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=5	=25	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=6	=26	=Dynamic	=3	=Item	=300	=3	[NULL]	[NULL]	[NULL]	[NULL]	
=7	=27	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=8	=28	=Dynamic	=1	=Item	=200	=7	[NULL]	[NULL]	[NULL]	[NULL]	
=9	=29	=Dynamic	=3	=Item	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=10	=15	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=11	=31	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=12	=32	=Dynamic	=2	=Coil	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=13	=33	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=14	=34	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=15	=35	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=16	=36	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=17	=16	=Dynamic	=1	=Item	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=18	=37	=Dynamic	=1	=Item	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=19	=38	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=20	=39	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=21	=17	=Dynamic	=3	=Item	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=22	=6	=Dynamic	=3	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=23	=7	=Dynamic	=2	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=24	=8	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=25	=9	=Dynamic	=2	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=26	=10	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=27	=18	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=28	=40	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=29	=41	=Dynamic	=3	=Item	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=30	=42	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
