Id	MachineId	ItemId	Name	GroupName	Inventory	Par	Capacity	AlertLevel	PriceInCents	DesiredPriceInCents	CoilOrder	RowIndex	ColumnIndex	NameAlpha	NameNumber	VendsSinceInitializationQuantity	LastSaleDateTime	Deleted	CanBeRestored	
=41	=43	=1149	=A1	[NULL]	=9	=9	=9	=2	=275	=275	=1	[NULL]	[NULL]	=A	=1	=600	=08/19/2013 17:08:35	=False	=False	
=42	=43	=1148	=A2	[NULL]	=6	=8	=9	=2	=275	=275	=2	[NULL]	[NULL]	=A	=2	=404	=08/21/2013 17:08:48	=False	=False	
=43	=43	=1375	=A3	[NULL]	=9	=9	=9	=2	=275	=275	=3	[NULL]	[NULL]	=A	=3	=724	=08/19/2013 16:08:33	=False	=False	
=44	=43	=904	=A4	[NULL]	=7	=8	=8	=2	=275	=275	=4	[NULL]	[NULL]	=A	=4	=337	=08/21/2013 15:08:44	=False	=False	
=45	=43	=934	=A5	[NULL]	=8	=8	=9	=2	=250	=250	=5	[NULL]	[NULL]	=A	=5	=605	=08/01/2013 13:59:13	=False	=False	
=46	=43	=937	=A6	[NULL]	=8	=8	=9	=2	=250	=250	=6	[NULL]	[NULL]	=A	=6	=460	=08/17/2013 11:06:22	=False	=False	
=47	=43	=1342	=A7	[NULL]	=8	=8	=9	=2	=250	=250	=7	[NULL]	[NULL]	=A	=7	=309	=08/16/2013 15:06:23	=False	=False	
=48	=43	=1341	=A8	[NULL]	=8	=8	=9	=2	=250	=250	=8	[NULL]	[NULL]	=A	=8	=369	=07/31/2013 13:07:14	=False	=False	
=49	=43	=1146	=A9	[NULL]	=7	=8	=9	=1	=175	=175	=9	[NULL]	[NULL]	=A	=9	=451	=08/21/2013 16:08:46	=False	=False	
=50	=43	=1130	=B1	[NULL]	=7	=8	=8	=1	=190	=190	=10	[NULL]	[NULL]	=B	=1	=1068	=08/16/2013 16:06:24	=False	=False	
=51	=43	=1105	=B2	[NULL]	=7	=8	=8	=1	=190	=190	=11	[NULL]	[NULL]	=B	=2	=725	=08/21/2013 14:08:41	=False	=False	
=52	=43	=1073	=B3	[NULL]	=8	=8	=8	=1	=190	=190	=12	[NULL]	[NULL]	=B	=3	=684	=08/19/2013 21:08:46	=False	=False	
=53	=43	=1074	=B4	[NULL]	=7	=8	=8	=1	=190	=190	=13	[NULL]	[NULL]	=B	=4	=837	=08/21/2013 13:08:40	=False	=False	
=54	=43	=1327	=B5	[NULL]	=7	=8	=8	=1	=190	=190	=14	[NULL]	[NULL]	=B	=5	=835	=08/13/2013 11:06:16	=False	=False	
=55	=43	=1244	=B6	[NULL]	=8	=8	=8	=2	=190	=190	=15	[NULL]	[NULL]	=B	=6	=807	=08/16/2013 15:06:23	=False	=False	
=56	=43	=1170	=B7	[NULL]	=7	=8	=8	=2	=190	=190	=16	[NULL]	[NULL]	=B	=7	=742	=08/16/2013 15:06:23	=False	=False	
=57	=43	=1343	=B8	[NULL]	=7	=8	=8	=2	=190	=190	=17	[NULL]	[NULL]	=B	=8	=491	=08/21/2013 11:08:52	=False	=False	
=58	=43	=1154	=B9	[NULL]	=7	=8	=8	=2	=175	=175	=18	[NULL]	[NULL]	=B	=9	=374	=08/14/2013 10:06:29	=False	=False	
=59	=43	=946	=C1	[NULL]	=7	=8	=8	=1	=175	=175	=19	[NULL]	[NULL]	=C	=1	=590	=08/16/2013 11:06:25	=False	=False	
=60	=43	=947	=C2	[NULL]	=7	=8	=8	=1	=175	=175	=20	[NULL]	[NULL]	=C	=2	=474	=08/20/2013 16:08:42	=False	=False	
