Id	MachineId	
=1	=5	
=2	=9	
=3	=10	
=4	=12	
=5	=13	
=6	=17	
=7	=22	
=8	=31	
=9	=34	
=10	=41	
=11	=42	
=12	=43	
=13	=44	
=14	=45	
=15	=47	
=16	=48	
=17	=52	
=18	=53	
=19	=54	
=20	=44	
=21	=5	
=22	=45	
=23	=5	
=24	=43	
=25	=41	
=26	=55	
=27	=40	
=28	=44	
=29	=10	
=30	=43	
=31	=45	
=32	=45	
=33	=43	
=34	=43	
=35	=44	
=36	=41	
=37	=41	
=38	=45	
=39	=45	
=40	=54	
=41	=40	
=42	=55	
=43	=5	
=44	=45	
=45	=5	
=46	=22	
=47	=43	
=48	=41	
=49	=45	
=50	=5	
=51	=5	
=52	=44	
=53	=41	
=54	=43	
=55	=44	
=56	=44	
=57	=5	
=58	=5	
=59	=43	
=60	=41	
=61	=41	
=62	=41	
=63	=53	
=64	=51	
=65	=5	
=66	=5	
=67	=43	
=68	=5	
=69	=5	
=70	=5	
=71	=5	
=72	=43	
=73	=45	
=74	=44	
=75	=11	
=76	=45	
=77	=43	
=78	=44	
=79	=41	
=80	=41	
=81	=44	
=82	=41	
=83	=5	
=84	=5	
=85	=43	
=86	=43	
=87	=43	
=88	=43	
=89	=45	
=90	=44	
=91	=45	
=92	=45	
=93	=45	
=94	=45	
=95	=9	
=96	=9	
=97	=43	
=98	=43	
=99	=22	
=100	=6	
=101	=37	
