Id	CoilGroupingHistoryId	Name	GroupName	
=1	=1	=B5	=A	
=2	=1	=B6	=A	
=3	=1	=B7	=A	
=4	=1	=B8	=A	
=5	=1	=B9	=A	
=6	=1	=C2	=B	
=7	=1	=C3	=B	
=8	=1	=C5	=C	
=9	=1	=C6	=C	
=10	=1	=C7	=C	
=11	=1	=C8	=D	
=12	=1	=C9	=D	
=13	=1	=D8	=E	
=14	=1	=D9	=E	
=15	=2	=1	=A	
=16	=2	=2	=A	
=17	=2	=3	=B	
=18	=2	=4	=B	
=19	=3	=1	=A	
=20	=3	=2	=A	
=21	=3	=3	=B	
=22	=3	=4	=B	
=23	=4	=3	=A	
=24	=4	=4	=A	
=25	=4	=5	=A	
=26	=4	=6	=A	
=27	=4	=7	=A	
=28	=4	=8	=A	
=29	=5	=1	=A	
=30	=5	=3	=A	
=31	=5	=5	=B	
=32	=5	=6	=B	
=33	=6	=H0	=9	
=34	=6	=H1	=9	
=35	=6	=H2	=9	
=36	=6	=H3	=9	
=37	=6	=H4	=9	
=38	=7	=1	=A	
=39	=7	=2	=A	
=40	=8	=H0	=9	
=41	=8	=H1	=9	
=42	=8	=H2	=9	
=43	=8	=H3	=9	
=44	=8	=H4	=9	
=45	=9	=H0	=A	
=46	=9	=H1	=A	
=47	=9	=H2	=A	
=48	=9	=H3	=A	
=49	=9	=H4	=A	
=50	=10	=B1	=A	
=51	=10	=B2	=A	
=52	=10	=B5	=B	
=53	=10	=B6	=B	
=54	=10	=B7	=B	
=55	=10	=B8	=C	
=56	=10	=B9	=C	
=57	=10	=C8	=G	
=58	=10	=C9	=G	
=59	=10	=D6	=H	
=60	=10	=D7	=H	
=61	=10	=F1	=9	
=62	=10	=F2	=9	
=63	=10	=F3	=9	
=64	=10	=F4	=9	
=65	=10	=F5	=9	
=66	=10	=F6	=9	
=67	=10	=F7	=9	
=68	=10	=F8	=9	
=69	=10	=F9	=9	
=70	=11	=1	=A	
=71	=11	=2	=A	
=72	=11	=3	=A	
=73	=11	=4	=A	
=74	=11	=5	=A	
=75	=11	=6	=A	
=76	=11	=7	=A	
=77	=11	=8	=A	
=78	=11	=9	=A	
=79	=12	=B1	=A	
=80	=12	=B2	=A	
=81	=12	=B3	=A	
=82	=12	=B4	=A	
=83	=12	=B5	=A	
=84	=12	=D1	=C	
=85	=12	=D2	=C	
=86	=12	=D3	=C	
=87	=12	=D8	=D	
=88	=12	=D9	=D	
=89	=13	=B1	=A	
=90	=13	=B2	=A	
=91	=13	=B3	=A	
=92	=13	=C1	=B	
=93	=13	=C2	=B	
=94	=13	=C5	=C	
=95	=13	=C6	=C	
=96	=13	=C7	=D	
=97	=13	=C8	=D	
=98	=13	=C9	=D	
=99	=13	=D3	=E	
=100	=13	=D4	=E	
=101	=13	=F1	=9	
=102	=13	=F2	=9	
=103	=13	=F3	=9	
=104	=13	=F4	=9	
=105	=13	=F5	=9	
=106	=13	=F6	=9	
=107	=13	=F7	=9	
=108	=13	=F8	=9	
=109	=13	=F9	=9	
=110	=14	=B2	=A	
=111	=14	=B3	=A	
=112	=14	=B4	=B	
=113	=14	=B5	=B	
=114	=14	=B6	=C	
=115	=14	=B7	=C	
=116	=14	=D2	=D	
=117	=14	=D3	=D	
=118	=14	=E4	=E	
=119	=14	=E5	=E	
=120	=14	=E6	=E	
=121	=14	=E7	=E	
=122	=14	=F1	=9	
=123	=14	=F2	=9	
=124	=14	=F3	=9	
=125	=14	=F4	=9	
=126	=14	=F5	=9	
=127	=14	=F6	=9	
=128	=14	=F7	=9	
=129	=14	=F8	=9	
=130	=14	=F9	=9	
=131	=15	=1	=A	
=132	=15	=2	=A	
=133	=15	=3	=B	
=134	=15	=4	=B	
=135	=16	=1	=A	
=136	=16	=2	=A	
=137	=16	=3	=A	
=138	=16	=4	=A	
=139	=16	=5	=A	
=140	=16	=6	=A	
=141	=16	=7	=A	
=142	=16	=8	=A	
=143	=17	=1	=A	
=144	=17	=10	=C	
=145	=17	=11	=C	
=146	=17	=12	=C	
=147	=17	=2	=A	
=148	=17	=3	=A	
=149	=17	=4	=A	
=150	=17	=5	=B	
=151	=17	=6	=B	
=152	=18	=1	=A	
=153	=18	=2	=A	
=154	=18	=3	=B	
=155	=18	=4	=B	
=156	=19	=1	=A	
=157	=19	=2	=A	
=158	=19	=3	=B	
=159	=19	=4	=B	
=160	=20	=B1	=A	
=161	=20	=B2	=A	
=162	=20	=B3	=A	
=163	=20	=C1	=B	
=164	=20	=C2	=B	
=165	=20	=C5	=C	
=166	=20	=C6	=C	
=167	=20	=C8	=D	
=168	=20	=C9	=D	
=169	=20	=D3	=E	
=170	=20	=D4	=E	
=171	=20	=F1	=9	
=172	=20	=F2	=9	
=173	=20	=F3	=9	
=174	=20	=F4	=9	
=175	=20	=F5	=9	
=176	=20	=F6	=9	
=177	=20	=F7	=9	
=178	=20	=F8	=9	
=179	=20	=F9	=9	
=180	=21	=B5	=A	
=181	=21	=B6	=A	
=182	=21	=B7	=A	
=183	=21	=B8	=A	
=184	=21	=B9	=A	
=185	=21	=C2	=B	
=186	=21	=C3	=B	
=187	=21	=C5	=C	
=188	=21	=C6	=C	
=189	=21	=C7	=C	
=190	=21	=C8	=D	
=191	=21	=C9	=D	
=192	=21	=D7	=E	
=193	=21	=D8	=E	
=194	=21	=D9	=E	
=195	=22	=B2	=A	
=196	=22	=B3	=A	
=197	=22	=B4	=B	
=198	=22	=B5	=B	
=199	=22	=B6	=C	
=200	=22	=B7	=C	
=201	=22	=D2	=D	
=202	=22	=D3	=D	
=203	=22	=D4	=F	
=204	=22	=D5	=F	
=205	=22	=E4	=E	
=206	=22	=E5	=E	
=207	=22	=E6	=E	
=208	=22	=E7	=E	
=209	=22	=F1	=9	
=210	=22	=F2	=9	
=211	=22	=F3	=9	
=212	=22	=F4	=9	
=213	=22	=F5	=9	
=214	=22	=F6	=9	
=215	=22	=F7	=9	
=216	=22	=F8	=9	
=217	=22	=F9	=9	
=218	=23	=B5	=A	
=219	=23	=B6	=A	
=220	=23	=B7	=A	
=221	=23	=B8	=A	
=222	=23	=B9	=A	
=223	=23	=C2	=B	
=224	=23	=C3	=B	
=225	=23	=C5	=C	
=226	=23	=C6	=C	
=227	=23	=C7	=C	
=228	=23	=C8	=D	
=229	=23	=C9	=D	
=230	=23	=D7	=E	
=231	=23	=D8	=E	
=232	=24	=B1	=A	
=233	=24	=B2	=A	
=234	=24	=B3	=A	
=235	=24	=B4	=A	
=236	=24	=B5	=A	
=237	=24	=C3	=B	
=238	=24	=C4	=B	
=239	=24	=D1	=C	
=240	=24	=D2	=C	
=241	=24	=D3	=C	
=242	=24	=D8	=D	
=243	=24	=D9	=D	
=244	=25	=B1	=A	
=245	=25	=B2	=A	
=246	=25	=B5	=B	
=247	=25	=B6	=B	
=248	=25	=B7	=B	
=249	=25	=B8	=C	
=250	=25	=B9	=C	
=251	=25	=C6	=D	
=252	=25	=C7	=D	
=253	=25	=C8	=G	
=254	=25	=C9	=G	
=255	=25	=D6	=H	
=256	=25	=D7	=H	
=257	=25	=F1	=9	
=258	=25	=F2	=9	
=259	=25	=F3	=9	
=260	=25	=F4	=9	
=261	=25	=F5	=9	
=262	=25	=F6	=9	
=263	=25	=F7	=9	
=264	=25	=F8	=9	
=265	=25	=F9	=9	
=266	=26	=10	=A	
=267	=26	=11	=A	
=268	=26	=12	=A	
=269	=27	=1	=A	
=270	=27	=5	=A	
=271	=27	=6	=A	
=272	=27	=7	=A	
=273	=28	=B1	=A	
=274	=28	=B2	=A	
=275	=28	=B3	=A	
=276	=28	=C1	=B	
=277	=28	=C2	=B	
=278	=28	=C5	=C	
=279	=28	=C6	=C	
=280	=28	=C8	=D	
=281	=28	=C9	=D	
=282	=28	=D1	=F	
=283	=28	=D2	=F	
=284	=28	=D3	=E	
=285	=28	=D4	=E	
=286	=28	=F1	=9	
=287	=28	=F2	=9	
=288	=28	=F3	=9	
=289	=28	=F4	=9	
=290	=28	=F5	=9	
=291	=28	=F6	=9	
=292	=28	=F7	=9	
=293	=28	=F8	=9	
=294	=28	=F9	=9	
=295	=29	=1	=A	
=296	=29	=10	=A	
=297	=29	=11	=A	
=298	=29	=12	=A	
=299	=29	=2	=A	
=300	=29	=3	=A	
=301	=29	=4	=A	
=302	=29	=5	=A	
=303	=29	=6	=A	
=304	=29	=7	=A	
=305	=29	=8	=A	
=306	=29	=9	=A	
=307	=30	=B1	=A	
=308	=30	=B2	=A	
=309	=30	=B3	=A	
=310	=30	=B4	=A	
=311	=30	=B5	=A	
=312	=30	=C1	=E	
=313	=30	=C2	=E	
=314	=30	=C3	=B	
=315	=30	=C4	=B	
=316	=30	=D1	=C	
=317	=30	=D2	=C	
=318	=30	=D3	=C	
=319	=30	=D8	=D	
=320	=30	=D9	=D	
=321	=31	=D2	=D	
=322	=31	=D3	=D	
=323	=31	=F1	=9	
=324	=31	=F2	=9	
=325	=31	=F3	=9	
=326	=31	=F4	=9	
=327	=31	=F5	=9	
=328	=31	=F6	=9	
=329	=31	=F7	=9	
=330	=31	=F8	=9	
=331	=31	=F9	=9	
=332	=32	=B2	=A	
=333	=32	=B3	=A	
=334	=32	=B5	=B	
=335	=32	=B6	=B	
=336	=32	=B7	=C	
=337	=32	=B8	=C	
=338	=32	=D2	=D	
=339	=32	=D3	=D	
=340	=32	=D4	=E	
=341	=32	=D5	=E	
=342	=32	=E5	=F	
=343	=32	=E6	=F	
=344	=32	=E7	=F	
=345	=32	=E8	=F	
=346	=32	=E9	=F	
=347	=32	=F1	=9	
=348	=32	=F2	=9	
=349	=32	=F3	=9	
=350	=32	=F4	=9	
=351	=32	=F5	=9	
=352	=32	=F6	=9	
=353	=32	=F7	=9	
=354	=32	=F8	=9	
=355	=32	=F9	=9	
=356	=33	=C1	=E	
=357	=33	=C2	=E	
=358	=33	=C3	=B	
=359	=33	=C4	=B	
=360	=33	=D1	=C	
=361	=33	=D2	=C	
=362	=33	=D3	=C	
=363	=33	=D8	=D	
=364	=33	=D9	=D	
=365	=34	=B1	=A	
=366	=34	=B2	=A	
=367	=34	=B3	=A	
=368	=34	=C1	=E	
=369	=34	=C2	=E	
=370	=34	=C3	=B	
=371	=34	=C4	=B	
=372	=34	=D1	=C	
=373	=34	=D2	=C	
=374	=34	=D3	=C	
=375	=34	=D8	=D	
=376	=34	=D9	=D	
=377	=35	=B1	=A	
=378	=35	=B2	=A	
=379	=35	=B3	=A	
=380	=35	=C1	=B	
=381	=35	=C2	=B	
=382	=35	=C5	=C	
=383	=35	=C6	=C	
=384	=35	=C8	=D	
=385	=35	=C9	=D	
=386	=35	=D3	=E	
=387	=35	=D4	=E	
=388	=35	=F1	=9	
=389	=35	=F2	=9	
=390	=35	=F3	=9	
=391	=35	=F4	=9	
=392	=35	=F5	=9	
=393	=35	=F6	=9	
=394	=35	=F7	=9	
=395	=35	=F8	=9	
=396	=35	=F9	=9	
=397	=36	=B1	=A	
=398	=36	=B2	=A	
=399	=36	=B5	=B	
=400	=36	=B6	=B	
=401	=36	=B7	=B	
=402	=36	=B8	=C	
=403	=36	=B9	=C	
=404	=36	=C8	=G	
=405	=36	=C9	=G	
=406	=36	=D6	=H	
=407	=36	=D7	=H	
=408	=36	=F1	=9	
=409	=36	=F2	=9	
=410	=36	=F3	=9	
=411	=36	=F4	=9	
=412	=36	=F5	=9	
=413	=36	=F6	=9	
=414	=36	=F7	=9	
=415	=36	=F8	=9	
=416	=36	=F9	=9	
=417	=37	=B1	=A	
=418	=37	=B2	=A	
=419	=37	=B5	=B	
=420	=37	=B6	=B	
=421	=37	=B7	=B	
=422	=37	=B8	=C	
