Id	LastRestockDateTime	LastRestockUtcDateTime	
=0	[NULL]	[NULL]	
=1	=08/21/2013 14:02:18	=08/21/2013 11:02:18	
=2	=08/13/2013 11:50:00	=08/13/2013 08:50:00	
=3	=08/20/2013 15:32:25	=08/20/2013 12:32:25	
=4	=08/16/2013 13:10:00	=08/16/2013 10:10:00	
=5	=08/20/2013 15:26:32	=08/20/2013 12:26:32	
=6	=08/20/2013 15:49:01	=08/20/2013 12:49:01	
=7	=08/21/2013 13:16:23	=08/21/2013 10:16:23	
=8	=08/21/2013 13:30:00	=08/21/2013 10:30:00	
=9	=08/19/2013 15:03:13	=08/19/2013 12:03:13	
=10	=07/24/2013 12:22:50	=07/24/2013 09:22:50	
=11	=08/21/2013 12:15:08	=08/21/2013 09:15:08	
=12	=08/21/2013 12:50:45	=08/21/2013 09:50:45	
=13	=08/21/2013 14:11:58	=08/21/2013 11:11:58	
=14	=08/19/2013 08:50:00	=08/19/2013 05:50:00	
=15	=04/29/2013 15:07:00	=04/29/2013 12:07:00	
=16	=08/20/2013 11:24:16	=08/20/2013 08:24:16	
=17	=08/20/2013 12:03:54	=08/20/2013 09:03:54	
=18	=08/16/2013 14:20:00	=08/16/2013 11:20:00	
=19	=08/21/2013 09:18:34	=08/21/2013 06:18:34	
=20	=08/22/2013 01:00:00	=08/22/2013 07:00:00	
=21	=08/19/2013 12:55:28	=08/19/2013 09:55:28	
=22	=08/21/2013 11:05:36	=08/21/2013 08:05:36	
=23	=08/21/2013 13:30:00	=08/21/2013 10:30:00	
=24	=05/30/2013 12:00:00	=05/30/2013 09:00:00	
=25	=08/20/2013 10:40:00	=08/20/2013 07:40:00	
=26	=08/20/2013 10:28:58	=08/20/2013 07:28:58	
=27	=03/02/2012 12:58:00	=03/02/2012 10:58:00	
=28	=08/20/2013 10:41:37	=08/20/2013 07:41:37	
=29	=08/20/2013 10:39:40	=08/20/2013 07:39:40	
=30	=07/02/2013 16:14:17	=07/02/2013 13:14:17	
=31	=08/20/2013 11:21:57	=08/20/2013 08:21:57	
=32	=08/15/2013 08:50:00	=08/15/2013 05:50:00	
=33	=08/15/2013 08:50:00	=08/15/2013 05:50:00	
=34	=08/19/2013 14:06:33	=08/19/2013 11:06:33	
=35	=08/01/2013 11:27:39	=08/01/2013 08:27:39	
=36	=08/19/2013 13:21:54	=08/19/2013 10:21:54	
=37	=08/13/2013 11:00:49	=08/13/2013 08:00:49	
=38	=06/19/2013 15:32:06	=06/19/2013 12:32:06	
=39	=08/20/2013 12:08:03	=08/20/2013 09:08:03	
=40	=10/16/2012 11:11:00	=10/16/2012 08:11:00	
=41	=08/21/2013 09:28:11	=08/21/2013 06:28:11	
=42	=11/29/2012 12:22:00	=11/29/2012 10:22:00	
=43	=08/20/2013 10:20:41	=08/20/2013 07:20:41	
=44	=08/21/2013 08:59:36	=08/21/2013 05:59:36	
=45	=08/20/2013 12:35:25	=08/20/2013 09:35:25	
=46	=07/29/2013 16:30:18	=07/29/2013 13:30:18	
=47	=07/30/2013 16:11:20	=07/30/2013 13:11:20	
=48	=07/02/2013 16:19:02	=07/02/2013 13:19:02	
=49	=08/01/2013 15:47:02	=08/01/2013 12:47:02	
=50	=07/29/2013 13:58:30	=07/29/2013 10:58:30	
=51	=07/31/2013 10:18:13	=07/31/2013 07:18:13	
=52	=08/19/2013 13:24:37	=08/19/2013 10:24:37	
=53	=07/19/2013 13:31:35	=07/19/2013 10:31:35	
=54	=07/19/2013 12:12:05	=07/19/2013 09:12:05	
=55	=08/20/2013 12:39:16	=08/20/2013 09:39:16	
=56	[NULL]	[NULL]	
=57	[NULL]	[NULL]	
=58	[NULL]	[NULL]	
=59	[NULL]	[NULL]	
=60	[NULL]	[NULL]	
=61	[NULL]	[NULL]	
=62	=09/01/2014 20:00:00	=09/01/2014 17:00:00	
=63	[NULL]	[NULL]	
