Id	MachineCoilHistoryId	CoilName	OldItemId	NewItemId	AddedQuantity	SpreadoutQuantity	SpoiledQuantity	RemovedQuantity	ObservedQuantity	CoilGroupingAdjustmentQuantity	SystemAdjustmentQuantity	InventoryAdjustmentQuantity	FutureInventoryAdjustmentQuantity	OfflineSaleId	InitialInventoryLevel	
=374654	=13419	=A1	=1148	=1148	=2	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=6	
=374655	=13419	=A2	=1149	=1149	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374656	=13419	=A3	=1375	=1375	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374657	=13419	=A4	=934	=934	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374658	=13419	=A5	=937	=937	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374659	=13419	=A6	=936	=936	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374660	=13419	=A7	=904	=904	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374661	=13419	=A8	=1342	=1342	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374662	=13419	=A9	=1341	=1341	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374663	=13419	=B1	=1170	=1170	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=8	
=374664	=13419	=B2	=1244	=1244	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374665	=13419	=B3	=1343	=1343	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374666	=13419	=B4	=1327	=1327	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
=374667	=13419	=B5	=1105	=1105	=0	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	[NULL]	=7	
