SaleId	CreatedUtcDateTime	MachineId	Name	ItemId	PriceInCents	Quantity	
=1	=08/23/2013 19:30:00	=8	=1	=1219	=0	=4	
=2	=08/23/2013 19:30:00	=8	=6	=1223	=0	=3	
=3	=08/27/2013 13:05:00	=8	=1	=1219	=0	=7	
=11	=08/27/2013 13:05:00	=8	=10	=1224	=0	=5	
=4	=08/27/2013 13:05:00	=8	=2	=1220	=0	=8	
=5	=08/27/2013 13:05:00	=8	=3	=1221	=0	=4	
=6	=08/27/2013 13:05:00	=8	=4	=1231	=0	=8	
=7	=08/27/2013 13:05:00	=8	=5	=1222	=0	=6	
=8	=08/27/2013 13:05:00	=8	=6	=1223	=0	=5	
=9	=08/27/2013 13:05:00	=8	=7	=1218	=0	=7	
=10	=08/27/2013 13:05:00	=8	=9	=1225	=0	=5	
