Id	MachineId	Closed	ValidTillNextRestock	
=420	=43	=True	=False	
=426	=46	=True	=False	
=427	=11	=True	=False	
=428	=1	=True	=False	
=430	=15	=True	=False	
=431	=8	=True	=False	
=432	=32	=True	=False	
=433	=5	=True	=False	
=435	=38	=False	=False	
=437	=3	=True	=False	
=438	=8	=True	=False	
=439	=37	=True	=False	
=440	=51	=True	=False	
=441	=21	=True	=False	
=442	=12	=True	=False	
=444	=2	=True	=False	
=445	=53	=True	=False	
=446	=52	=True	=False	
=448	=1	=True	=False	
=450	=50	=True	=False	
=451	=11	=True	=False	
=452	=11	=True	=True	
=453	=4	=True	=False	
=455	=47	=True	=False	
=456	=34	=True	=True	
=458	=33	=True	=False	
=461	=11	=True	=False	
=464	=5	=True	=False	
=465	=13	=True	=False	
=466	=9	=True	=False	
=468	=46	=True	=False	
=470	=26	=True	=False	
=476	=6	=True	=False	
=477	=1	=True	=False	
=478	=7	=True	=False	
=479	=11	=True	=False	
=480	=6	=True	=False	
=481	=1	=True	=False	
=483	=28	=True	=False	
=484	=33	=True	=False	
=486	=26	=True	=False	
=489	=7	=True	=False	
=491	=38	=True	=False	
=494	=52	=True	=False	
=496	=5	=True	=False	
=497	=1	=True	=False	
=498	=1	=True	=False	
=499	=6	=True	=False	
=501	=6	=True	=False	
=503	=7	=True	=False	
=504	=50	=True	=False	
=508	=13	=True	=False	
=509	=11	=True	=False	
=510	=4	=True	=False	
=511	=5	=True	=False	
=513	=2	=True	=False	
=515	=38	=False	=False	
=517	=18	=True	=False	
=518	=6	=True	=False	
=520	=9	=True	=False	
=528	=11	=True	=False	
=530	=4	=True	=False	
=531	=21	=True	=False	
=532	=8	=True	=False	
=533	=2	=True	=False	
=535	=53	=True	=False	
=538	=22	=True	=False	
=539	=3	=True	=False	
=540	=9	=True	=False	
=541	=44	=True	=False	
=542	=16	=True	=False	
=543	=4	=True	=False	
=544	=39	=True	=False	
=545	=45	=True	=False	
=546	=37	=True	=False	
=547	=28	=True	=False	
=548	=22	=True	=False	
=549	=11	=True	=False	
=550	=29	=True	=False	
=552	=38	=True	=False	
=553	=50	=False	=False	
=554	=11	=True	=False	
=555	=13	=True	=False	
=557	=55	=True	=False	
=558	=43	=True	=False	
=559	=7	=True	=False	
=560	=11	=True	=False	
=561	=17	=True	=False	
=562	=22	=True	=False	
=563	=8	=True	=False	
=564	=34	=True	=False	
=565	=8	=True	=False	
=566	=8	=True	=False	
=567	=6	=True	=False	
=568	=45	=False	=False	
=569	=43	=False	=False	
=570	=44	=True	=False	
=571	=5	=True	=False	
=572	=53	=False	=False	
=573	=47	=False	=False	
=575	=22	=True	=False	
=576	=8	=True	=False	
=577	=19	=True	=False	
=578	=28	=False	=False	
=579	=16	=False	=False	
=580	=45	=False	=False	
=581	=39	=False	=False	
=582	=3	=False	=False	
=583	=8	=False	=False	
=584	=41	=False	=False	
=585	=7	=False	=False	
