Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentCreatedDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleDate	ScheduleId	RestockSummaryFrozen	
=9911	=44	=08/08/2013 09:04:57	=08/08/2013 06:04:57	=08/05/2013 10:14:04	[NULL]	=False	=False	[NULL]	=False	=3858	=0	=0	=0	[NULL]	=5916360	=4805	=28280	=25	=4713915	=4105	=6599	=3	=1202445	=700	=0	=0	=0	=0	=0	=0	=0	=0	=6447975	=6095	=53369	=53	=721660	=520	=389415	=275	=1747030	=1990	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4623	=True	
=9912	=52	=08/08/2013 09:12:16	=08/08/2013 06:12:16	=08/01/2013 12:08:59	[NULL]	=False	=False	[NULL]	=False	=3859	=0	=0	=0	[NULL]	=3101185	=3150	=23933	=20	=3101185	=3150	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3101450	=3150	=25026	=26	=737245	=945	=352450	=65	=486855	=460	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4624	=True	
=9913	=16	=08/08/2013 09:33:30	=08/08/2013 06:33:30	=08/05/2013 10:25:39	[NULL]	=False	=False	[NULL]	=False	=3860	=0	=0	=0	[NULL]	=6874720	=2400	=45930	=12	=5543070	=2400	=11000	=0	=1331650	=0	=0	=0	=0	=0	=37	=0	=0	=0	=5543070	=2400	=46586	=23	=725415	=550	=912565	=50	=747665	=500	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4625	=True	
=9914	=41	=08/08/2013 09:49:18	=08/08/2013 06:49:18	=08/02/2013 13:30:27	[NULL]	=False	=False	[NULL]	=False	=3860	=0	=0	=0	[NULL]	=4102835	=7625	=21769	=41	=3643210	=7100	=2535	=3	=459625	=525	=0	=0	=0	=0	=0	=0	=0	=0	=5076860	=10310	=43416	=95	=568955	=790	=166305	=20	=1455040	=3210	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4625	=True	
=9915	=31	=08/08/2013 10:12:11	=08/08/2013 07:12:11	=08/05/2013 10:22:29	[NULL]	=False	=False	[NULL]	=False	=3860	=0	=0	=0	[NULL]	=1183060	=3450	=10981	=32	=1182810	=3325	=2	=1	=250	=125	=0	=0	=0	=0	=0	=0	=0	=0	=1457575	=4180	=39	=32	=156190	=460	=800	=520	=383495	=855	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4625	=True	
=9916	=7	=08/08/2013 11:27:42	=08/08/2013 08:27:42	=08/01/2013 11:23:39	[NULL]	=False	=False	[NULL]	=False	=3861	=0	=0	=0	[NULL]	=4227750	=3950	=34757	=22	=4227750	=3950	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4735070	=5150	=34131	=38	=474225	=1135	=847745	=215	=465215	=1200	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4626	=True	
=9917	=9	=08/08/2013 11:36:05	=08/08/2013 08:36:05	=08/01/2013 11:28:07	[NULL]	=False	=False	[NULL]	=False	=3861	=0	=0	=0	[NULL]	=3180435	=5075	=24490	=29	=3180435	=5075	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3181435	=5075	=25436	=33	=516895	=350	=605910	=1800	=506560	=375	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4626	=True	
=9918	=6	=08/08/2013 11:56:29	=08/08/2013 08:56:29	=08/07/2013 10:54:37	[NULL]	=False	=False	[NULL]	=False	=3861	=0	=0	=0	[NULL]	=2183855	=4630	=21951	=41	=2180650	=4100	=29	=4	=3205	=530	=0	=0	=0	=0	=0	=0	=0	=0	=3042535	=5380	=640	=36	=304085	=580	=6050	=1200	=1013775	=1280	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4626	=True	
=9919	=8	=08/08/2013 11:20:00	=08/08/2013 08:20:00	=07/29/2013 14:30:00	[NULL]	=False	=False	=broman@tmcc.edu	=False	=3861	=0	=0	=0	[NULL]	=2624040	=9250	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=4433	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4626	=True	
=9920	=28	=08/08/2013 15:47:03	=08/08/2013 12:47:03	=08/07/2013 15:53:47	[NULL]	=False	=False	[NULL]	=False	=3862	=0	=0	=0	[NULL]	=15991450	=1925	=95937	=6	=12133565	=1050	=25887	=3	=3857885	=875	=0	=0	=0	=0	=0	=0	=0	=0	=14341025	=1150	=110107	=7	=1892195	=200	=1438130	=250	=2156300	=100	=0	[NULL]	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 00:00:00	=4627	=True	
