Id	CoilId	AlertLevel	Par	Capacity	DesiredPriceInCents	ItemId	CoilDeleted	GroupName	
=1	=41	=2	=6	=9	=275	=1149	=False	[NULL]	
=2	=42	=2	=6	=9	=275	=1148	=False	[NULL]	
=3	=43	=2	=6	=9	=275	=1203	=False	[NULL]	
=4	=43	=2	=9	=9	=275	=1203	=False	[NULL]	
=5	=43	=2	=9	=9	=275	=1330	=False	[NULL]	
=6	=43	=2	=9	=9	=275	=1375	=False	[NULL]	
=7	=44	=2	=8	=8	=250	=904	=False	[NULL]	
=8	=45	=2	=8	=9	=250	=934	=False	[NULL]	
=9	=46	=2	=8	=9	=250	=937	=False	[NULL]	
=10	=47	=2	=8	=9	=250	=1202	=False	[NULL]	
=11	=47	=2	=8	=9	=250	=1203	=False	[NULL]	
=12	=47	=2	=8	=9	=250	=1342	=False	[NULL]	
=13	=48	=2	=8	=9	=175	=1206	=False	[NULL]	
=14	=48	=2	=8	=9	=250	=1341	=False	[NULL]	
=15	=49	=2	=8	=9	=175	=1244	=False	[NULL]	
=16	=49	=1	=8	=9	=200	=1244	=False	[NULL]	
=17	=49	=1	=8	=9	=200	=1346	=False	[NULL]	
=18	=49	=1	=8	=9	=175	=1146	=False	[NULL]	
=19	=50	=10	=40	=40	=125	=910	=False	=A	
=20	=50	=1	=8	=8	=190	=910	=False	=A	
=21	=50	=1	=8	=8	=190	=1130	=False	=A	
=22	=51	=-1000	=0	=0	=125	=910	=False	=A	
=23	=51	=1	=8	=8	=190	=910	=False	=A	
=24	=51	=1	=8	=8	=190	=1105	=False	=A	
=25	=52	=-1000	=0	=0	=125	=910	=False	=A	
=26	=52	=1	=8	=8	=190	=910	=False	=A	
=27	=52	=1	=8	=8	=190	=1073	=False	=A	
=28	=53	=-1000	=0	=0	=125	=1130	=False	=A	
=29	=53	=1	=8	=8	=190	=1074	=False	=A	
=30	=54	=-1000	=0	=0	=125	=1105	=False	=A	
=31	=54	=1	=8	=8	=190	=1327	=False	=A	
=32	=55	=2	=8	=8	=175	=1073	=False	[NULL]	
=33	=55	=2	=8	=8	=190	=1244	=False	[NULL]	
=34	=56	=2	=8	=8	=175	=1074	=False	[NULL]	
=35	=56	=2	=8	=8	=190	=1170	=False	[NULL]	
=36	=57	=2	=8	=8	=175	=1170	=False	[NULL]	
=37	=57	=2	=8	=8	=190	=1343	=False	[NULL]	
=38	=58	=2	=8	=8	=175	=1327	=False	[NULL]	
=39	=58	=2	=8	=8	=200	=1327	=False	[NULL]	
=40	=58	=2	=8	=8	=200	=1345	=False	[NULL]	
=41	=58	=2	=8	=8	=175	=1154	=False	[NULL]	
=42	=59	=1	=8	=8	=150	=947	=False	[NULL]	
=43	=59	=1	=8	=8	=175	=947	=False	=E	
=44	=59	=1	=8	=8	=175	=946	=False	=E	
=45	=60	=1	=8	=8	=150	=947	=False	[NULL]	
=46	=60	=1	=8	=8	=175	=947	=False	=E	
=47	=61	=2	=16	=16	=150	=921	=False	[NULL]	
=48	=61	=1	=8	=8	=175	=921	=False	=B	
=49	=61	=1	=8	=8	=175	=931	=False	=B	
=50	=62	=-1000	=0	=0	=150	=921	=False	[NULL]	
=51	=62	=1	=8	=8	=175	=921	=False	=B	
=52	=62	=1	=8	=8	=175	=929	=False	=B	
=53	=62	=1	=16	=16	=175	=929	=False	=H	
=54	=63	=1	=8	=8	=150	=922	=False	[NULL]	
=55	=63	=1	=8	=8	=175	=1174	=False	[NULL]	
=56	=63	=1	=8	=8	=175	=929	=False	[NULL]	
=57	=63	=-1000	=0	=0	=175	=929	=False	=H	
=58	=64	=1	=8	=8	=150	=926	=False	[NULL]	
=59	=64	=1	=8	=8	=175	=928	=False	[NULL]	
=60	=64	=1	=8	=8	=175	=1174	=False	[NULL]	
=61	=65	=1	=8	=8	=150	=927	=False	[NULL]	
=62	=65	=1	=8	=8	=175	=926	=False	[NULL]	
=63	=65	=1	=8	=8	=175	=914	=False	[NULL]	
=64	=66	=1	=8	=8	=150	=923	=False	[NULL]	
=65	=66	=1	=8	=8	=175	=938	=False	[NULL]	
=66	=67	=1	=8	=8	=150	=1022	=False	[NULL]	
=67	=67	=1	=8	=8	=200	=1022	=False	[NULL]	
=68	=67	=1	=8	=8	=200	=1344	=False	[NULL]	
=69	=67	=1	=8	=8	=175	=928	=False	[NULL]	
=70	=68	=2	=24	=24	=150	=1166	=False	=C	
=71	=68	=1	=8	=8	=175	=927	=False	=C	
=72	=68	=1	=8	=8	=175	=1154	=False	=C	
=73	=68	=1	=8	=8	=175	=922	=False	=C	
=74	=68	=1	=16	=16	=175	=922	=False	=F	
=75	=69	=-1000	=0	=0	=150	=931	=False	=C	
=76	=69	=2	=16	=16	=150	=931	=False	=C	
=77	=69	=2	=16	=16	=150	=1206	=False	=C	
=78	=69	=2	=8	=8	=150	=1206	=False	=C	
=79	=69	=1	=8	=8	=175	=1206	=False	=C	
=80	=69	=1	=8	=8	=175	=1146	=False	=C	
=81	=69	=1	=8	=8	=175	=922	=False	=C	
=82	=69	=-1000	=0	=0	=175	=922	=False	=F	
=83	=70	=-1000	=0	=0	=150	=931	=False	=C	
=84	=70	=-1000	=8	=8	=175	=931	=False	=C	
=85	=70	=1	=8	=8	=175	=931	=False	=C	
=86	=70	=1	=8	=8	=175	=922	=False	=C	
=87	=70	=1	=8	=8	=175	=927	=False	=C	
=88	=70	=1	=16	=16	=175	=927	=False	=G	
=89	=71	=1	=8	=8	=150	=946	=False	[NULL]	
=90	=71	=1	=8	=8	=175	=927	=False	[NULL]	
=91	=71	=-1000	=0	=0	=175	=927	=False	=G	
=92	=72	=1	=8	=8	=150	=1174	=False	[NULL]	
=93	=72	=1	=8	=8	=175	=926	=False	[NULL]	
=94	=72	=4	=16	=214	=175	=926	=False	=E	
=95	=72	=4	=16	=16	=175	=926	=False	=E	
=96	=73	=1	=8	=8	=150	=1036	=False	[NULL]	
=97	=73	=1	=8	=8	=175	=928	=False	[NULL]	
=98	=73	=1	=8	=8	=175	=921	=False	[NULL]	
=99	=73	=1	=16	=16	=175	=921	=False	=B	
=100	=73	=2	=16	=16	=175	=921	=False	=B	
=101	=73	=2	=16	=16	=175	=926	=False	=B	
=102	=73	=-1000	=0	=0	=175	=926	=False	=E	
=103	=74	=1	=8	=8	=150	=938	=False	[NULL]	
=104	=74	=1	=8	=8	=175	=921	=False	[NULL]	
=105	=74	=-1000	=0	=0	=175	=921	=False	=B	
=106	=74	=4	=16	=16	=175	=921	=False	=D	
=107	=75	=2	=16	=16	=150	=929	=False	=D	
=108	=75	=1	=8	=8	=175	=929	=False	=D	
=109	=75	=1	=8	=8	=175	=1022	=False	=D	
=110	=75	=1	=8	=8	=175	=921	=False	=D	
=111	=75	=-1000	=0	=0	=175	=921	=False	=D	
=112	=76	=-1000	=0	=0	=150	=929	=False	=D	
=113	=76	=1	=8	=8	=175	=929	=False	=D	
=114	=76	=1	=8	=8	=175	=923	=False	=D	
=115	=77	=1	=8	=8	=150	=995	=False	[NULL]	
=116	=77	=1	=8	=8	=125	=995	=False	[NULL]	
=117	=77	=1	=8	=8	=125	=910	=False	[NULL]	
=118	=77	=5	=32	=32	=125	=910	=False	=A	
=119	=77	=5	=40	=40	=125	=910	=False	=A	
=120	=78	=1	=8	=8	=150	=993	=False	[NULL]	
=121	=78	=1	=8	=8	=125	=993	=False	[NULL]	
=122	=78	=1	=8	=8	=125	=910	=False	[NULL]	
=123	=78	=-1000	=0	=0	=125	=910	=False	=A	
=124	=79	=1	=8	=8	=150	=992	=False	[NULL]	
=125	=79	=1	=8	=8	=125	=992	=False	[NULL]	
=126	=79	=1	=8	=8	=125	=910	=False	[NULL]	
=127	=79	=-1000	=0	=0	=125	=910	=False	=A	
=128	=80	=1	=8	=8	=150	=991	=False	[NULL]	
=129	=80	=1	=8	=8	=125	=991	=False	[NULL]	
=130	=80	=1	=8	=8	=125	=910	=False	[NULL]	
=131	=80	=-1000	=0	=0	=125	=910	=False	=A	
=132	=81	=1	=8	=8	=150	=996	=False	[NULL]	
=133	=81	=1	=8	=8	=175	=910	=False	[NULL]	
=134	=81	=1	=8	=8	=125	=910	=False	[NULL]	
=135	=81	=-1000	=0	=0	=125	=910	=False	=A	
=136	=82	=1	=8	=8	=150	=914	=False	[NULL]	
=137	=82	=1	=8	=8	=175	=995	=False	[NULL]	
=138	=83	=1	=8	=8	=175	=1146	=False	[NULL]	
=139	=83	=1	=8	=8	=175	=993	=False	[NULL]	
=140	=84	=1	=8	=8	=175	=1154	=False	[NULL]	
=141	=84	=1	=8	=8	=175	=991	=False	[NULL]	
=142	=84	=1	=8	=8	=175	=996	=False	[NULL]	
=143	=85	=1	=8	=8	=125	=1028	=False	[NULL]	
