Id	MachineId	HistoryType	RestockId	EffectiveUtcDateTime	CreatedByUserId	IsRecentUtcCreatedDateTime	Active	
=13419	=44	=RES	=9911	=08/08/2013 06:04:57	[NULL]	=False	=True	
=13420	=52	=RES	=9912	=08/08/2013 06:12:16	[NULL]	=False	=True	
=13421	=52	=REA	=9912	=08/08/2013 06:12:16	=4433	=False	=True	
=13422	=52	=OBS	=9912	=08/08/2013 06:12:16	=4433	=False	=True	
=13423	=44	=REA	=9911	=08/08/2013 06:04:57	=4433	=False	=True	
=13424	=44	=OBS	=9911	=08/08/2013 06:04:57	=4433	=False	=True	
=13425	=16	=RES	=9913	=08/08/2013 06:33:30	[NULL]	=False	=True	
=13426	=41	=RES	=9914	=08/08/2013 06:49:18	[NULL]	=False	=True	
=13427	=31	=COA	[NULL]	=08/08/2013 07:12:13	[NULL]	=False	=True	
=13428	=31	=COA	[NULL]	=08/08/2013 07:12:13	[NULL]	=False	=True	
=13429	=31	=RES	=9915	=08/08/2013 07:12:11	[NULL]	=False	=True	
=13430	=31	=REA	=9915	=08/08/2013 07:12:11	=4433	=False	=True	
=13431	=31	=OBS	=9915	=08/08/2013 07:12:11	=4433	=False	=True	
=13432	=7	=RES	=9916	=08/08/2013 08:27:42	[NULL]	=False	=True	
=13433	=9	=RES	=9917	=08/08/2013 08:36:05	[NULL]	=False	=True	
=13434	=6	=RES	=9918	=08/08/2013 08:56:29	[NULL]	=False	=True	
=13435	=8	=RES	=9919	=08/08/2013 08:20:00	=4433	=False	=True	
=13436	=8	=OBS	=9919	=08/08/2013 08:20:00	=4433	=False	=True	
=13437	=7	=REA	=9916	=08/08/2013 08:27:42	=4433	=False	=True	
=13438	=7	=OBS	=9916	=08/08/2013 08:27:42	=4433	=False	=True	
=13439	=28	=RES	=9920	=08/08/2013 12:47:03	[NULL]	=False	=True	
=13440	=43	=RES	=9921	=08/08/2013 12:52:21	[NULL]	=False	=True	
=13441	=26	=RES	=9922	=08/08/2013 12:56:11	[NULL]	=False	=True	
=13442	=26	=REA	=9922	=08/08/2013 12:56:11	=4433	=False	=True	
=13443	=26	=OBS	=9922	=08/08/2013 12:56:11	=4433	=False	=True	
=13444	=17	=RES	=9923	=08/09/2013 06:29:20	[NULL]	=False	=True	
=13445	=21	=RES	=9924	=08/09/2013 06:35:41	[NULL]	=False	=True	
=13446	=21	=OBS	=9924	=08/09/2013 06:35:41	=4433	=False	=True	
=13447	=18	=RES	=9925	=08/09/2013 06:30:00	=4433	=False	=True	
=13448	=18	=OBS	=9925	=08/09/2013 06:30:00	=4433	=False	=True	
=13449	=17	=REA	=9923	=08/09/2013 06:29:20	=4433	=False	=True	
=13450	=17	=OBS	=9923	=08/09/2013 06:29:20	=4433	=False	=True	
=13451	=5	=RES	=9926	=08/09/2013 07:54:53	[NULL]	=False	=True	
=13452	=1	=RES	=9927	=08/09/2013 07:58:20	[NULL]	=False	=True	
=13453	=5	=REA	=9926	=08/09/2013 07:54:53	=4433	=False	=True	
=13454	=5	=OBS	=9926	=08/09/2013 07:54:53	=4433	=False	=True	
=13455	=1	=REA	=9927	=08/09/2013 07:58:20	=4433	=False	=True	
=13456	=1	=OBS	=9927	=08/09/2013 07:58:20	=4433	=False	=True	
=13457	=1	=REA	=9927	=08/09/2013 07:58:20	=4433	=False	=True	
=13458	=1	=OBS	=9927	=08/09/2013 07:58:20	=4433	=False	=True	
=13459	=31	=RES	=9928	=08/12/2013 06:23:18	[NULL]	=False	=True	
=13460	=41	=RES	=9929	=08/12/2013 06:32:53	[NULL]	=False	=True	
=13461	=14	=RES	=9930	=08/12/2013 06:20:00	=4433	=False	=True	
=13462	=14	=OBS	=9930	=08/12/2013 06:20:00	=4433	=False	=True	
=13463	=31	=REA	=9928	=08/12/2013 06:23:18	=4433	=False	=True	
=13464	=31	=OBS	=9928	=08/12/2013 06:23:18	=4433	=False	=True	
=13465	=41	=REA	=9929	=08/12/2013 06:32:53	=4433	=False	=True	
=13466	=41	=OBS	=9929	=08/12/2013 06:32:53	=4433	=False	=True	
=13467	=44	=RES	=9931	=08/12/2013 06:54:45	[NULL]	=False	=True	
=13468	=21	=RES	=9932	=08/12/2013 06:59:03	=4433	=False	=True	
=13469	=21	=OBS	=9932	=08/12/2013 06:59:03	=4433	=False	=True	
=13470	=44	=REA	=9931	=08/12/2013 06:54:45	=4433	=False	=True	
=13471	=44	=OBS	=9931	=08/12/2013 06:54:45	=4433	=False	=True	
=13472	=19	=COA	[NULL]	=08/12/2013 07:14:03	[NULL]	=False	=True	
=13473	=19	=COA	[NULL]	=08/12/2013 07:14:03	[NULL]	=False	=True	
=13474	=19	=RES	=9933	=08/12/2013 07:14:02	[NULL]	=False	=True	
=13475	=19	=REA	=9933	=08/12/2013 07:14:02	=4433	=False	=True	
=13476	=19	=OBS	=9933	=08/12/2013 07:14:02	=4433	=False	=True	
=13477	=19	=COA	[NULL]	=08/12/2013 09:13:52	[NULL]	=False	=True	
=13478	=19	=COA	[NULL]	=08/12/2013 09:13:52	[NULL]	=False	=True	
=13479	=4	=RES	=9934	=08/12/2013 11:10:00	=4433	=False	=True	
=13480	=4	=OBS	=9934	=08/12/2013 11:10:00	=4433	=False	=True	
=13481	=28	=RES	=9935	=08/12/2013 12:30:17	[NULL]	=False	=True	
=13482	=29	=OBS	[NULL]	=08/13/2013 07:53:38	=4433	=False	=True	
=13483	=37	=RES	=9936	=08/13/2013 08:00:49	[NULL]	=False	=True	
=13484	=36	=RES	=9937	=08/13/2013 08:03:40	[NULL]	=False	=True	
=13485	=36	=REA	=9937	=08/13/2013 08:03:40	=4433	=False	=True	
=13486	=36	=OBS	=9937	=08/13/2013 08:03:40	=4433	=False	=True	
=13487	=1	=RES	=9938	=08/13/2013 08:50:52	[NULL]	=False	=True	
=13488	=3	=RES	=9939	=08/13/2013 08:59:59	[NULL]	=False	=True	
=13489	=5	=RES	=9940	=08/13/2013 09:04:30	[NULL]	=False	=True	
=13490	=6	=RES	=9941	=08/13/2013 09:46:14	[NULL]	=False	=True	
=13491	=5	=REA	=9940	=08/13/2013 09:04:30	=4433	=False	=True	
=13492	=5	=OBS	=9940	=08/13/2013 09:04:30	=4433	=False	=True	
=13493	=2	=RES	=9942	=08/13/2013 08:50:00	=4433	=False	=True	
=13494	=2	=OBS	=9942	=08/13/2013 08:50:00	=4433	=False	=True	
=13495	=1	=REA	=9938	=08/13/2013 08:50:52	=4433	=False	=True	
=13496	=1	=OBS	=9938	=08/13/2013 08:50:52	=4433	=False	=True	
=13497	=6	=REA	=9941	=08/13/2013 09:46:14	=4433	=False	=True	
=13498	=6	=OBS	=9941	=08/13/2013 09:46:14	=4433	=False	=True	
=13499	=15	=COA	[NULL]	=08/13/2013 11:28:05	[NULL]	=False	=True	
=13500	=19	=COA	[NULL]	=08/13/2013 13:15:56	[NULL]	=False	=True	
=13501	=19	=COA	[NULL]	=08/13/2013 13:15:56	[NULL]	=False	=True	
=13502	=26	=RES	=9943	=08/14/2013 06:33:54	[NULL]	=False	=True	
=13503	=43	=RES	=9944	=08/14/2013 06:45:06	[NULL]	=False	=True	
