Id	MachineId	Name	GroupName	Inventory	Par	AlertLevel	Capacity	PriceInCents	DesiredPriceInCents	ItemId	VendsSinceInitializationQuantity	LastSaleDateTime	
=41	=43	=A1	[NULL]	=9	=9	=2	=9	=275	=275	=1149	=600	=08/19/2013 17:08:35	
=42	=43	=A2	[NULL]	=6	=8	=2	=9	=275	=275	=1148	=404	=08/21/2013 17:08:48	
=43	=43	=A3	[NULL]	=9	=9	=2	=9	=275	=275	=1375	=724	=08/19/2013 16:08:33	
=44	=43	=A4	[NULL]	=7	=8	=2	=8	=275	=275	=904	=337	=08/21/2013 15:08:44	
=45	=43	=A5	[NULL]	=8	=8	=2	=9	=250	=250	=934	=605	=08/01/2013 13:59:13	
=46	=43	=A6	[NULL]	=8	=8	=2	=9	=250	=250	=937	=460	=08/17/2013 11:06:22	
=47	=43	=A7	[NULL]	=8	=8	=2	=9	=250	=250	=1342	=309	=08/16/2013 15:06:23	
=48	=43	=A8	[NULL]	=8	=8	=2	=9	=250	=250	=1341	=369	=07/31/2013 13:07:14	
=49	=43	=A9	[NULL]	=7	=8	=1	=9	=175	=175	=1146	=451	=08/21/2013 16:08:46	
=50	=43	=B1	[NULL]	=7	=8	=1	=8	=190	=190	=1130	=1068	=08/16/2013 16:06:24	
=51	=43	=B2	[NULL]	=7	=8	=1	=8	=190	=190	=1105	=725	=08/21/2013 14:08:41	
=52	=43	=B3	[NULL]	=8	=8	=1	=8	=190	=190	=1073	=684	=08/19/2013 21:08:46	
=53	=43	=B4	[NULL]	=7	=8	=1	=8	=190	=190	=1074	=837	=08/21/2013 13:08:40	
=54	=43	=B5	[NULL]	=7	=8	=1	=8	=190	=190	=1327	=835	=08/13/2013 11:06:16	
=55	=43	=B6	[NULL]	=8	=8	=2	=8	=190	=190	=1244	=807	=08/16/2013 15:06:23	
=56	=43	=B7	[NULL]	=7	=8	=2	=8	=190	=190	=1170	=742	=08/16/2013 15:06:23	
=57	=43	=B8	[NULL]	=7	=8	=2	=8	=190	=190	=1343	=491	=08/21/2013 11:08:52	
=58	=43	=B9	[NULL]	=7	=8	=2	=8	=175	=175	=1154	=374	=08/14/2013 10:06:29	
=59	=43	=C1	[NULL]	=7	=8	=1	=8	=175	=175	=946	=590	=08/16/2013 11:06:25	
=60	=43	=C2	[NULL]	=7	=8	=1	=8	=175	=175	=947	=474	=08/20/2013 16:08:42	
=61	=43	=C3	[NULL]	=4	=8	=1	=8	=175	=175	=931	=607	=08/21/2013 15:08:44	
=62	=43	=C4	=H	=14	=16	=1	=16	=175	=175	=929	=582	=08/21/2013 19:08:38	
=63	=43	=C5	=H	=0	=0	=-1000	=0	=175	=175	=929	=602	=08/15/2013 15:06:17	
=64	=43	=C6	[NULL]	=7	=8	=1	=8	=175	=175	=1174	=724	=07/30/2013 16:59:23	
=65	=43	=C7	[NULL]	=7	=8	=1	=8	=175	=175	=914	=654	=08/21/2013 16:08:46	
=66	=43	=C8	[NULL]	=5	=8	=1	=8	=175	=175	=938	=535	=08/21/2013 15:08:44	
=67	=43	=C9	[NULL]	=7	=8	=1	=8	=175	=175	=928	=490	=07/26/2013 16:57:00	
=68	=43	=D1	=F	=14	=16	=1	=16	=175	=175	=922	=615	=08/16/2013 12:06:26	
=69	=43	=D2	=F	=0	=0	=-1000	=0	=175	=175	=922	=343	=08/21/2013 17:08:48	
=70	=43	=D3	=G	=14	=16	=1	=16	=175	=175	=927	=349	=08/21/2013 15:08:44	
=71	=43	=D4	=G	=0	=0	=-1000	=0	=175	=175	=927	=551	=07/31/2013 10:05:39	
=72	=43	=D5	=E	=16	=16	=4	=16	=175	=175	=926	=584	=08/19/2013 14:08:45	
=73	=43	=D6	=E	=0	=0	=-1000	=0	=175	=175	=926	=425	=08/19/2013 12:08:41	
=74	=43	=D7	=D	=10	=16	=4	=16	=175	=175	=921	=525	=08/20/2013 16:08:42	
=75	=43	=D8	=D	=0	=0	=-1000	=0	=175	=175	=921	=724	=08/20/2013 12:21:48	
=76	=43	=D9	[NULL]	=7	=8	=1	=8	=175	=175	=923	=275	=08/20/2013 15:08:40	
=77	=43	=E1	=A	=38	=40	=5	=40	=125	=125	=910	=466	=07/29/2013 12:58:58	
=78	=43	=E2	=A	=0	=0	=-1000	=0	=125	=125	=910	=521	=08/13/2013 15:06:08	
=79	=43	=E3	=A	=0	=0	=-1000	=0	=125	=125	=910	=515	=08/20/2013 10:08:50	
=80	=43	=E4	=A	=0	=0	=-1000	=0	=125	=125	=910	=559	=08/17/2013 13:06:27	
=81	=43	=E5	=A	=0	=0	=-1000	=0	=125	=125	=910	=337	=08/21/2013 15:08:44	
=82	=43	=E6	[NULL]	=8	=8	=1	=8	=175	=175	=995	=364	=08/14/2013 20:06:17	
=83	=43	=E7	[NULL]	=8	=8	=1	=8	=175	=175	=993	=587	=08/19/2013 14:08:45	
=84	=43	=E8	[NULL]	=7	=8	=1	=8	=175	=175	=996	=411	=08/21/2013 12:08:53	
=85	=43	=E9	[NULL]	=8	=8	=1	=8	=175	=175	=992	=321	=08/14/2013 14:06:20	
=126	=39	=1	[NULL]	=7	=12	=4	=48	=175	=175	=1012	=6733	=08/12/2013 14:34:28	
=127	=39	=2	[NULL]	=6	=12	=4	=48	=175	=175	=912	=4756	=08/21/2013 14:38:43	
=128	=39	=3	[NULL]	=7	=12	=4	=48	=175	=175	=1132	=6500	=08/17/2013 14:36:39	
=129	=39	=4	[NULL]	=8	=12	=4	=48	=175	=175	=990	=5681	=08/20/2013 18:36:46	
=130	=39	=5	[NULL]	=12	=12	=2	=48	=175	=175	=999	=3285	=08/17/2013 14:36:39	
=131	=39	=6	[NULL]	=7	=12	=2	=36	=175	=175	=998	=4637	=08/16/2013 14:36:30	
=132	=39	=7	[NULL]	=24	=24	=4	=48	=100	=100	=911	=5363	=08/20/2013 10:36:45	
=133	=39	=8	[NULL]	=10	=12	=2	=36	=350	=350	=933	=2564	=07/23/2013 18:24:27	
=134	=39	=9	[NULL]	=5	=12	=2	=36	=175	=175	=992	=2889	=07/30/2013 18:26:47	
=135	=39	=10	[NULL]	=8	=12	=2	=36	=175	=175	=995	=2959	=07/29/2013 22:26:51	
=136	=44	=A1	[NULL]	=7	=8	=2	=8	=275	=275	=1148	=551	=08/19/2013 17:34:58	
=137	=44	=A2	[NULL]	=7	=8	=2	=8	=275	=275	=1149	=696	=08/20/2013 13:34:48	
=138	=44	=A3	[NULL]	=7	=8	=2	=8	=275	=275	=1375	=831	=08/21/2013 13:34:53	
=139	=44	=A4	[NULL]	=6	=8	=2	=9	=250	=250	=934	=674	=08/21/2013 13:34:53	
=140	=44	=A5	[NULL]	=7	=8	=2	=9	=250	=250	=937	=961	=08/13/2013 17:30:24	
=141	=44	=A6	[NULL]	=6	=8	=2	=9	=250	=250	=936	=678	=08/21/2013 13:34:53	
=142	=44	=A7	[NULL]	=8	=8	=2	=9	=275	=275	=904	=514	=08/19/2013 09:33:01	
=143	=44	=A8	[NULL]	=7	=8	=2	=9	=250	=250	=1342	=620	=08/13/2013 13:30:42	
=144	=44	=A9	[NULL]	=8	=8	=2	=9	=250	=250	=1341	=506	=08/14/2013 13:32:38	
=145	=44	=B1	[NULL]	=7	=8	=2	=8	=190	=190	=1170	=1689	=08/08/2013 12:33:13	
=146	=44	=B2	[NULL]	=7	=8	=2	=8	=190	=190	=1244	=1668	=08/21/2013 21:35:00	
=147	=44	=B3	[NULL]	=7	=8	=2	=8	=190	=190	=1343	=1422	=07/23/2013 16:23:30	
=148	=44	=B4	[NULL]	=7	=8	=2	=8	=190	=190	=1327	=1000	=08/21/2013 17:34:56	
=149	=44	=B5	[NULL]	=8	=8	=2	=8	=190	=190	=1105	=1115	=08/19/2013 17:34:58	
=150	=44	=B6	[NULL]	=8	=8	=2	=8	=190	=190	=1130	=778	=08/20/2013 13:34:48	
=151	=44	=B7	[NULL]	=7	=8	=2	=8	=190	=190	=1074	=915	=08/19/2013 17:34:58	
=152	=44	=B8	[NULL]	=7	=8	=2	=8	=190	=190	=1073	=868	=08/21/2013 17:34:56	
