Id	MachineId	LastRestockAmount	LastRestockQuantity	
=1	=0	[NULL]	=0	
=2	=1	=15.1	=15	
=3	=2	=0	=0	
=4	=3	=23.5	=12	
=5	=4	=0	=0	
=6	=5	=0	=0	
=7	=6	=82.4	=85	
=8	=7	=25.25	=11	
=9	=8	=0	=0	
=10	=9	=45.5	=26	
=11	=10	=87.5	=33	
=12	=11	=1	=1	
=13	=12	=1.25	=1	
=14	=13	=0	=0	
=15	=14	=0	=0	
=16	=15	=0	=0	
=17	=16	=11.75	=7	
=18	=17	=5.9	=7	
=19	=18	=0	=0	
=20	=19	=26.85	=26	
=21	=20	[NULL]	=0	
=22	=21	=26.6	=25	
=23	=22	=1.75	=1	
=24	=23	=0	=0	
=25	=24	=0	=0	
=26	=25	=0	=0	
=27	=26	=48.55	=44	
=28	=27	=19.5	=0	
=29	=28	=35.75	=16	
=30	=29	=28.45	=24	
=31	=30	=92.5	=9	
=32	=31	=39.6	=36	
=33	=32	=0	=0	
=34	=33	=0	=0	
=35	=34	=34.05	=30	
=36	=35	=32	=14	
=37	=36	=24.5	=26	
=38	=37	=22.75	=13	
=39	=38	=16	=4	
=40	=39	=5.25	=3	
=41	=40	=71.75	=0	
=42	=41	=35.35	=20	
=43	=42	=73.75	=0	
=44	=43	=46.7	=25	
=45	=44	=29.7	=15	
=46	=45	=27.15	=14	
=47	=46	=43.75	=22	
=48	=47	=14	=4	
=49	=48	=33.25	=3	
=50	=49	=19.25	=11	
=51	=50	=47.25	=18	
=52	=51	=22.5	=10	
=53	=52	=22	=14	
=54	=53	=36	=14	
=55	=54	=16.5	=7	
=56	=55	=7	=4	
=57	=56	[NULL]	=0	
