PrepickId	ScheduleId	Deleted	CreatedByUserId	CreatedUtcDateTime	FromWarehouseId	PrepickMachineId	MachineId	TruckId	PrepickMachineDetailId	PendingPlanogramChangeCoilId	CoilId	Need	OriginalNeed	Extra	OriginalExtra	UserExtra	SpreadoutQuantity	InitialInventoryLevel	ExpectedInventoryLevel	ItemId	NewItemId	PackId	Par	Capacity	PriceInCents	RoundTo	RoundingThresholdInPercents	PickThresholdInPercents	Note	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=3	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1127	[NULL]	[NULL]	=912	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=1	[NULL]	[NULL]	=5	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1209	[NULL]	[NULL]	=984	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=2	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1211	[NULL]	[NULL]	=504	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=5	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=625	[NULL]	[NULL]	=113	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=4	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=872	[NULL]	[NULL]	=1118	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=7	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=939	[NULL]	[NULL]	=1008	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=6	[NULL]	[NULL]	=1	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1246	[NULL]	[NULL]	=1476	[NULL]	[NULL]	[NULL]	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=8	[NULL]	=5956	=1	=1	=0	=0	[NULL]	=0	=0	=0	=530	[NULL]	[NULL]	=4	=4	=250	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=9	[NULL]	=5957	=2	=2	=0	=0	[NULL]	=0	=0	=0	=586	[NULL]	[NULL]	=4	=4	=275	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=10	[NULL]	=5958	=1	=1	=0	=0	[NULL]	=0	=0	=0	=890	[NULL]	[NULL]	=2	=2	=300	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=11	[NULL]	=5959	=2	=2	=0	=0	[NULL]	=0	=0	=0	=886	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=12	[NULL]	=5960	=1	=1	=0	=0	[NULL]	=0	=0	=0	=956	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=13	[NULL]	=5961	=2	=2	=0	=0	[NULL]	=0	=0	=0	=474	[NULL]	[NULL]	=4	=4	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=14	[NULL]	=5962	=1	=1	=0	=0	[NULL]	=0	=4	=4	=766	[NULL]	[NULL]	=4	=4	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=15	[NULL]	=5963	=2	=2	=0	=0	[NULL]	=0	=0	=0	=716	[NULL]	[NULL]	=4	=4	=150	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=16	[NULL]	=5964	=1	=1	=0	=0	[NULL]	=0	=4	=4	=452	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=17	[NULL]	=5965	=1	=1	=0	=0	[NULL]	=0	=0	=0	=588	[NULL]	[NULL]	=4	=4	=275	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=18	[NULL]	=5966	=2	=2	=0	=0	[NULL]	=0	=0	=0	=584	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=19	[NULL]	=5967	=2	=2	=0	=0	[NULL]	=0	=0	=0	=944	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=20	[NULL]	=5968	=1	=1	=0	=0	[NULL]	=0	=0	=0	=798	[NULL]	[NULL]	=2	=2	=275	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=21	[NULL]	=5969	=2	=2	=0	=0	[NULL]	=0	=0	=0	=946	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=22	[NULL]	=5970	=1	=1	=0	=0	[NULL]	=0	=4	=4	=432	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=23	[NULL]	=5971	=2	=2	=0	=0	[NULL]	=0	=0	=0	=625	[NULL]	[NULL]	=4	=4	=150	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=24	[NULL]	=5972	=3	=3	=0	=0	[NULL]	=0	=0	=0	=681	[NULL]	[NULL]	=4	=4	=150	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=25	[NULL]	=5973	=1	=1	=0	=0	[NULL]	=0	=1	=1	=765	[NULL]	[NULL]	=2	=4	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=26	[NULL]	=5974	=3	=3	=0	=0	[NULL]	=0	=0	=0	=703	[NULL]	[NULL]	=4	=4	=275	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=27	[NULL]	=5975	=3	=3	=0	=0	[NULL]	=0	=0	=0	=719	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=28	[NULL]	=5976	=1	=1	=0	=0	[NULL]	=0	=0	=0	=850	[NULL]	[NULL]	=2	=2	=300	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=29	[NULL]	=5977	=2	=2	=0	=0	[NULL]	=0	=0	=0	=947	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=30	[NULL]	=5978	=1	=1	=0	=0	[NULL]	=0	=0	=0	=945	[NULL]	[NULL]	=2	=2	=350	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=31	[NULL]	=5979	=3	=3	=0	=0	[NULL]	=0	=0	=0	=635	[NULL]	[NULL]	=4	=4	=150	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=32	[NULL]	=5980	=1	=1	=0	=0	[NULL]	=0	=3	=3	=453	[NULL]	[NULL]	=4	=4	=100	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=33	[NULL]	=5981	=2	=2	=0	=0	[NULL]	=0	=4	=4	=348	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2009	=1157781	=3	=34	[NULL]	=5982	=3	=3	=0	=0	[NULL]	=0	=4	=4	=452	[NULL]	[NULL]	=4	=4	=200	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=35	[NULL]	=13980	=0	=0	=0	=0	[NULL]	=0	=4	=4	=467	[NULL]	[NULL]	=4	=10	=80	[NULL]	=0	=33	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=36	[NULL]	=13982	=0	=1	=0	=0	[NULL]	=0	=3	=3	=480	[NULL]	[NULL]	=4	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=37	[NULL]	=13984	=0	=1	=0	=0	[NULL]	=0	=3	=3	=527	[NULL]	[NULL]	=4	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=38	[NULL]	=13986	=2	=2	=0	=0	[NULL]	=0	=2	=2	=1028	[NULL]	[NULL]	=4	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=39	[NULL]	=13988	=4	=4	=0	=0	[NULL]	=0	=0	=0	=347	[NULL]	[NULL]	=4	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=40	[NULL]	=13990	=4	=4	=0	=0	[NULL]	=0	=0	=0	=594	[NULL]	[NULL]	=4	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=41	[NULL]	=13992	=0	=1	=0	=0	[NULL]	=0	=3	=3	=456	[NULL]	[NULL]	=4	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=42	[NULL]	=13994	=2	=2	=0	=0	[NULL]	=0	=2	=2	=322	[NULL]	[NULL]	=4	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=43	[NULL]	=13996	=2	=2	=0	=0	[NULL]	=0	=2	=2	=310	[NULL]	[NULL]	=4	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2010	=1174752	=3	=44	[NULL]	=13998	=4	=4	=0	=0	[NULL]	=0	=0	=0	=316	[NULL]	[NULL]	=4	=12	=60	[NULL]	=0	=33	[NULL]	
