Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=138	=2387	=999958	=572	=	=0	=U	=test@test.com	
=139	=2387	=999967	=248	=	=0	=U	=test@test.com	
=140	=2387	=999994	=264	=	=0	=U	=test@test.com	
=141	=2387	=1011865	=409	=	=0	=U	=test@test.com	
=142	=2387	=1014434	=375	=	=1	=U	=test@test.com	
=143	=2387	=1014434	=377	=	=0	=U	=test@test.com	
=144	=2387	=1014434	=395	=	=0	=U	=test@test.com	
=145	=2387	=1014434	=480	=	=1	=U	=test@test.com	
=146	=2387	=1014434	=604	=	=0	=U	=test@test.com	
=147	=2387	=1027659	=330	=15	=1	=C	=test@test.com	
=148	=2387	=1027659	=309	=17	=0	=C	=test@test.com	
=149	=2387	=1027659	=678	=5	=0	=C	=test@test.com	
=150	=2387	=1027917	=558	=B3	=0	=C	=test@test.com	
=151	=2387	=1028312	=260	=	=4	=U	=test@test.com	
=152	=2387	=1037190	=528	=106	=0	=C	=test@test.com	
=153	=2387	=1037190	=324	=112	=0	=C	=test@test.com	
=154	=2387	=1037190	=972	=154	=0	=C	=test@test.com	
=155	=2387	=1037478	=480	=A3	=0	=C	=test@test.com	
=156	=2387	=1037478	=330	=C1	=0	=C	=test@test.com	
=157	=2387	=1037478	=456	=C3	=0	=C	=test@test.com	
=158	=2387	=1037478	=899	=E8	=0	=C	=test@test.com	
=159	=2387	=1037478	=763	=F1	=0	=C	=test@test.com	
=160	=2387	=1037528	=383	=	=0	=U	=test@test.com	
=161	=2387	=1037528	=527	=	=0	=U	=test@test.com	
=162	=2387	=1037528	=543	=	=0	=U	=test@test.com	
=163	=2387	=1037528	=637	=	=0	=U	=test@test.com	
=164	=2387	=1037535	=754	=C4	=0	=C	=test@test.com	
=165	=2387	=1047404	=383	=	=0	=U	=test@test.com	
=166	=2387	=1047404	=395	=	=0	=U	=test@test.com	
=167	=2387	=1047404	=397	=	=0	=U	=test@test.com	
=168	=2387	=1047404	=543	=	=0	=U	=test@test.com	
=169	=2387	=1047404	=752	=	=0	=U	=test@test.com	
=170	=2387	=1047478	=356	=	=0	=U	=test@test.com	
=171	=2387	=1047478	=527	=	=0	=U	=test@test.com	
=172	=2387	=1047478	=745	=	=0	=U	=test@test.com	
=173	=2387	=1047478	=899	=	=0	=U	=test@test.com	
=174	=2387	=1047478	=972	=	=0	=U	=test@test.com	
=175	=2387	=1047479	=467	=	=0	=U	=test@test.com	
=176	=2387	=1047479	=527	=	=0	=U	=test@test.com	
=177	=2387	=1047479	=528	=	=0	=U	=test@test.com	
=178	=2387	=1047479	=972	=	=0	=U	=test@test.com	
=179	=2387	=1047479	=981	=	=1	=U	=test@test.com	
=180	=2387	=1114518	=249	=5	=7	=C	=test@test.com	
=181	=2387	=1150578	=330	=C5	=0	=C	=test@test.com	
=182	=2387	=1150806	=588	=A0	=0	=C	=test@test.com	
=183	=2387	=1150806	=586	=A8	=0	=C	=test@test.com	
=184	=2387	=1150806	=719	=B0	=0	=C	=test@test.com	
=185	=2387	=1150806	=719	=B4	=0	=C	=test@test.com	
=186	=2387	=1150806	=507	=B8	=0	=C	=test@test.com	
=187	=2387	=1150806	=625	=E6	=1	=C	=test@test.com	
=188	=2387	=1150806	=635	=E8	=0	=C	=test@test.com	
=189	=2387	=1151863	=586	=	=0	=U	=test@test.com	
=190	=2387	=1157681	=330	=	=1	=U	=test@test.com	
=191	=2387	=1157681	=382	=	=1	=U	=test@test.com	
=192	=2387	=1157681	=395	=	=0	=U	=test@test.com	
=193	=2387	=1157681	=569	=	=1	=U	=test@test.com	
=194	=2387	=1174711	=350	=	=0	=U	=test@test.com	
=195	=2387	=1174711	=382	=	=0	=U	=test@test.com	
=196	=2387	=1174711	=527	=	=0	=U	=test@test.com	
