Id	MachineId	PrepickReportDateOnly	BagNumber	
=1	=1027978	=12/13/2013 00:00:00	=1	
=2	=1047404	=12/13/2013 00:00:00	=2	
=3	=1047423	=12/13/2013 00:00:00	=3	
=4	=1047474	=12/13/2013 00:00:00	=4	
=5	=1151863	=12/13/2013 00:00:00	=5	
=6	=1027659	=12/13/2013 00:00:00	=6	
=7	=1027683	=12/13/2013 00:00:00	=7	
=8	=999949	=12/13/2013 00:00:00	=8	
=9	=999950	=12/13/2013 00:00:00	=9	
=10	=1146615	=12/13/2013 00:00:00	=10	
=11	=1146618	=12/13/2013 00:00:00	=11	
=12	=1146624	=12/13/2013 00:00:00	=12	
=13	=1146625	=12/13/2013 00:00:00	=13	
=14	=1146632	=12/13/2013 00:00:00	=14	
=15	=1150578	=12/13/2013 00:00:00	=15	
=16	=1150806	=12/13/2013 00:00:00	=16	
=17	=1028320	=12/13/2013 00:00:00	=17	
=18	=1037478	=12/13/2013 00:00:00	=18	
=19	=1027917	=12/13/2013 00:00:00	=19	
=20	=1028312	=12/13/2013 00:00:00	=20	
=21	=1047477	=12/13/2013 00:00:00	=21	
=22	=1047478	=12/13/2013 00:00:00	=22	
=23	=999999	=12/13/2013 00:00:00	=23	
=24	=1028250	=12/13/2013 00:00:00	=24	
=25	=1037532	=12/13/2013 00:00:00	=25	
=26	=1037528	=12/13/2013 00:00:00	=26	
=27	=1037535	=12/13/2013 00:00:00	=27	
=28	=1047479	=12/13/2013 00:00:00	=28	
=29	=1114505	=12/13/2013 00:00:00	=29	
=30	=1114526	=12/13/2013 00:00:00	=30	
=31	=999967	=12/13/2013 00:00:00	=31	
=32	=1174711	=12/13/2013 00:00:00	=32	
=33	=1114536	=12/13/2013 00:00:00	=33	
=34	=1142537	=12/13/2013 00:00:00	=34	
=35	=1014434	=12/13/2013 00:00:00	=35	
=36	=1157681	=12/13/2013 00:00:00	=36	
=37	=999994	=12/13/2013 00:00:00	=37	
=38	=1174771	=12/13/2013 00:00:00	=38	
=39	=1174961	=12/13/2013 00:00:00	=39	
=40	=999981	=12/13/2013 00:00:00	=40	
=41	=999983	=12/13/2013 00:00:00	=41	
=42	=999970	=12/13/2013 00:00:00	=42	
=43	=1037190	=12/13/2013 00:00:00	=43	
=44	=999946	=12/13/2013 00:00:00	=44	
=45	=1114518	=12/13/2013 00:00:00	=45	
=46	=999963	=12/13/2013 00:00:00	=46	
=47	=1192850	=12/13/2013 00:00:00	=47	
=48	=1192851	=12/13/2013 00:00:00	=48	
=49	=1192852	=12/13/2013 00:00:00	=49	
=50	=999958	=12/13/2013 00:00:00	=50	
=51	=999959	=12/13/2013 00:00:00	=51	
=52	=1192844	=12/13/2013 00:00:00	=52	
=53	=1192845	=12/13/2013 00:00:00	=53	
=54	=1157781	=12/13/2013 00:00:00	=54	
=55	=1011865	=12/13/2013 00:00:00	=55	
=56	=1174752	=12/13/2013 00:00:00	=56	
=57	=1174955	=12/13/2013 00:00:00	=57	
=58	=999944	=12/13/2013 00:00:00	=58	
