Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=275	=2387	=999958	=572	=	=0	=U	=test@test.com	
=276	=2387	=999967	=248	=	=0	=U	=test@test.com	
=277	=2387	=999994	=264	=	=0	=U	=test@test.com	
=278	=2387	=1011865	=409	=	=0	=U	=test@test.com	
=279	=2387	=1014434	=375	=	=1	=U	=test@test.com	
=280	=2387	=1014434	=377	=	=0	=U	=test@test.com	
=281	=2387	=1014434	=395	=	=0	=U	=test@test.com	
=282	=2387	=1014434	=480	=	=1	=U	=test@test.com	
=283	=2387	=1014434	=604	=	=0	=U	=test@test.com	
=284	=2387	=1027659	=330	=15	=1	=C	=test@test.com	
=285	=2387	=1027659	=309	=17	=0	=C	=test@test.com	
=286	=2387	=1027659	=678	=5	=0	=C	=test@test.com	
=287	=2387	=1027917	=558	=B3	=0	=C	=test@test.com	
=288	=2387	=1028312	=260	=	=4	=U	=test@test.com	
=289	=2387	=1037190	=528	=106	=0	=C	=test@test.com	
=290	=2387	=1037190	=324	=112	=0	=C	=test@test.com	
=291	=2387	=1037190	=972	=154	=0	=C	=test@test.com	
=292	=2387	=1037478	=480	=A3	=0	=C	=test@test.com	
=293	=2387	=1037478	=330	=C1	=0	=C	=test@test.com	
=294	=2387	=1037478	=456	=C3	=0	=C	=test@test.com	
=295	=2387	=1037478	=899	=E8	=0	=C	=test@test.com	
=296	=2387	=1037478	=763	=F1	=0	=C	=test@test.com	
=297	=2387	=1037528	=383	=	=0	=U	=test@test.com	
=298	=2387	=1037528	=527	=	=0	=U	=test@test.com	
=299	=2387	=1037528	=543	=	=0	=U	=test@test.com	
=300	=2387	=1037528	=637	=	=0	=U	=test@test.com	
=301	=2387	=1037535	=754	=C4	=0	=C	=test@test.com	
=302	=2387	=1047404	=383	=	=0	=U	=test@test.com	
=303	=2387	=1047404	=395	=	=0	=U	=test@test.com	
=304	=2387	=1047404	=397	=	=0	=U	=test@test.com	
=305	=2387	=1047404	=543	=	=0	=U	=test@test.com	
=306	=2387	=1047404	=752	=	=0	=U	=test@test.com	
=307	=2387	=1047478	=356	=	=0	=U	=test@test.com	
=308	=2387	=1047478	=527	=	=0	=U	=test@test.com	
=309	=2387	=1047478	=745	=	=0	=U	=test@test.com	
=310	=2387	=1047478	=899	=	=0	=U	=test@test.com	
=311	=2387	=1047478	=972	=	=0	=U	=test@test.com	
=312	=2387	=1047479	=467	=	=0	=U	=test@test.com	
=313	=2387	=1047479	=527	=	=0	=U	=test@test.com	
=314	=2387	=1047479	=528	=	=0	=U	=test@test.com	
=315	=2387	=1047479	=972	=	=0	=U	=test@test.com	
=316	=2387	=1047479	=981	=	=1	=U	=test@test.com	
=317	=2387	=1114518	=249	=5	=7	=C	=test@test.com	
=318	=2387	=1150806	=588	=A0	=0	=C	=test@test.com	
=319	=2387	=1150806	=586	=A8	=0	=C	=test@test.com	
