PrepickId	ScheduleId	Deleted	CreatedByUserId	CreatedUtcDateTime	FromWarehouseId	PrepickMachineId	MachineId	TruckId	PrepickMachineDetailId	PendingPlanogramChangeCoilId	CoilId	Need	OriginalNeed	Extra	OriginalExtra	UserExtra	SpreadoutQuantity	InitialInventoryLevel	ExpectedInventoryLevel	ItemId	NewItemId	PackId	Par	Capacity	PriceInCents	RoundTo	RoundingThresholdInPercents	PickThresholdInPercents	Note	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=3	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1127	[NULL]	[NULL]	=912	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=1	[NULL]	[NULL]	=5	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1209	[NULL]	[NULL]	=984	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=2	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1211	[NULL]	[NULL]	=504	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=5	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=625	[NULL]	[NULL]	=113	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=4	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=872	[NULL]	[NULL]	=1118	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=7	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=939	[NULL]	[NULL]	=1008	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=6	[NULL]	[NULL]	=1	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1246	[NULL]	[NULL]	=1476	[NULL]	[NULL]	[NULL]	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=16	[NULL]	=18469	=0	=0	=0	=0	[NULL]	=0	=-1	=0	=572	[NULL]	[NULL]	=0	=60	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=17	[NULL]	=18470	=0	=0	=0	=0	[NULL]	=0	=-1	=0	=573	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=18	[NULL]	=18472	=0	=0	=0	=0	[NULL]	=0	=0	=0	=577	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=19	[NULL]	=18473	=0	=0	=0	=0	[NULL]	=0	=0	=0	=753	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=20	[NULL]	=18474	=0	=0	=0	=0	[NULL]	=0	=0	=0	=580	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=21	[NULL]	=18475	=0	=0	=0	=0	[NULL]	=0	=0	=0	=570	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2011	=999949	=2	=22	[NULL]	=18476	=0	=0	=0	=0	[NULL]	=0	=0	=0	=571	[NULL]	[NULL]	=0	=30	=125	[NULL]	=0	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=40	[NULL]	=16771	=19	=19	=0	=0	[NULL]	=0	=5	=5	=572	[NULL]	[NULL]	=24	=72	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=41	[NULL]	=16772	=13	=13	=0	=0	[NULL]	=0	=11	=11	=572	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=42	[NULL]	=16773	=6	=6	=0	=0	[NULL]	=0	=7	=7	=976	[NULL]	[NULL]	=13	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=43	[NULL]	=16774	=0	=0	=0	=0	[NULL]	=0	=24	=24	=580	[NULL]	[NULL]	=12	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=44	[NULL]	=16775	=0	=5	=0	=0	[NULL]	=0	=19	=19	=577	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=45	[NULL]	=16776	=11	=11	=0	=0	[NULL]	=0	=13	=13	=753	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=46	[NULL]	=16777	=16	=16	=0	=0	[NULL]	=0	=8	=8	=969	[NULL]	[NULL]	=24	=36	=175	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=47	[NULL]	=16778	=0	=1	=0	=0	[NULL]	=0	=23	=23	=970	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2014	=999959	=3	=48	[NULL]	=16779	=12	=11	=0	=0	[NULL]	=0	=13	=13	=348	[NULL]	[NULL]	=24	=36	=225	=6	=0	=31	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2015	=999963	=3	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=49	[NULL]	=12899	=20	=20	=1	=1	[NULL]	=0	=40	=40	=249	[NULL]	[NULL]	=60	=136	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=50	[NULL]	=12900	=14	=14	=1	=1	[NULL]	=0	=16	=16	=253	[NULL]	[NULL]	=30	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=51	[NULL]	=12901	=4	=4	=0	=0	[NULL]	=0	=26	=26	=256	[NULL]	[NULL]	=30	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=52	[NULL]	=12902	=8	=8	=0	=0	[NULL]	=0	=22	=22	=252	[NULL]	[NULL]	=30	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=53	[NULL]	=12903	=5	=5	=0	=0	[NULL]	=0	=43	=43	=254	[NULL]	[NULL]	=48	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=54	[NULL]	=12904	=12	=12	=0	=0	[NULL]	=0	=6	=6	=264	[NULL]	[NULL]	=18	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=55	[NULL]	=12905	=27	=27	=1	=1	[NULL]	=0	=33	=33	=247	[NULL]	[NULL]	=60	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=56	[NULL]	=12906	=24	=24	=0	=0	[NULL]	=0	=0	=0	=248	[NULL]	[NULL]	=24	=68	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2016	=999967	=2	=57	[NULL]	=12907	=0	=0	=0	=0	[NULL]	=0	=20	=20	=856	[NULL]	[NULL]	=18	=48	=200	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=67	[NULL]	=11172	=0	=0	=0	=0	[NULL]	=0	=58	=58	=247	[NULL]	[NULL]	=24	=102	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=68	[NULL]	=11173	=0	=0	=0	=0	[NULL]	=0	=13	=13	=248	[NULL]	[NULL]	=12	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=69	[NULL]	=11174	=0	=0	=0	=0	[NULL]	=0	=19	=19	=264	[NULL]	[NULL]	=18	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=70	[NULL]	=11175	=0	=0	=0	=0	[NULL]	=0	=22	=22	=261	[NULL]	[NULL]	=18	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=71	[NULL]	=11176	=0	=0	=0	=0	[NULL]	=0	=18	=18	=251	[NULL]	[NULL]	=18	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=72	[NULL]	=11177	=0	=0	=0	=0	[NULL]	=0	=16	=16	=260	[NULL]	[NULL]	=12	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=73	[NULL]	=11178	=2	=2	=0	=0	[NULL]	=0	=11	=11	=458	[NULL]	[NULL]	=13	=34	=100	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=74	[NULL]	=11179	=1	=1	=0	=0	[NULL]	=0	=5	=5	=765	[NULL]	[NULL]	=6	=30	=125	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2018	=999981	=2	=75	[NULL]	=11180	=0	=0	=0	=0	[NULL]	=0	=12	=12	=452	[NULL]	[NULL]	=12	=36	=200	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2019	=999983	=2	=76	[NULL]	=11154	=21	=21	=1	=1	[NULL]	=0	=21	=21	=247	[NULL]	[NULL]	=42	=54	=70	[NULL]	=50	=0	[NULL]	
=1984	=2387	=False	=2678	=12/12/2013 11:26:00	=1	=2019	=999983	=2	=77	[NULL]	=11155	=18	=18	=1	=1	[NULL]	=0	=13	=13	=248	[NULL]	[NULL]	=31	=54	=70	[NULL]	=50	=0	[NULL]	
