Id	MachineId	PrepickReportDateOnly	BagNumber	
=1	=1027609	=12/13/2013 00:00:00	=1	
=2	=1027659	=12/13/2013 00:00:00	=2	
=3	=1027683	=12/13/2013 00:00:00	=3	
=4	=999949	=12/13/2013 00:00:00	=4	
=5	=999950	=12/13/2013 00:00:00	=5	
=6	=1146614	=12/13/2013 00:00:00	=6	
=7	=1146615	=12/13/2013 00:00:00	=7	
=8	=1146618	=12/13/2013 00:00:00	=8	
=9	=1146624	=12/13/2013 00:00:00	=9	
=10	=1146625	=12/13/2013 00:00:00	=10	
=11	=1146627	=12/13/2013 00:00:00	=11	
=12	=1146632	=12/13/2013 00:00:00	=12	
=13	=1148758	=12/13/2013 00:00:00	=13	
=14	=1150578	=12/13/2013 00:00:00	=14	
=15	=1150806	=12/13/2013 00:00:00	=15	
=16	=1174738	=12/13/2013 00:00:00	=16	
=17	=1028320	=12/13/2013 00:00:00	=17	
=18	=1037478	=12/13/2013 00:00:00	=18	
=19	=999999	=12/13/2013 00:00:00	=19	
=20	=1028250	=12/13/2013 00:00:00	=20	
=21	=1037532	=12/13/2013 00:00:00	=21	
=22	=1037528	=12/13/2013 00:00:00	=22	
=23	=1037535	=12/13/2013 00:00:00	=23	
=24	=999967	=12/13/2013 00:00:00	=24	
=25	=1174711	=12/13/2013 00:00:00	=25	
=26	=1037537	=12/13/2013 00:00:00	=26	
=27	=1150590	=12/13/2013 00:00:00	=27	
=28	=1150790	=12/13/2013 00:00:00	=28	
=29	=1014434	=12/13/2013 00:00:00	=29	
=30	=1157681	=12/13/2013 00:00:00	=30	
=31	=1137203	=12/13/2013 00:00:00	=31	
=32	=1157802	=12/13/2013 00:00:00	=32	
=33	=1047416	=12/13/2013 00:00:00	=33	
=34	=1047417	=12/13/2013 00:00:00	=34	
=35	=1047418	=12/13/2013 00:00:00	=35	
=36	=1157588	=12/13/2013 00:00:00	=36	
=37	=1171112	=12/13/2013 00:00:00	=37	
=38	=1171552	=12/13/2013 00:00:00	=38	
=39	=999943	=12/13/2013 00:00:00	=39	
=40	=999994	=12/13/2013 00:00:00	=40	
=41	=1171504	=12/13/2013 00:00:00	=41	
=42	=1174771	=12/13/2013 00:00:00	=42	
=43	=1174961	=12/13/2013 00:00:00	=43	
