Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=89	=2387	=999967	=248	=	=0	=U	=test@test.com	
=90	=2387	=999984	=637	=110	=0	=C	=test@test.com	
=91	=2387	=999994	=264	=	=0	=U	=test@test.com	
=92	=2387	=1014434	=375	=	=1	=U	=test@test.com	
=93	=2387	=1014434	=377	=	=0	=U	=test@test.com	
=94	=2387	=1014434	=395	=	=0	=U	=test@test.com	
=95	=2387	=1014434	=480	=	=1	=U	=test@test.com	
=96	=2387	=1014434	=604	=	=0	=U	=test@test.com	
=97	=2387	=1027659	=330	=15	=1	=C	=test@test.com	
=98	=2387	=1027659	=309	=17	=0	=C	=test@test.com	
=99	=2387	=1027659	=678	=5	=0	=C	=test@test.com	
=100	=2387	=1037190	=528	=106	=0	=C	=test@test.com	
=101	=2387	=1037190	=324	=112	=0	=C	=test@test.com	
=102	=2387	=1037190	=972	=154	=0	=C	=test@test.com	
=103	=2387	=1037478	=480	=A3	=0	=C	=test@test.com	
=104	=2387	=1037478	=330	=C1	=0	=C	=test@test.com	
=105	=2387	=1037478	=456	=C3	=0	=C	=test@test.com	
=106	=2387	=1037478	=899	=E8	=0	=C	=test@test.com	
=107	=2387	=1037478	=763	=F1	=0	=C	=test@test.com	
=108	=2387	=1037528	=383	=	=0	=U	=test@test.com	
=109	=2387	=1037528	=527	=	=0	=U	=test@test.com	
=110	=2387	=1037528	=543	=	=0	=U	=test@test.com	
=111	=2387	=1037528	=637	=	=0	=U	=test@test.com	
=112	=2387	=1037535	=754	=C4	=0	=C	=test@test.com	
=113	=2387	=1037536	=677	=	=1	=U	=test@test.com	
=114	=2387	=1037537	=381	=	=0	=U	=test@test.com	
=115	=2387	=1037537	=589	=	=0	=U	=test@test.com	
=116	=2387	=1114518	=249	=5	=7	=C	=test@test.com	
=117	=2387	=1137192	=980	=114	=0	=C	=test@test.com	
=118	=2387	=1137192	=973	=166	=0	=C	=test@test.com	
=119	=2387	=1137203	=426	=	=0	=U	=test@test.com	
=120	=2387	=1137203	=527	=	=0	=U	=test@test.com	
=121	=2387	=1142374	=347	=	=0	=U	=test@test.com	
=122	=2387	=1142374	=609	=	=0	=U	=test@test.com	
=123	=2387	=1142374	=904	=	=0	=U	=test@test.com	
=124	=2387	=1146627	=381	=G1	=0	=C	=test@test.com	
=125	=2387	=1150578	=330	=C5	=0	=C	=test@test.com	
=126	=2387	=1150806	=588	=A0	=0	=C	=test@test.com	
=127	=2387	=1150806	=586	=A8	=0	=C	=test@test.com	
=128	=2387	=1150806	=719	=B0	=0	=C	=test@test.com	
=129	=2387	=1150806	=719	=B4	=0	=C	=test@test.com	
=130	=2387	=1150806	=507	=B8	=0	=C	=test@test.com	
=131	=2387	=1150806	=625	=E6	=1	=C	=test@test.com	
=132	=2387	=1150806	=635	=E8	=0	=C	=test@test.com	
=133	=2387	=1157681	=330	=	=1	=U	=test@test.com	
=134	=2387	=1157681	=382	=	=1	=U	=test@test.com	
=135	=2387	=1157681	=395	=	=0	=U	=test@test.com	
=136	=2387	=1157681	=569	=	=1	=U	=test@test.com	
=137	=2387	=1171112	=347	=	=0	=U	=test@test.com	
=138	=2387	=1174711	=350	=	=0	=U	=test@test.com	
=139	=2387	=1174711	=382	=	=0	=U	=test@test.com	
=140	=2387	=1174711	=527	=	=0	=U	=test@test.com	
=141	=2387	=1174711	=745	=	=0	=U	=test@test.com	
=142	=2387	=1174711	=899	=	=0	=U	=test@test.com	
=143	=2387	=1174771	=319	=	=0	=U	=test@test.com	
=144	=2387	=1174771	=763	=	=0	=U	=test@test.com	
=145	=2387	=1174771	=972	=	=0	=U	=test@test.com	
=146	=2387	=1176067	=301	=	=0	=U	=test@test.com	
=147	=2387	=1182012	=385	=160	=0	=C	=test@test.com	
=334	=2388	=999958	=572	=	=0	=U	=test@test.com	
=335	=2388	=999985	=974	=	=0	=U	=test@test.com	
=336	=2388	=999986	=619	=	=0	=U	=test@test.com	
=337	=2388	=999995	=301	=	=0	=U	=test@test.com	
=338	=2388	=999998	=347	=	=0	=U	=test@test.com	
=339	=2388	=1011865	=409	=	=0	=U	=test@test.com	
=340	=2388	=1014674	=397	=	=1	=U	=test@test.com	
=341	=2388	=1014674	=972	=	=0	=U	=test@test.com	
=342	=2388	=1027835	=671	=	=0	=U	=test@test.com	
=343	=2388	=1027917	=558	=B3	=0	=C	=test@test.com	
=344	=2388	=1027986	=377	=G2	=0	=C	=test@test.com	
=345	=2388	=1028312	=260	=	=4	=U	=test@test.com	
=346	=2388	=1028788	=425	=	=0	=U	=test@test.com	
=347	=2388	=1028788	=972	=	=0	=U	=test@test.com	
