Id	MachineId	PrepickReportDateOnly	BagNumber	
=1	=1027978	=12/13/2013 00:00:00	=1	
=2	=1047404	=12/13/2013 00:00:00	=2	
=3	=1047423	=12/13/2013 00:00:00	=3	
=4	=1047474	=12/13/2013 00:00:00	=4	
=5	=1151863	=12/13/2013 00:00:00	=5	
=6	=1027917	=12/13/2013 00:00:00	=6	
=7	=1028312	=12/13/2013 00:00:00	=7	
=8	=1047477	=12/13/2013 00:00:00	=8	
=9	=1047478	=12/13/2013 00:00:00	=9	
=10	=1047479	=12/13/2013 00:00:00	=10	
=11	=1114505	=12/13/2013 00:00:00	=11	
=12	=1114526	=12/13/2013 00:00:00	=12	
=13	=1114536	=12/13/2013 00:00:00	=13	
=14	=1142537	=12/13/2013 00:00:00	=14	
=15	=999963	=12/13/2013 00:00:00	=15	
=16	=1192850	=12/13/2013 00:00:00	=16	
=17	=1192851	=12/13/2013 00:00:00	=17	
=18	=1192852	=12/13/2013 00:00:00	=18	
=19	=999958	=12/13/2013 00:00:00	=19	
=20	=999959	=12/13/2013 00:00:00	=20	
=21	=1192844	=12/13/2013 00:00:00	=21	
=22	=1192845	=12/13/2013 00:00:00	=22	
=23	=1157781	=12/13/2013 00:00:00	=23	
=24	=1011865	=12/13/2013 00:00:00	=24	
=25	=1174752	=12/13/2013 00:00:00	=25	
=26	=1174955	=12/13/2013 00:00:00	=26	
=27	=1027978	=12/14/2013 00:00:00	=27	
=28	=1047404	=12/14/2013 00:00:00	=28	
=29	=1047423	=12/14/2013 00:00:00	=29	
=30	=1047474	=12/14/2013 00:00:00	=30	
=31	=1151863	=12/14/2013 00:00:00	=31	
=32	=1047477	=12/14/2013 00:00:00	=32	
=33	=1047478	=12/14/2013 00:00:00	=33	
=34	=1047479	=12/14/2013 00:00:00	=34	
=35	=1114505	=12/14/2013 00:00:00	=35	
=36	=1114526	=12/14/2013 00:00:00	=36	
=37	=1114536	=12/14/2013 00:00:00	=37	
=38	=1142537	=12/14/2013 00:00:00	=38	
=39	=1174705	=12/14/2013 00:00:00	=39	
=40	=1174759	=12/14/2013 00:00:00	=40	
=41	=1174952	=12/14/2013 00:00:00	=41	
=42	=1192850	=12/14/2013 00:00:00	=42	
=43	=1192851	=12/14/2013 00:00:00	=43	
=44	=1192852	=12/14/2013 00:00:00	=44	
=45	=999958	=12/14/2013 00:00:00	=45	
=46	=999959	=12/14/2013 00:00:00	=46	
=47	=1192844	=12/14/2013 00:00:00	=47	
=48	=1192845	=12/14/2013 00:00:00	=48	
=49	=1011865	=12/14/2013 00:00:00	=49	
=50	=1174752	=12/14/2013 00:00:00	=50	
=51	=1174955	=12/14/2013 00:00:00	=51	
=52	=999944	=12/14/2013 00:00:00	=52	
