Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=94	=2387	=999958	=572	=	=0	=U	=test@test.com	
=95	=2387	=1011865	=409	=	=0	=U	=test@test.com	
=96	=2387	=1027917	=558	=B3	=0	=C	=test@test.com	
=97	=2387	=1028312	=260	=	=4	=U	=test@test.com	
=98	=2387	=1047404	=383	=	=0	=U	=test@test.com	
=99	=2387	=1047404	=395	=	=0	=U	=test@test.com	
=100	=2387	=1047404	=397	=	=0	=U	=test@test.com	
=101	=2387	=1047404	=543	=	=0	=U	=test@test.com	
=102	=2387	=1047404	=752	=	=0	=U	=test@test.com	
=103	=2387	=1047478	=356	=	=0	=U	=test@test.com	
=104	=2387	=1047478	=527	=	=0	=U	=test@test.com	
=105	=2387	=1047478	=745	=	=0	=U	=test@test.com	
=106	=2387	=1047478	=899	=	=0	=U	=test@test.com	
=107	=2387	=1047478	=972	=	=0	=U	=test@test.com	
=108	=2387	=1047479	=467	=	=0	=U	=test@test.com	
=109	=2387	=1047479	=527	=	=0	=U	=test@test.com	
=110	=2387	=1047479	=528	=	=0	=U	=test@test.com	
=111	=2387	=1047479	=972	=	=0	=U	=test@test.com	
=112	=2387	=1047479	=981	=	=1	=U	=test@test.com	
=113	=2387	=1151863	=586	=	=0	=U	=test@test.com	
=114	=2387	=1174752	=347	=108	=0	=C	=test@test.com	
=115	=2387	=1174752	=594	=110	=0	=C	=test@test.com	
=116	=2387	=1174752	=316	=118	=0	=C	=test@test.com	
=117	=2387	=1174752	=930	=150	=0	=C	=test@test.com	
=118	=2387	=1174955	=527	=	=0	=U	=test@test.com	
=119	=2387	=1192844	=714	=	=2	=U	=test@test.com	
=120	=2387	=1192844	=715	=	=1	=U	=test@test.com	
=121	=2387	=1192845	=570	=1	=0	=C	=test@test.com	
=122	=2387	=1192845	=707	=3	=4	=C	=test@test.com	
=123	=2387	=1192845	=714	=4	=0	=C	=test@test.com	
=124	=2387	=1192845	=918	=6	=2	=C	=test@test.com	
=125	=2387	=1192845	=348	=8	=0	=C	=test@test.com	
=126	=2387	=1192850	=248	=	=0	=U	=test@test.com	
=127	=2387	=1192850	=705	=	=0	=U	=test@test.com	
=128	=2387	=1192850	=766	=	=0	=U	=test@test.com	
=129	=2387	=1192851	=835	=104	=0	=C	=test@test.com	
=130	=2387	=1192851	=867	=108	=0	=C	=test@test.com	
=131	=2387	=1192851	=868	=109	=0	=C	=test@test.com	
=132	=2387	=1192851	=869	=110	=0	=C	=test@test.com	
=133	=2387	=1192851	=912	=111	=0	=C	=test@test.com	
=134	=2387	=1192851	=940	=16	=0	=C	=test@test.com	
=135	=2387	=1192851	=942	=17	=0	=C	=test@test.com	
=136	=2387	=1192851	=791	=20	=0	=C	=test@test.com	
=137	=2387	=1192851	=794	=23	=0	=C	=test@test.com	
=138	=2387	=1192851	=900	=26	=0	=C	=test@test.com	
=139	=2387	=1192851	=978	=3	=0	=C	=test@test.com	
=140	=2387	=1192851	=849	=30	=0	=C	=test@test.com	
=141	=2387	=1192851	=886	=31	=0	=C	=test@test.com	
