PrepickId	ScheduleId	Deleted	CreatedByUserId	CreatedUtcDateTime	FromWarehouseId	PrepickMachineId	MachineId	TruckId	PrepickMachineDetailId	PendingPlanogramChangeCoilId	CoilId	Need	OriginalNeed	Extra	OriginalExtra	UserExtra	SpreadoutQuantity	InitialInventoryLevel	ExpectedInventoryLevel	ItemId	NewItemId	PackId	Par	Capacity	PriceInCents	RoundTo	RoundingThresholdInPercents	PickThresholdInPercents	Note	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=3	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1127	[NULL]	[NULL]	=912	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=1	[NULL]	[NULL]	=5	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1209	[NULL]	[NULL]	=984	[NULL]	[NULL]	[NULL]	[NULL]	
=1982	=2378	=False	[NULL]	=02/06/2014 12:20:53	[NULL]	=2007	=999945	=3	=2	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1211	[NULL]	[NULL]	=504	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=5	[NULL]	[NULL]	=4	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=625	[NULL]	[NULL]	=113	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=4	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=872	[NULL]	[NULL]	=1118	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=7	[NULL]	[NULL]	=3	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=939	[NULL]	[NULL]	=1008	[NULL]	[NULL]	[NULL]	[NULL]	
=1983	=2379	=False	[NULL]	=02/06/2014 12:21:42	[NULL]	=2008	=999944	=3	=6	[NULL]	[NULL]	=1	[NULL]	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1246	[NULL]	[NULL]	=1476	[NULL]	[NULL]	[NULL]	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=8	[NULL]	=16762	=36	=36	=0	=0	[NULL]	=0	=16	=0	=572	[NULL]	[NULL]	=36	=72	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=9	[NULL]	=16763	=24	=24	=0	=0	[NULL]	=0	=10	=0	=572	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=10	[NULL]	=16764	=0	=0	=0	=0	[NULL]	=0	=24	=22	=573	[NULL]	[NULL]	=12	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=11	[NULL]	=16765	=0	=0	=0	=0	[NULL]	=0	=27	=26	=574	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=12	[NULL]	=16766	=8	=8	=0	=0	[NULL]	=0	=31	=16	=577	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=13	[NULL]	=16767	=0	=6	=0	=0	[NULL]	=0	=22	=18	=969	[NULL]	[NULL]	=24	=36	=175	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=14	[NULL]	=16768	=15	=15	=0	=0	[NULL]	=0	=15	=9	=856	[NULL]	[NULL]	=24	=36	=225	[NULL]	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=15	[NULL]	=16769	=0	=4	=0	=0	[NULL]	=0	=25	=20	=918	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2009	=999958	=3	=16	[NULL]	=16770	=0	=5	=0	=0	[NULL]	=0	=27	=19	=578	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=17	[NULL]	=16771	=19	=19	=0	=0	[NULL]	=0	=5	=5	=572	[NULL]	[NULL]	=24	=72	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=18	[NULL]	=16772	=13	=13	=0	=0	[NULL]	=0	=11	=11	=572	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=19	[NULL]	=16773	=6	=6	=0	=0	[NULL]	=0	=7	=7	=976	[NULL]	[NULL]	=13	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=20	[NULL]	=16774	=0	=0	=0	=0	[NULL]	=0	=24	=24	=580	[NULL]	[NULL]	=12	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=21	[NULL]	=16775	=0	=5	=0	=0	[NULL]	=0	=19	=19	=577	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=22	[NULL]	=16776	=11	=11	=0	=0	[NULL]	=0	=13	=13	=753	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=23	[NULL]	=16777	=16	=16	=0	=0	[NULL]	=0	=8	=8	=969	[NULL]	[NULL]	=24	=36	=175	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=24	[NULL]	=16778	=0	=1	=0	=0	[NULL]	=0	=23	=23	=970	[NULL]	[NULL]	=24	=36	=150	[NULL]	=0	=30	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2010	=999959	=3	=25	[NULL]	=16779	=12	=11	=0	=0	[NULL]	=0	=13	=13	=348	[NULL]	[NULL]	=24	=36	=225	=6	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2011	=999963	=3	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=26	[NULL]	=12201	=2	=2	=0	=0	[NULL]	=0	=4	=4	=637	[NULL]	[NULL]	=6	=10	=80	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=27	[NULL]	=12203	=0	=0	=0	=0	[NULL]	=0	=6	=6	=678	[NULL]	[NULL]	=6	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=28	[NULL]	=12205	=4	=4	=0	=0	[NULL]	=0	=2	=2	=480	[NULL]	[NULL]	=6	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=29	[NULL]	=12207	=0	=1	=0	=0	[NULL]	=0	=5	=5	=481	[NULL]	[NULL]	=6	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=30	[NULL]	=12209	=3	=3	=0	=0	[NULL]	=0	=3	=3	=528	[NULL]	[NULL]	=6	=10	=80	[NULL]	=0	=31	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=31	[NULL]	=12211	=0	=1	=0	=0	[NULL]	=0	=5	=5	=594	[NULL]	[NULL]	=6	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=32	[NULL]	=12213	=5	=5	=0	=0	[NULL]	=0	=1	=1	=319	[NULL]	[NULL]	=6	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=33	[NULL]	=12215	=0	=1	=0	=0	[NULL]	=0	=5	=5	=318	[NULL]	[NULL]	=6	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=34	[NULL]	=12217	=0	=0	=0	=0	[NULL]	=0	=6	=6	=325	[NULL]	[NULL]	=6	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=35	[NULL]	=12219	=2	=2	=0	=0	[NULL]	=0	=4	=4	=327	[NULL]	[NULL]	=6	=12	=60	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=36	[NULL]	=12221	=5	=5	=0	=0	[NULL]	=0	=1	=1	=954	[NULL]	[NULL]	=6	=10	=75	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=37	[NULL]	=12223	=2	=2	=0	=0	[NULL]	=0	=4	=4	=441	[NULL]	[NULL]	=6	=10	=75	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=38	[NULL]	=12225	=0	=0	=0	=0	[NULL]	=0	=6	=6	=437	[NULL]	[NULL]	=6	=10	=75	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=39	[NULL]	=12227	=4	=4	=0	=0	[NULL]	=0	=4	=4	=350	[NULL]	[NULL]	=8	=10	=75	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=40	[NULL]	=12229	=4	=4	=0	=0	[NULL]	=0	=2	=2	=671	[NULL]	[NULL]	=6	=10	=75	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=41	[NULL]	=12231	=0	=0	=0	=0	[NULL]	=0	=6	=6	=422	[NULL]	[NULL]	=6	=15	=65	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=42	[NULL]	=12232	=0	=0	=0	=0	[NULL]	=0	=6	=6	=622	[NULL]	[NULL]	=4	=15	=65	[NULL]	=0	=33	[NULL]	
=1984	=2387	=True	=2678	=12/12/2013 11:26:00	=1	=2012	=1011865	=3	=43	[NULL]	=12233	=0	=0	=0	=0	[NULL]	=0	=5	=5	=414	[NULL]	[NULL]	=4	=15	=65	[NULL]	=0	=33	[NULL]	
