Id	MachineId	Name	GroupName	Inventory	Par	AlertLevel	Capacity	PriceInCents	DesiredPriceInCents	ItemId	VendsSinceInitializationQuantity	LastSaleDateTime	
=41	=43	=A1	[NULL]	=8	=9	=2	=9	=275	=275	=1149	=681	=01/27/2014 19:01:23	
=42	=43	=A2	[NULL]	=5	=8	=2	=9	=275	=275	=1148	=527	=01/27/2014 16:25:16	
=43	=43	=A3	[NULL]	=7	=9	=2	=9	=300	=300	=1375	=873	=01/23/2014 13:34:55	
=44	=43	=A4	[NULL]	=6	=8	=2	=8	=300	=300	=904	=409	=01/27/2014 16:25:16	
=45	=43	=A5	[NULL]	=3	=8	=2	=9	=250	=250	=934	=740	=01/27/2014 19:01:23	
=46	=43	=A6	[NULL]	=6	=8	=2	=9	=250	=250	=1390	=523	=01/27/2014 16:25:16	
=47	=43	=A7	[NULL]	=8	=8	=2	=9	=250	=250	=1342	=364	=01/21/2014 17:22:44	
=48	=43	=A8	[NULL]	=8	=8	=2	=9	=250	=250	=1341	=409	=01/14/2014 15:36:31	
=49	=43	=A9	[NULL]	=7	=8	=1	=9	=190	=190	=1146	=522	=01/27/2014 17:43:19	
=50	=43	=B1	[NULL]	=6	=8	=1	=8	=200	=200	=1130	=1150	=01/27/2014 16:25:16	
=51	=43	=B2	[NULL]	=6	=8	=1	=8	=200	=200	=1105	=846	=01/27/2014 08:37:15	
=52	=43	=B3	[NULL]	=3	=8	=1	=8	=200	=200	=1073	=773	=01/27/2014 16:25:16	
=53	=43	=B4	[NULL]	=6	=8	=1	=8	=200	=200	=1074	=904	=01/24/2014 12:56:27	
=54	=43	=B5	[NULL]	=7	=8	=1	=8	=200	=200	=1327	=875	=01/27/2014 13:49:25	
=55	=43	=B6	[NULL]	=7	=8	=2	=8	=200	=200	=1244	=853	=01/22/2014 18:05:03	
=56	=43	=B7	[NULL]	=7	=8	=2	=8	=200	=200	=1170	=783	=01/27/2014 16:25:16	
=57	=43	=B8	[NULL]	=4	=8	=2	=8	=200	=200	=1343	=561	=01/27/2014 16:25:16	
=58	=43	=B9	[NULL]	=4	=8	=2	=8	=190	=190	=1154	=467	=01/27/2014 19:01:23	
=59	=43	=C1	=B	=11	=16	=2	=16	=175	=175	=947	=674	=01/27/2014 22:55:11	
=60	=43	=C2	=B	=0	=0	=-1000	=0	=175	=175	=947	=559	=12/11/2013 19:06:30	
=61	=43	=C3	[NULL]	=8	=8	=1	=8	=175	=175	=931	=712	=01/24/2014 07:46:55	
=62	=43	=C4	=H	=12	=16	=1	=16	=175	=175	=929	=685	=01/27/2014 11:13:23	
=63	=43	=C5	=H	=0	=0	=-1000	=0	=175	=175	=929	=688	=10/09/2013 14:11:54	
=64	=43	=C6	[NULL]	=6	=8	=1	=8	=175	=175	=1174	=793	=01/27/2014 20:19:16	
=65	=43	=C7	[NULL]	=7	=8	=1	=8	=175	=175	=946	=722	=01/27/2014 16:25:16	
=66	=43	=C8	[NULL]	=8	=8	=1	=8	=175	=175	=938	=616	=01/06/2014 13:33:41	
=67	=43	=C9	[NULL]	=6	=8	=1	=8	=175	=175	=928	=547	=01/27/2014 11:13:23	
=68	=43	=D1	=C	=15	=16	=1	=16	=175	=175	=922	=689	=01/27/2014 19:01:23	
=69	=43	=D2	=C	=0	=0	=-1000	=0	=175	=175	=922	=402	=12/11/2013 15:06:36	
=70	=43	=D3	=F	=14	=16	=1	=16	=175	=175	=927	=401	=01/27/2014 19:01:23	
=71	=43	=D4	=F	=0	=0	=-1000	=0	=175	=175	=927	=659	=01/22/2014 15:16:51	
=72	=43	=D5	=E	=15	=16	=4	=16	=175	=175	=926	=686	=01/27/2014 17:43:19	
=73	=43	=D6	=E	=0	=0	=-1000	=0	=175	=175	=926	=484	=10/09/2013 21:12:00	
=74	=43	=D7	=D	=10	=16	=4	=16	=175	=175	=921	=655	=01/27/2014 13:49:25	
=75	=43	=D8	=D	=0	=0	=-1000	=0	=175	=175	=921	=772	=10/10/2013 10:14:01	
=76	=43	=D9	[NULL]	=8	=8	=1	=8	=175	=175	=923	=384	=01/24/2014 11:41:08	
=77	=43	=E1	=A	=24	=40	=5	=40	=125	=125	=910	=483	=01/27/2014 16:25:16	
=78	=43	=E2	=A	=0	=0	=-1000	=0	=125	=125	=910	=582	=10/09/2013 21:12:00	
=79	=43	=E3	=A	=0	=0	=-1000	=0	=125	=125	=910	=667	=10/10/2013 12:14:07	
=80	=43	=E4	=A	=0	=0	=-1000	=0	=125	=125	=910	=684	=10/09/2013 10:11:57	
=81	=43	=E5	=A	=0	=0	=-1000	=0	=125	=125	=910	=423	=10/08/2013 19:12:02	
=82	=43	=E6	[NULL]	=5	=7	=1	=8	=125	=175	=995	=440	=01/27/2014 15:07:04	
=83	=43	=E7	[NULL]	=7	=7	=1	=8	=125	=175	=992	=705	=01/11/2014 14:48:07	
=84	=43	=E8	[NULL]	=5	=7	=1	=8	=175	=175	=993	=478	=01/27/2014 20:19:16	
=85	=43	=E9	[NULL]	=6	=7	=1	=8	=175	=175	=914	=364	=12/10/2013 22:06:26	
=126	=39	=1	[NULL]	=0	=16	=4	=48	=175	=175	=1012	=6798	=12/05/2013 18:05:32	
=127	=39	=2	[NULL]	=3	=12	=4	=48	=175	=175	=912	=4795	=12/10/2013 18:07:45	
=128	=39	=3	[NULL]	=4	=12	=4	=48	=175	=175	=1132	=6513	=01/25/2014 11:58:30	
=129	=39	=4	[NULL]	=2	=16	=4	=48	=175	=175	=990	=5758	=01/22/2014 17:34:31	
=130	=39	=5	[NULL]	=6	=12	=2	=48	=175	=175	=999	=3303	=01/23/2014 14:19:24	
=131	=39	=6	[NULL]	=4	=12	=2	=36	=175	=175	=998	=4680	=01/27/2014 22:06:37	
=132	=39	=7	[NULL]	=12	=24	=4	=48	=100	=100	=911	=5444	=01/27/2014 17:57:41	
=133	=39	=8	[NULL]	=8	=12	=2	=36	=350	=350	=933	=2575	=12/19/2013 14:10:22	
=134	=39	=9	[NULL]	=8	=12	=2	=36	=175	=175	=992	=2906	=01/16/2014 16:17:08	
=135	=39	=10	[NULL]	=8	=12	=2	=36	=175	=175	=995	=2977	=12/07/2013 14:05:34	
=136	=44	=A1	[NULL]	=6	=8	=2	=8	=275	=275	=1148	=630	=01/27/2014 18:13:27	
=137	=44	=A2	[NULL]	=7	=8	=2	=8	=275	=275	=1149	=752	=01/27/2014 13:52:40	
=138	=44	=A3	[NULL]	=5	=8	=2	=8	=300	=300	=1375	=897	=01/27/2014 22:34:37	
=139	=44	=A4	[NULL]	=5	=8	=2	=9	=250	=250	=934	=811	=01/27/2014 18:13:27	
=140	=44	=A5	[NULL]	=8	=8	=2	=9	=250	=250	=937	=994	=01/23/2014 18:29:21	
=141	=44	=A6	[NULL]	=8	=8	=2	=9	=250	=250	=936	=726	=01/24/2014 20:35:20	
=142	=44	=A7	[NULL]	=7	=8	=2	=9	=250	=250	=1391	=570	=01/22/2014 16:23:12	
=143	=44	=A8	[NULL]	=6	=8	=2	=9	=250	=250	=1342	=659	=01/27/2014 18:13:27	
=144	=44	=A9	[NULL]	=1	=8	=2	=9	=300	=300	=904	=542	=01/27/2014 22:34:37	
=145	=44	=B1	[NULL]	=8	=8	=2	=8	=200	=200	=1170	=1713	=01/15/2014 14:39:49	
=146	=44	=B2	[NULL]	=6	=8	=2	=8	=200	=200	=1244	=1710	=01/27/2014 22:34:37	
=147	=44	=B3	[NULL]	=6	=8	=2	=8	=200	=200	=1343	=1491	=01/27/2014 18:13:27	
=148	=44	=B4	[NULL]	=7	=8	=2	=8	=200	=200	=1327	=1038	=01/27/2014 13:52:40	
=149	=44	=B5	[NULL]	=7	=8	=2	=8	=200	=200	=1105	=1271	=01/27/2014 22:34:37	
=150	=44	=B6	[NULL]	=6	=8	=2	=8	=200	=200	=1130	=871	=01/27/2014 18:13:27	
=151	=44	=B7	[NULL]	=7	=8	=2	=8	=200	=200	=1074	=1000	=01/27/2014 13:52:40	
=152	=44	=B8	[NULL]	=6	=8	=2	=8	=200	=200	=1073	=975	=01/27/2014 13:52:40	
=153	=44	=B9	[NULL]	=7	=8	=2	=8	=175	=175	=914	=980	=01/21/2014 14:15:16	
=154	=44	=C1	[NULL]	=8	=8	=2	=8	=175	=175	=938	=747	=01/22/2014 12:02:11	
=155	=44	=C2	=F	=11	=16	=2	=16	=175	=175	=929	=514	=01/27/2014 18:13:27	
=156	=44	=C3	=F	=0	=0	=-1000	=0	=175	=175	=929	=720	=01/16/2014 16:45:55	
=157	=44	=C4	=B	=14	=16	=2	=16	=175	=175	=931	=886	=01/27/2014 13:52:40	
=158	=44	=C5	=B	=0	=0	=-1000	=0	=175	=175	=931	=1034	=01/17/2014 14:33:02	
=159	=44	=C6	=D	=15	=16	=2	=16	=175	=175	=947	=816	=01/27/2014 13:52:40	
=160	=44	=C7	=D	=0	=0	=-1000	=0	=175	=175	=947	=884	=10/08/2013 16:45:37	
=161	=44	=C8	[NULL]	=5	=8	=2	=8	=175	=175	=1174	=887	=01/27/2014 18:13:27	
=162	=44	=C9	[NULL]	=8	=8	=2	=8	=175	=175	=946	=575	=01/22/2014 16:23:12	
=163	=44	=D1	[NULL]	=5	=8	=2	=8	=175	=175	=922	=726	=01/23/2014 13:02:41	
=164	=44	=D2	[NULL]	=7	=8	=2	=8	=175	=175	=923	=702	=01/09/2014 15:46:31	
=165	=44	=D3	=C	=14	=16	=2	=16	=175	=175	=926	=816	=01/27/2014 18:13:27	
=166	=44	=D4	=C	=0	=0	=-1000	=0	=175	=175	=926	=872	=01/02/2014 11:53:08	
=167	=44	=D5	=E	=15	=16	=2	=16	=175	=175	=921	=905	=01/27/2014 22:34:37	
=168	=44	=D6	=E	=0	=0	=-1000	=0	=175	=175	=921	=791	=12/12/2013 11:07:21	
=169	=44	=D7	[NULL]	=7	=8	=2	=8	=175	=175	=927	=878	=01/27/2014 13:52:40	
=170	=44	=D8	[NULL]	=0	=8	=2	=8	=190	=190	=1154	=744	=01/25/2014 13:59:31	
=171	=44	=D9	[NULL]	=7	=8	=2	=8	=190	=190	=1146	=772	=01/27/2014 22:34:37	
=172	=44	=E1	[NULL]	=6	=8	=2	=8	=175	=175	=928	=739	=01/27/2014 13:52:40	
=173	=44	=E2	[NULL]	=3	=7	=2	=8	=175	=175	=993	=619	=01/27/2014 22:34:37	
=174	=44	=E3	[NULL]	=6	=7	=2	=8	=175	=175	=992	=483	=01/25/2014 13:59:31	
=175	=44	=E4	[NULL]	=4	=7	=2	=8	=175	=175	=995	=818	=01/27/2014 18:13:27	
=176	=44	=E5	=A	=16	=40	=10	=40	=125	=125	=910	=1002	=01/27/2014 22:34:37	
=177	=44	=E6	=A	=0	=0	=-1000	=0	=125	=125	=910	=897	=10/10/2013 12:45:50	
=178	=44	=E7	=A	=0	=0	=-1000	=0	=125	=125	=910	=987	=10/10/2013 12:45:50	
=179	=44	=E8	=A	=0	=0	=-1000	=0	=125	=125	=910	=707	=10/09/2013 20:45:46	
=180	=44	=E9	=A	=0	=0	=-1000	=0	=125	=125	=910	=467	=10/09/2013 16:45:42	
=181	=44	=F1	=9	=0	=0	=1	=0	=125	=125	=2	=0	[NULL]	
=182	=44	=F2	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=183	=44	=F3	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=184	=44	=F4	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=185	=44	=F5	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=186	=44	=F6	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=187	=44	=F7	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=188	=44	=F8	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=189	=44	=F9	=9	=0	=0	=-1000	=0	=125	=125	=2	=0	[NULL]	
=233	=42	=1	=A	=0	=120	=16	=288	=125	[NULL]	=910	=16658	=01/08/2013 16:22:23	
=234	=42	=2	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=3233	=12/13/2012 16:24:04	
=235	=42	=3	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=1699	=12/05/2012 15:42:33	
=236	=42	=4	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=1123	=12/15/2012 12:30:11	
=237	=42	=5	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=768	=01/12/2013 12:51:14	
=238	=42	=6	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=478	=11/27/2012 11:08:43	
=239	=42	=7	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=259	=10/18/2012 17:33:29	
=240	=42	=8	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=165	=11/21/2011 12:13:45	
=241	=42	=9	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=221	=02/07/2012 21:53:30	
=242	=38	=1	[NULL]	=7	=18	=4	=32	=175	[NULL]	=1012	=3380	=12/12/2013 13:41:01	
=243	=38	=2	[NULL]	=10	=12	=4	=32	=175	[NULL]	=912	=4160	=12/05/2013 17:38:27	
=244	=38	=3	[NULL]	=17	=18	=4	=32	=100	[NULL]	=911	=3899	=01/11/2014 11:57:54	
=245	=38	=4	[NULL]	=3	=18	=4	=32	=175	[NULL]	=990	=3478	=12/10/2013 21:40:49	
=246	=38	=5	[NULL]	=12	=12	=4	=32	=250	[NULL]	=934	=1556	=11/04/2013 17:24:15	
=247	=38	=6	[NULL]	=13	=18	=4	=32	=175	[NULL]	=998	=2151	=12/23/2013 09:45:39	
