Id	DeliveryOrderId	PackId	Quantity	OriginalPriceInCents	PriceInCents	
=1	=1000	=1016	=11	=2549	=2549	
=2	=1000	=2471	=5	=3600	=3600	
=3	=1000	=472	=10	=3485	=3485	
=4	=1000	=2472	=2	=3510	=3510	
=5	=1000	=2371	=1	=1814	=1814	
=7	=1001	=2471	=3	=3600	=3600	
=8	=1001	=473	=5	=3752	=3752	
=9	=1001	=755	=1	=20045	=20045	
=10	=1002	=2435	=5	=2188	=2188	
=11	=1002	=1016	=6	=2549	=2549	
=12	=1002	=2472	=2	=3510	=3510	
=16	=1004	=2428	=3	=2026	=2026	
=17	=1004	=2390	=1	=4128	=4128	
=18	=1004	=2404	=2	=2009	=2009	
=19	=1005	=2471	=4	=3600	=3600	
=20	=1005	=472	=1	=3485	=3485	
=21	=1005	=508	=1	=2188	=2188	
=22	=1005	=458	=1	=7039	=7039	
=42	=1007	=2507	=2	=8888	=8888	
=43	=1007	=2509	=3	=14	=14	
=44	=1007	=2505	=4	=5688	=5688	
=45	=1007	=2501	=5	=1422	=1422	
=46	=1007	=2511	=3	=1333	=1333	
=47	=1008	=2507	=2	=8888	=8888	
=48	=1008	=2509	=3	=14	=14	
=49	=1008	=2501	=3	=1422	=1422	
=50	=1008	=2505	=4	=5688	=5688	
=51	=1008	=2511	=3	=1333	=1333	
=52	=1008	=2512	=1	=255	=255	
=53	=1008	=2516	=2	=2488	=2488	
=54	=1008	=2517	=1	=550551	=550551	
=55	=1008	=2515	=2	=2607	=2607	
=56	=1006	=2509	=3	=14	=14	
=57	=1006	=2505	=5	=5760	=5760	
=58	=1006	=2501	=4	=1440	=1440	
=59	=1006	=2507	=2	=5000	=5000	
=60	=1006	=2512	=1	=258	=258	
=61	=1006	=2516	=2	=2520	=2520	
=62	=1006	=2517	=10	=557520	=557520	
=63	=1006	=2515	=3	=2640	=2640	
=64	=1009	=2512	=1	=255	=255	
=65	=1009	=2516	=2	=2488	=2488	
=66	=1009	=2517	=1	=550551	=550551	
=67	=1009	=2515	=11	=2607	=2607	
=68	=1010	=404	=2	=166	=166	
=69	=1010	=2519	=1	=-1000	=-1000	
=70	=1003	=2471	=5	=3600	=3600	
=71	=1003	=1016	=6	=2549	=2549	
=72	=1003	=2428	=3	=2026	=2026	
=73	=1003	=2518	=40	=-2000	=-2000	
=74	=1011	=2518	=1	=1	=1	
