Id	MachineId	HistoryType	RestockId	EffectiveUtcDateTime	CreatedByUserId	IsRecentUtcCreatedDateTime	Active	
=12581	=19	=OBS	[NULL]	=07/01/2013 20:08:05	=4433	=False	=True	
=12588	=39	=OBS	[NULL]	=06/19/2013 19:18:00	=4433	=False	=True	
=12594	=35	=OBS	[NULL]	=06/14/2013 20:03:05	=3439	=False	=True	
=12595	=35	=OBS	[NULL]	=06/14/2013 20:03:05	=3439	=False	=True	
=12598	=35	=OBS	[NULL]	=06/14/2013 20:03:05	=3439	=False	=True	
=12600	=31	=COA	[NULL]	=07/01/2013 22:54:48	[NULL]	=False	=True	
=12603	=31	=COA	[NULL]	=07/01/2013 23:29:15	[NULL]	=False	=True	
=12604	=26	=OBS	[NULL]	=06/28/2013 22:42:52	=3439	=False	=True	
=12605	=29	=OBS	[NULL]	=06/28/2013 22:48:58	=3439	=False	=True	
=12609	=31	=OBS	[NULL]	=06/28/2013 21:47:09	=3439	=False	=True	
=12612	=55	=OBS	[NULL]	=06/28/2013 18:12:05	=3439	=False	=True	
=12616	=21	=OBS	[NULL]	=07/01/2013 20:28:45	=4433	=False	=True	
=12633	=22	=OBS	[NULL]	=06/28/2013 18:58:08	=4433	=False	=True	
=12650	=28	=OBS	[NULL]	=07/01/2013 20:01:38	=4433	=False	=True	
=12655	=19	=OBS	[NULL]	=07/03/2013 17:01:15	=3439	=False	=True	
=12665	=6	=OBS	[NULL]	=07/02/2013 19:02:16	=4433	=False	=True	
=12699	=19	=COA	[NULL]	=07/05/2013 19:52:19	[NULL]	=False	=True	
=12700	=19	=COA	[NULL]	=07/05/2013 19:52:20	[NULL]	=False	=True	
=12701	=19	=COA	[NULL]	=07/05/2013 21:52:04	[NULL]	=False	=True	
=12702	=19	=COA	[NULL]	=07/05/2013 21:52:04	[NULL]	=False	=True	
=12703	=35	=OBS	[NULL]	=07/05/2013 18:56:41	=3439	=False	=True	
=12704	=28	=OBS	[NULL]	=07/01/2013 20:01:38	=3439	=False	=True	
=12715	=45	=OBS	[NULL]	=07/08/2013 17:21:58	=4433	=False	=True	
=12716	=41	=OBS	[NULL]	=07/03/2013 19:36:29	=4433	=False	=True	
=12725	=36	=OBS	[NULL]	=07/08/2013 20:26:01	=3439	=False	=True	
=12747	=53	=OBS	[NULL]	=06/19/2013 21:43:32	=3439	=False	=True	
=12778	=47	=OBS	[NULL]	=06/13/2013 22:40:11	=3439	=False	=True	
=12788	=31	=OBS	[NULL]	=07/08/2013 22:19:48	=3439	=False	=True	
=12805	=17	=OBS	[NULL]	=07/08/2013 17:26:13	=3439	=False	=True	
=12806	=21	=OBS	[NULL]	=07/08/2013 17:31:36	=3439	=False	=True	
=12807	=29	=OBS	[NULL]	=07/09/2013 23:05:40	=3439	=False	=True	
=12812	=37	=OBS	[NULL]	=07/09/2013 23:14:27	=4433	=False	=True	
=12814	=28	=OBS	[NULL]	=07/01/2013 20:01:38	=4433	=False	=True	
=12819	=21	=OBS	[NULL]	=07/08/2013 17:31:36	=4433	=False	=True	
=12852	=31	=OBS	[NULL]	=07/08/2013 22:19:48	=3439	=False	=True	
=12880	=21	=OBS	[NULL]	=07/11/2013 18:19:27	=3439	=False	=True	
=12885	=55	=OBS	[NULL]	=07/10/2013 14:21:10	=4433	=False	=True	
=12892	=16	=OBS	[NULL]	=07/10/2013 17:40:00	=4433	=False	=True	
=12924	=17	=OBS	[NULL]	=07/12/2013 17:03:21	=4433	=False	=True	
=12925	=21	=OBS	[NULL]	=07/11/2013 18:19:27	=4433	=False	=True	
=12926	=26	=OBS	[NULL]	=07/12/2013 22:55:38	=4433	=False	=True	
=12927	=28	=OBS	[NULL]	=07/12/2013 22:57:20	=4433	=False	=True	
=12938	=36	=OBS	[NULL]	=07/12/2013 19:13:14	=4433	=False	=True	
=12939	=52	=OBS	[NULL]	=07/09/2013 21:54:30	=4433	=False	=True	
=12945	=9	=OBS	[NULL]	=07/12/2013 18:29:58	=4433	=False	=True	
=12947	=35	=OBS	[NULL]	=07/10/2013 22:09:55	=4433	=False	=True	
=12948	=34	=OBS	[NULL]	=07/16/2013 21:39:33	=4433	=False	=True	
=12962	=28	=OBS	[NULL]	=07/17/2013 16:10:00	=4433	=False	=True	
=12964	=45	=OBS	[NULL]	=07/17/2013 17:20:00	=4433	=False	=True	
=12965	=44	=OBS	[NULL]	=07/17/2013 17:10:00	=4433	=False	=True	
=12972	=54	=OBS	[NULL]	=07/17/2013 17:40:00	=4433	=False	=True	
=12975	=37	=OBS	[NULL]	=07/17/2013 18:26:45	=4433	=False	=True	
=12983	=49	=OBS	[NULL]	=07/17/2013 22:10:00	=4433	=False	=True	
=12993	=11	=OBS	[NULL]	=07/17/2013 20:50:00	=4433	=False	=True	
=12994	=12	=OBS	[NULL]	=07/17/2013 19:50:00	=4433	=False	=True	
=12995	=13	=OBS	[NULL]	=07/17/2013 19:50:00	=4433	=False	=True	
=12996	=21	=OBS	[NULL]	=07/18/2013 15:20:56	=4433	=False	=True	
=12997	=3	=OBS	[NULL]	=07/18/2013 15:21:48	=4433	=False	=True	
=12998	=38	=OBS	[NULL]	=07/18/2013 16:16:12	=4433	=False	=True	
=12999	=35	=OBS	[NULL]	=07/18/2013 15:50:00	=4433	=False	=True	
=13000	=16	=OBS	[NULL]	=07/18/2013 15:50:00	=4433	=False	=True	
=13016	=1	=OBS	[NULL]	=07/18/2013 18:50:00	=4433	=False	=True	
=13017	=7	=OBS	[NULL]	=07/18/2013 19:40:00	=4433	=False	=True	
=13019	=3	=OBS	[NULL]	=07/18/2013 18:50:00	=4433	=False	=True	
=13040	=34	=OBS	[NULL]	=07/19/2013 18:35:42	=3439	=False	=True	
=13067	=17	=OBS	[NULL]	=07/22/2013 16:10:00	=4433	=False	=True	
=13084	=34	=OBS	[NULL]	=07/22/2013 20:50:00	=4433	=False	=True	
=13085	=17	=OBS	[NULL]	=07/22/2013 20:50:00	=4433	=False	=True	
=13127	=31	=COA	[NULL]	=07/23/2013 23:39:37	[NULL]	=False	=True	
=13128	=31	=COA	[NULL]	=07/23/2013 23:39:38	[NULL]	=False	=True	
=13129	=36	=OBS	[NULL]	=07/24/2013 16:27:15	=4433	=False	=True	
=13153	=50	=OBS	[NULL]	=07/24/2013 17:50:00	=4433	=False	=True	
=13154	=28	=OBS	[NULL]	=07/24/2013 22:20:00	=4433	=False	=True	
=13166	=28	=OBS	[NULL]	=07/25/2013 16:40:00	=4433	=False	=True	
=13172	=31	=COA	[NULL]	=07/25/2013 19:44:38	[NULL]	=False	=True	
=13173	=31	=COA	[NULL]	=07/25/2013 19:44:39	[NULL]	=False	=True	
=13194	=45	=OBS	[NULL]	=07/29/2013 17:21:41	=3439	=False	=True	
=13237	=28	=OBS	[NULL]	=07/29/2013 23:51:20	=3439	=False	=True	
