Id	ScheduleId	MachineId	DriverUserId	Deleted	UserSelected	CurrentSalesAmount	ProjectedSalesAmount	CurrentDepletedQuantity	ProjectedDepletedQuantity	CurrentDaysToMaxInterval	ProjectedDaysToMaxInterval	CurrentSalesQuantity	ProjectedSalesQuantity	DaysToService	DaysToServiceFromRestock	LeadMachineDaysToServiceFromRestock	CashTriggered	DepletionTriggered	ServiceIntervalTriggered	LeadMachineTriggered	LeadMachineId	SaleQuantityLimitTriggered	IsInventoryNeeded	ScheduleType	DynamicDepletionType	DynamicDepletionLimit	DynamicMaxAmount	DynamicMaxServiceIntervalInDays	DynamicSaleQuantityLimit	DynamicSaleQuantityLimitCoilName	StaticMaxServiceIntervalInDays	StaticMaxServiceIntervalFlexibilityInDays	BackForecasted	NextWeeklyScheduleDate	LastRestockDateTime	MovedFromScheduleMachineId	MoveToNextSchedule	UpdatedBy	UpdatedDateTime	CreatedBy	IsCollectionNeeded	
=12287	=5299	=6	[NULL]	=False	=True	=86.0500	=86.0500	=2	=2	=4	=4	[NULL]	[NULL]	=3	=3	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/24/2013 10:08:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12288	=5300	=44	[NULL]	=True	=True	=94.8000	=94.8000	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:04:00	[NULL]	=False	=broman@tmcc.edu	=01/06/2014 09:55:07	=broman@tmcc.edu	=True	
=12289	=5301	=44	[NULL]	=False	=True	=94.8000	=94.8000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:04:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12290	=5309	=18	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=3	=3	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/10/2014 00:00:00	=12/24/2013 09:40:00	[NULL]	=False	=dclifford01@tmcc.edu	=01/07/2014 10:06:17	=dclifford01@tmcc.edu	=True	
=12291	=5323	=33	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/08/2014 00:00:00	=12/02/2013 12:00:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12292	=5323	=50	[NULL]	=False	=True	=56.4500	=56.4500	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/11/2013 11:37:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12293	=5327	=1	[NULL]	=False	=True	=94.4900	=94.4900	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/19/2013 09:29:00	[NULL]	=True	=broman@tmcc.edu	=01/08/2014 09:20:13	=broman@tmcc.edu	=True	
=12294	=5327	=5	[NULL]	=False	=True	=70.9000	=70.9000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/18/2013 11:55:00	[NULL]	=True	=broman@tmcc.edu	=01/08/2014 09:20:13	=broman@tmcc.edu	=True	
=12295	=5327	=6	[NULL]	=False	=True	=88.6500	=88.6500	=2	=2	=9	=9	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/03/2014 11:08:00	[NULL]	=False	=broman@tmcc.edu	=01/08/2014 09:20:13	=broman@tmcc.edu	=True	
=12296	=5327	=9	[NULL]	=False	=True	=83.0000	=83.0000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=2	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/24/2013 10:12:00	[NULL]	=False	=broman@tmcc.edu	=01/08/2014 09:20:13	=broman@tmcc.edu	=True	
=12297	=5328	=19	[NULL]	=False	=True	=96.8000	=96.8000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=3	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/23/2013 09:37:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12298	=5327	=2	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=8	=8	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/16/2014 00:00:00	=12/18/2013 12:00:00	[NULL]	=True	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12299	=5327	=8	[NULL]	=True	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/09/2014 00:00:00	=12/24/2013 10:00:00	[NULL]	=False	=broman@tmcc.edu	=01/08/2014 13:56:46	=broman@tmcc.edu	=True	
=12300	=5327	=22	[NULL]	=False	=True	=34.5000	=34.5000	=3	=3	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/12/2013 11:11:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12301	=5331	=31	[NULL]	=False	=True	=92.7900	=92.7900	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/13/2013 10:39:00	[NULL]	=False	=broman@tmcc.edu	=01/08/2014 11:03:50	=broman@tmcc.edu	=True	
=12302	=5337	=44	[NULL]	=False	=True	=66.2500	=66.2500	=1	=1	=18	=18	[NULL]	[NULL]	=5	=5	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/06/2014 12:02:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12303	=5338	=36	[NULL]	=False	=True	=86.0500	=86.0500	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:45:00	[NULL]	=False	=broman@tmcc.edu	=01/09/2014 09:05:38	=broman@tmcc.edu	=True	
=12304	=5338	=52	[NULL]	=False	=True	=43.7500	=43.7500	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:49:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12305	=5339	=15	[NULL]	=False	=True	=81.2500	=81.2500	=9	=9	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/12/2013 12:09:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12306	=5339	=41	[NULL]	=False	=True	=97.2500	=97.2500	=3	=3	=4	=4	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/23/2013 09:49:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12307	=5340	=29	[NULL]	=False	=True	=139.6900	=139.6900	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/12/2013 15:22:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12308	=5340	=43	[NULL]	=False	=True	=87.6500	=87.6500	=3	=3	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 16:09:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12309	=5341	=1	[NULL]	=False	=True	=104.1900	=104.1900	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/19/2013 09:29:00	=12293	=False	=broman@tmcc.edu	=01/09/2014 09:06:45	=broman@tmcc.edu	=True	
=12310	=5341	=2	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=7	=7	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/16/2014 00:00:00	=12/18/2013 12:00:00	=12298	=False	=broman@tmcc.edu	=01/09/2014 09:06:45	=broman@tmcc.edu	=True	
=12311	=5341	=5	[NULL]	=False	=True	=83.9000	=83.9000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/18/2013 11:55:00	=12294	=False	=broman@tmcc.edu	=01/09/2014 09:06:45	=broman@tmcc.edu	=True	
=12312	=5342	=18	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/10/2014 00:00:00	=01/07/2014 10:20:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12313	=5343	=26	[NULL]	=False	=True	=57.7400	=57.7400	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=3	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/17/2013 13:26:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12314	=5344	=6	[NULL]	=False	=True	=102.9500	=102.9500	=5	=5	=12	=12	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/08/2014 11:25:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12315	=5344	=10	[NULL]	=False	=True	=92.5000	=92.5000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=11/20/2013 13:15:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12316	=5345	=17	[NULL]	=False	=True	=61.7900	=61.7900	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/13/2013 09:54:00	[NULL]	=False	=broman@tmcc.edu	=01/13/2014 10:29:30	=broman@tmcc.edu	=True	
=12317	=5345	=21	[NULL]	=True	=True	=72.3000	=72.3000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:08:00	[NULL]	=False	=broman@tmcc.edu	=01/13/2014 10:29:30	=broman@tmcc.edu	=True	
=12318	=5346	=1	[NULL]	=False	=True	=70.8900	=70.8900	=1	=1	=10	=10	[NULL]	[NULL]	=2	=2	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 11:04:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12319	=5346	=5	[NULL]	=False	=True	=29.0000	=29.0000	=2	=2	=17	=17	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 11:22:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
