PrepickId	ScheduleId	Deleted	CreatedByUserId	CreatedUtcDateTime	FromWarehouseId	PrepickMachineId	MachineId	TruckId	PrepickMachineDetailId	PendingPlanogramChangeCoilId	CoilId	Need	OriginalNeed	Extra	OriginalExtra	UserExtra	SpreadoutQuantity	InitialInventoryLevel	ExpectedInventoryLevel	ItemId	NewItemId	PackId	Par	Capacity	PriceInCents	RoundTo	RoundingThresholdInPercents	PickThresholdInPercents	Note	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421959	[NULL]	=6587	=0	=2	=0	=0	[NULL]	=0	=9	=9	=866	[NULL]	[NULL]	=11	=11	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421960	[NULL]	=6588	=0	=1	=0	=0	[NULL]	=0	=12	=12	=851	[NULL]	[NULL]	=13	=13	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421961	[NULL]	=6589	=6	=6	=0	=0	[NULL]	=0	=9	=9	=829	[NULL]	[NULL]	=15	=15	=80	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421962	[NULL]	=6590	=0	=2	=0	=0	[NULL]	=0	=11	=11	=1158	[NULL]	[NULL]	=13	=13	=80	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421963	[NULL]	=6591	=0	=1	=0	=0	[NULL]	=0	=10	=10	=1328	[NULL]	[NULL]	=11	=11	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421964	[NULL]	=6592	=0	=0	=0	=0	[NULL]	=0	=9	=9	=1362	[NULL]	[NULL]	=9	=9	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421965	[NULL]	=6593	=3	=3	=0	=0	[NULL]	=0	=6	=6	=868	[NULL]	[NULL]	=9	=9	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421966	[NULL]	=6594	=3	=3	=0	=0	[NULL]	=0	=6	=6	=1273	[NULL]	[NULL]	=9	=9	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421967	[NULL]	=6595	=4	=4	=0	=0	[NULL]	=0	=5	=5	=870	[NULL]	[NULL]	=9	=9	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421968	[NULL]	=6596	=8	=8	=0	=0	[NULL]	=0	=1	=1	=869	[NULL]	[NULL]	=9	=9	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421969	[NULL]	=6597	=0	=0	=0	=0	[NULL]	=0	=11	=11	=957	[NULL]	[NULL]	=11	=11	=100	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421970	[NULL]	=6598	=0	=3	=0	=0	[NULL]	=0	=10	=10	=860	[NULL]	[NULL]	=13	=13	=80	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421971	[NULL]	=6599	=0	=2	=0	=0	[NULL]	=0	=9	=9	=1412	[NULL]	[NULL]	=11	=15	=80	[NULL]	=0	=25	[NULL]	
=4321	=5299	=False	[NULL]	=01/03/2014 17:29:04	[NULL]	=1388	=6	=2	=421972	[NULL]	=6600	=7	=7	=0	=0	[NULL]	=0	=6	=6	=1213	[NULL]	[NULL]	=13	=13	=100	[NULL]	=0	=25	[NULL]	
