Id	RestockId	DeliveryOrderId	DeliveryPointOrderId	TaxJurisdictionDetailId	SaleId	MachineId	EffectiveDate	
=234	[NULL]	=1000	=1000	=2	[NULL]	=999999	=02/20/2014 00:00:00	
=235	[NULL]	=1000	=1000	=3	[NULL]	=999999	=02/20/2014 00:00:00	
=236	[NULL]	=1001	=1001	=2	[NULL]	=999997	=02/20/2014 00:00:00	
=237	[NULL]	=1002	=1002	=2	[NULL]	=999998	=02/20/2014 00:00:00	
=238	[NULL]	=1002	=1002	=3	[NULL]	=999998	=02/20/2014 00:00:00	
=239	[NULL]	=1002	=1002	=4	[NULL]	=999998	=02/20/2014 00:00:00	
=243	[NULL]	=1005	=1005	=2	[NULL]	=999998	=02/24/2014 00:00:00	
=244	[NULL]	=1005	=1005	=3	[NULL]	=999998	=02/24/2014 00:00:00	
=245	[NULL]	=1005	=1005	=4	[NULL]	=999998	=02/24/2014 00:00:00	
=250	[NULL]	=1007	=1007	=2	[NULL]	=1000001	=02/20/2014 00:00:00	
=251	[NULL]	=1007	=1007	=3	[NULL]	=1000001	=02/20/2014 00:00:00	
=252	[NULL]	=1008	=1008	=7	[NULL]	=1000002	=02/20/2014 00:00:00	
=253	[NULL]	=1006	=1006	=1	[NULL]	=1000000	=02/20/2014 00:00:00	
=254	[NULL]	=1009	=1009	=7	[NULL]	=1000003	=02/20/2014 00:00:00	
=258	[NULL]	=1004	=1004	=2	[NULL]	=999997	=02/24/2014 00:00:00	
=259	[NULL]	=1012	=1012	=2	[NULL]	=999998	=02/21/2014 00:00:00	
=260	[NULL]	=1013	=1013	=7	[NULL]	=1000002	=02/24/2014 00:00:00	
=261	[NULL]	=1010	=1010	=7	[NULL]	=1000003	=02/24/2014 00:00:00	
=262	[NULL]	=1003	=1003	=2	[NULL]	=999999	=02/21/2014 00:00:00	
=263	[NULL]	=1003	=1003	=3	[NULL]	=999999	=02/21/2014 00:00:00	
