Id	CalculatedTaxRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
=4345	=450	=1235	=25490	=25490	=26090	=26090.00000	=2637.56267	=600	
=4346	=450	=1407	=18000	=18000	=18000	=18000.00000	=1819.70594	=0	
=4347	=450	=1232	=34850	=34850	=35450	=35450.00000	=3583.80976	=600	
=4348	=450	=1236	=7020	=7020	=7140	=7140.00000	=721.81669	=120	
=4349	=450	=1357	=1814	=1814	=2054	=2054.00000	=207.64867	=240	
=4350	=450	=1235	=2549	=2549	=2609	=2609.00000	=263.75627	=60	
=4351	=451	=1235	=25490	=25490	=26090	=26090.00000	=2609.00000	=0	
=4352	=451	=1407	=18000	=18000	=18000	=18000.00000	=1800.00000	=0	
=4353	=451	=1232	=34850	=34850	=35450	=35450.00000	=3545.00000	=0	
=4354	=451	=1236	=7020	=7020	=7140	=7140.00000	=714.00000	=0	
=4355	=451	=1357	=1814	=1814	=2054	=2054.00000	=205.40000	=0	
=4356	=451	=1235	=2549	=2549	=2609	=2609.00000	=260.90000	=0	
=4357	=452	=1407	=10800	=10800	=10800	=10800.00000	=1080.00000	=0	
=4358	=452	=1233	=18760	=18760	=19060	=19060.00000	=1906.00000	=300	
=4359	=452	=1013	=20045	=20045	=20045	=20045.00000	=2004.50000	=0	
=4360	=453	=1389	=10940	=10940	=10940	=10940.00000	=1095.62151	=0	
=4361	=453	=1235	=15294	=15294	=15654	=15654.00000	=1567.72021	=360	
=4362	=453	=1236	=7020	=7020	=7140	=7140.00000	=715.05828	=120	
=4363	=454	=1389	=10940	=10940	=10940	=10940.00000	=1094.00000	=0	
=4364	=454	=1235	=15294	=15294	=15654	=15654.00000	=1565.40000	=0	
=4365	=454	=1236	=7020	=7020	=7140	=7140.00000	=714.00000	=0	
=4366	=455	=1389	=10940	=10940	=10940	=10940.00000	=1094.00000	=0	
=4367	=455	=1235	=15294	=15294	=15654	=15654.00000	=1565.40000	=0	
=4368	=455	=1236	=7020	=7020	=7140	=7140.00000	=714.00000	=0	
=4378	=459	=1407	=14400	=14400	=14400	=14400.00000	=1440.00000	=0	
=4379	=459	=1232	=3485	=3485	=3545	=3545.00000	=354.50000	=60	
=4380	=459	=938	=2188	=2188	=2188	=2188.00000	=218.80000	=0	
=4381	=459	=1225	=7039	=0	=0	=0.00000	=0.00000	=10000	
=4382	=460	=1407	=14400	=14400	=14400	=14400.00000	=1440.00000	=0	
=4383	=460	=1232	=3485	=3485	=3545	=3545.00000	=354.50000	=0	
=4384	=460	=938	=2188	=2188	=2188	=2188.00000	=218.80000	=0	
=4385	=460	=1225	=7039	=0	=0	=0.00000	=0.00000	=0	
=4386	=461	=1407	=14400	=14400	=14400	=14400.00000	=1440.00000	=0	
=4387	=461	=1232	=3485	=3485	=3545	=3545.00000	=354.50000	=0	
=4388	=461	=938	=2188	=2188	=2188	=2188.00000	=218.80000	=0	
=4389	=461	=1225	=7039	=0	=0	=0.00000	=0.00000	=0	
=4414	=468	=1421	=7110	=7110	=7410	=7410.00000	=742.57885	=0	
=4415	=468	=1422	=22752	=22752	=23232	=23232.00000	=2328.14918	=0	
=4416	=468	=1423	=17776	=17776	=19776	=19776.00000	=1981.81601	=1000	
=4417	=468	=1424	=42	=42	=762	=762.00000	=76.36369	=360	
=4418	=469	=1425	=3999	=3999	=4074	=4074.00000	=-0.00774	=0	
=4419	=470	=1422	=22752	=22752	=23232	=23232.00000	=1161.55597	=480	
=4420	=470	=1423	=17776	=17776	=19776	=19776.00000	=988.76560	=1000	
=4421	=470	=1424	=42	=42	=762	=762.00000	=38.09994	=360	
=4422	=470	=1425	=3999	=3999	=4074	=4074.00000	=203.69226	=75	
=4423	=471	=1421	=7110	=7110	=7410	=7410.00000	=740.98624	=300	
=4424	=472	=1426	=255	=255	=255	=255.00000	=20.41795	=0	
=4425	=472	=1427	=4976	=4976	=4976	=4976.00000	=398.43028	=0	
=4426	=472	=1428	=550551	=550551	=550551	=550551.00000	=44082.83521	=0	
=4427	=472	=1429	=5214	=5214	=5214	=5214.00000	=417.48703	=0	
=4428	=473	=1422	=22752	=22752	=22752	=22752.00000	=683.18835	=0	
=4429	=474	=1424	=42	=42	=42	=42.00000	=1.68151	=0	
=4430	=475	=1423	=17776	=17776	=17776	=17776.00000	=889.59508	=0	
=4431	=476	=1421	=4266	=4266	=4266	=4266.00000	=256.18730	=0	
=4432	=477	=1425	=3999	=3999	=3999	=3999.00000	=280.17729	=0	
=4433	=478	=1421	=5760	=5760	=5760	=5760.00000	=0.00000	=0	
=4434	=478	=1422	=28800	=28800	=28800	=28800.00000	=0.00000	=0	
=4435	=478	=1423	=10000	=10000	=10000	=10000.00000	=0.00000	=0	
=4436	=478	=1424	=42	=42	=42	=42.00000	=0.00000	=0	
=4437	=478	=1426	=258	=258	=258	=258.00000	=0.00000	=0	
=4438	=478	=1427	=5040	=5040	=5040	=5040.00000	=0.00000	=0	
=4439	=478	=1428	=5575200	=5575200	=5575200	=5575200.00000	=0.00000	=0	
=4440	=478	=1429	=7920	=7920	=7920	=7920.00000	=0.00000	=0	
=4441	=479	=1426	=255	=255	=255	=255.00000	=20.40361	=0	
=4442	=479	=1427	=4976	=4976	=4976	=4976.00000	=398.15049	=0	
=4443	=479	=1428	=550551	=550551	=550551	=550551.00000	=44051.87964	=0	
=4444	=479	=1429	=28677	=28677	=28677	=28677.00000	=2294.56626	=0	
=4455	=484	=932	=6	=6	=885	=885.00000	=22.00000	=879	
=4456	=484	=1173	=12	=12	=102	=102.00000	=12.00000	=90	
=4457	=485	=917	=75	=75	=75	=75.00000	=15.00000	=0	
=4458	=486	=1430	=-2000	=-2000	=-2000	=-2000.00000	=-60.00000	=0	
=4459	=487	=1430	=-2000	=-2000	=-2000	=-2000.00000	=-59.97599	=0	
=4460	=488	=1192	=332	=332	=332	=332.00000	=19.97599	=0	
=4461	=488	=1431	=-2000	=-2000	=-2000	=-2000.00000	=-120.00000	=0	
=4462	=489	=1235	=15294	=15294	=16014	=16014.00000	=1601.32573	=360	
=4463	=489	=1379	=6078	=6078	=8958	=8958.00000	=895.75845	=1440	
=4464	=489	=1407	=18000	=18000	=18150	=18150.00000	=1814.91582	=0	
=4465	=490	=1235	=15294	=15294	=16014	=16014.00000	=1601.32573	=360	
=4466	=490	=1379	=6078	=6078	=8958	=8958.00000	=895.75845	=1440	
=4467	=490	=1407	=18000	=18000	=18150	=18150.00000	=1814.91582	=150	
