Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	
=11357	=6	=01/03/2014 11:07:32	=01/03/2014 19:07:32	=12/24/2013 10:08:00	[NULL]	=False	[NULL]	=False	=4321	=111	=1180	=0	[NULL]	=2606315	=8830	=26105	=77	=2604910	=8075	=13	=7	=1405	=755	=0	=0	=0	=0	=0	=0	=0	=0	=3586720	=12880	=235	=111	=351230	=600	=2170	=1180	=1175705	=5030	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11358	=44	=01/06/2014 12:02:21	=01/06/2014 20:02:21	=12/16/2013 10:03:33	[NULL]	=False	[NULL]	=False	=4323	=57	=1175	=0	[NULL]	=6554960	=10030	=31014	=33	=5201150	=6205	=7396	=19	=1353810	=3825	=0	=0	=0	=0	=0	=0	=0	=0	=7112125	=7850	=58922	=57	=780235	=975	=439690	=1175	=1926420	=1895	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11359	=18	=01/07/2014 10:20:00	=01/07/2014 18:20:00	=12/24/2013 09:40:00	[NULL]	=False	=dclifford01@tmcc.edu	=False	=4324	=0	=0	=0	[NULL]	=947725	=5575	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=1102	[NULL]	[NULL]	[NULL]	
=11360	=50	=01/08/2014 09:01:12	=01/08/2014 17:01:12	=12/11/2013 11:36:46	[NULL]	=False	[NULL]	=False	=4325	=56	=575	=0	[NULL]	=3632190	=5120	=27290	=29	=3632190	=5120	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4436675	=6625	=33731	=56	=604155	=450	=459420	=575	=766930	=1505	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11361	=33	=01/08/2014 09:00:00	=01/08/2014 17:00:00	=12/02/2013 12:00:00	[NULL]	=False	=broman@tmcc.edu	=False	=4325	=0	=0	=0	[NULL]	=3250390	=14250	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11362	=22	=01/08/2014 10:18:15	=01/08/2014 18:18:15	=12/12/2013 11:10:30	[NULL]	=False	[NULL]	=False	=4327	=30	=575	=0	[NULL]	=3965420	=3100	=32057	=18	=3626370	=3100	=3144	=0	=339050	=0	=0	=0	=0	=0	=32	=0	=0	=0	=3626370	=3100	=29498	=30	=494315	=150	=684780	=575	=492830	=625	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11363	=19	=01/08/2014 10:26:24	=01/08/2014 18:26:24	=12/23/2013 09:36:37	[NULL]	=False	[NULL]	=False	=4326	=89	=1080	=0	[NULL]	=4562015	=10060	=44076	=77	=4560090	=8215	=18	=17	=1925	=1845	=0	=0	=0	=0	=0	=0	=0	=0	=5077595	=10975	=101	=89	=475720	=995	=1560	=1080	=1268955	=2760	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11364	=6	=01/08/2014 11:25:24	=01/08/2014 19:25:24	=01/03/2014 11:07:32	=01/03/2014 19:07:32	=False	[NULL]	=False	=4327	=128	=1610	=0	[NULL]	=2617430	=11115	=26205	=100	=2615365	=10455	=19	=6	=2065	=660	=0	=0	=0	=0	=0	=0	=0	=0	=3602820	=16100	=363	=128	=352920	=1690	=3780	=1610	=1181350	=5645	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11365	=9	=01/08/2014 11:29:07	=01/08/2014 19:29:07	=12/24/2013 10:12:28	[NULL]	=False	[NULL]	=False	=4327	=65	=3255	=0	[NULL]	=3314800	=9715	=25250	=55	=3314800	=9715	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3315830	=9745	=26452	=65	=532060	=1120	=638835	=3255	=521755	=1130	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11366	=31	=01/08/2014 11:39:55	=01/08/2014 19:39:55	=12/13/2013 10:39:06	[NULL]	=False	[NULL]	=False	=4328	=0	=0	=0	[NULL]	=1483770	=9680	=13827	=123	=1483770	=12920	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1814580	=12370	=47	=0	=182000	=915	=1675	=0	=465710	=2790	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
