Id	RouteId	BranchId	Name	UserDesiredMachinesCount	ScheduleDateOnly	CalculationDateOnly	LockedDateTime	CreatedBy	IsRecentCreatedDateTime	Deleted	
=5299	=2	[NULL]	=	[NULL]	=01/03/2014 00:00:00	=01/03/2014 00:00:00	=01/03/2014 09:29:15	=broman@tmcc.edu	=False	=False	
=5300	=6	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	=01/06/2014 09:48:16	=broman@tmcc.edu	=False	=True	
=5301	=6	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	=01/06/2014 09:57:03	=broman@tmcc.edu	=False	=False	
=5302	=7	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5303	=5	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5304	=4	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5305	=3	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5306	=7	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5307	=7	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5308	=5	[NULL]	=	[NULL]	=01/06/2014 00:00:00	=01/06/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5309	=6	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	=01/07/2014 10:06:37	=dclifford01@tmcc.edu	=False	=False	
=5310	=7	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5311	=5	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5312	=4	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5313	=3	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5314	=2	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5315	=7	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5316	=5	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5317	=4	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5318	=3	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5319	=5	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5320	=3	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5321	=2	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5322	=2	[NULL]	=	[NULL]	=01/07/2014 00:00:00	=01/07/2014 00:00:00	[NULL]	=dclifford01@tmcc.edu	=False	=True	
=5323	=4	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	=01/08/2014 08:42:46	=broman@tmcc.edu	=False	=False	
=5324	=7	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5325	=6	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5326	=3	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5327	=2	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	=01/08/2014 09:26:05	=broman@tmcc.edu	=False	=False	
=5328	=6	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	=01/08/2014 09:14:09	=broman@tmcc.edu	=False	=False	
=5329	=7	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5330	=5	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5331	=5	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	=01/08/2014 11:05:40	=broman@tmcc.edu	=False	=False	
=5332	=7	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5333	=3	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5334	=7	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5335	=3	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5336	=3	[NULL]	=	[NULL]	=01/08/2014 00:00:00	=01/08/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=True	
=5337	=6	[NULL]	=	[NULL]	=01/09/2014 00:00:00	=01/09/2014 00:00:00	=01/09/2014 09:08:15	=broman@tmcc.edu	=False	=False	
=5338	=7	[NULL]	=	[NULL]	=01/09/2014 00:00:00	=01/09/2014 00:00:00	=01/09/2014 09:18:14	=broman@tmcc.edu	=False	=False	
=5339	=5	[NULL]	=	[NULL]	=01/09/2014 00:00:00	=01/09/2014 00:00:00	=01/09/2014 09:28:58	=broman@tmcc.edu	=False	=False	
=5340	=3	[NULL]	=	[NULL]	=01/09/2014 00:00:00	=01/09/2014 00:00:00	=01/09/2014 10:54:10	=broman@tmcc.edu	=False	=False	
=5341	=2	[NULL]	=	[NULL]	=01/09/2014 00:00:00	=01/09/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=False	
=5342	=6	[NULL]	=	[NULL]	=01/10/2014 00:00:00	=01/10/2014 00:00:00	=01/10/2014 08:52:44	=broman@tmcc.edu	=False	=False	
=5343	=3	[NULL]	=	[NULL]	=01/10/2014 00:00:00	=01/10/2014 00:00:00	=01/10/2014 12:03:41	=broman@tmcc.edu	=False	=False	
=5344	=2	[NULL]	=	[NULL]	=01/10/2014 00:00:00	=01/10/2014 00:00:00	=01/10/2014 11:57:53	=broman@tmcc.edu	=False	=False	
=5345	=6	[NULL]	=	[NULL]	=01/13/2014 00:00:00	=01/13/2014 00:00:00	=01/13/2014 10:29:44	=broman@tmcc.edu	=False	=False	
=5346	=2	[NULL]	=	[NULL]	=01/13/2014 00:00:00	=01/13/2014 00:00:00	[NULL]	=broman@tmcc.edu	=False	=False	
