Id	ScheduleId	MachineId	SeedMobileDeviceId	ServicedUtcDateTime	CreatedByUserId	CreatedUtcDateTime	AttemptsCount	CompletedUtcDateTime	PhotoAuditImage	SeedMobileSchedulingRequestVendingMachineId	SeedMobileSchedulingRequestDeliveryPointId	
=1	=5408	=999997	=4	=01/13/2014 05:32:01	=1102	=01/13/2014 07:00:00	=1	=01/30/2014 20:00:00	=94,80,97,122,95,170,39,25,218,44,75,20,84,109,214,21	[NULL]	=1	
=2	=5407	=999998	=4	=01/09/2014 03:12:08	=1102	=01/13/2014 07:00:00	=1	=01/30/2014 20:00:00	=94,80,97,122,95,170,39,25,218,44,75,20,84,109,214,21	[NULL]	=2	
=3	=5408	=1000002	=5	=03/03/2015 19:04:24	=3363	=03/03/2015 19:05:28	=1	=01/30/2014 20:00:00	[NULL]	[NULL]	=3	
=4	=5408	=1000003	=5	=03/03/2015 19:05:17	=3363	=03/03/2015 19:05:37	=1	=01/30/2014 20:00:00	[NULL]	[NULL]	=4	
=5	=5407	=999999	=5	=03/03/2015 19:38:25	=3363	=03/03/2015 19:38:42	=1	=01/30/2014 20:00:00	[NULL]	[NULL]	=5	
=6	=5392	=1	=4	=01/28/2014 15:07:22	=5676	=01/28/2014 15:07:22	=1	=01/30/2014 20:00:00	=94,80,97,122,95,170,39,25,218,44,75,20,84,109,214,21	=1	[NULL]	
=7	=5392	=1	=4	=01/28/2014 15:34:11	=5676	=01/28/2014 15:34:41	=1	=01/30/2014 20:00:00	=94,80,97,122,95,170,39,25,218,44,75,20,84,109,214,21	=2	[NULL]	
=8	=5392	=2	=4	=01/28/2014 15:41:25	=5676	=01/28/2014 15:41:57	=1	=01/30/2014 20:00:00	=1,36,222,191,183,20,158,218,35,124,106,110,104,141,40,195	=3	[NULL]	
=9	=5392	=3	=4	=01/28/2014 16:05:01	=5676	=01/28/2014 15:44:01	=0	=08/18/2015 20:00:00	[NULL]	=4	[NULL]	
=10	=5392	=4	=4	=01/28/2014 15:47:58	=5676	=01/28/2014 15:48:11	=1	=01/30/2014 20:00:00	[NULL]	=5	[NULL]	
=11	=5392	=23	=4	=01/28/2014 15:49:15	=5676	=01/28/2014 15:49:15	=1	=01/30/2014 20:00:00	=110,22,249,58,66,183,12,203,12,213,199,127,54,35,173,145	=6	[NULL]	
=12	=5392	=24	=4	=01/28/2014 15:49:11	=5676	=01/28/2014 15:49:19	=1	=01/30/2014 20:00:00	=30,147,20,32,82,63,198,9,193,98,182,208,93,177,183,185	=7	[NULL]	
=13	=5409	=1000004	=4	=11/16/2015 22:19:54	=5676	=11/16/2015 22:19:54	=0	=08/18/2015 20:00:00	[NULL]	=8	[NULL]	
=14	=5406	=29	=4	=01/28/2014 00:09:38	=5676	=02/20/2014 14:13:12	=1	[NULL]	[NULL]	=9	[NULL]	
