Id	SeedMobileSchedulingRequestDeliveryPointOrderTaxRuleId	ItemId	TaxAmountInCents	DepositRatePerItemAmountInCents	
=1	=1	=932	=22.00000	=293	
=2	=1	=1173	=12.00000	=45	
=3	=2	=917	=15.00000	=0	
=4	=3	=1430	=-60.00000	=0	
=5	=4	=1192	=19.97599	=0	
=6	=4	=1431	=-120.00000	=0	
=7	=5	=1430	=-59.97599	=0	
=8	=6	=1407	=1814.91582	=0	
=9	=6	=1235	=1601.32573	=10	
=10	=6	=1379	=895.75845	=10	
=11	=6	=1430	=0.00000	=10	
=12	=7	=1407	=1814.91582	=5	
=13	=7	=1235	=1601.32573	=10	
=14	=7	=1379	=895.75845	=10	
=15	=8	=1430	=0.00000	=10	
=16	=9	=803	=102.00000	=293	
=17	=10	=808	=10.00000	=0	
