Id	SeedMobileSchedulingRequestVendingMachineId	CoilId	Inventory	AddedQuantity	RemovedQuantity	SpoiledQuantity	
=1	=1	=888	[NULL]	=4	=2	=1	
=2	=1	=889	[NULL]	=1	=0	=0	
=3	=1	=890	[NULL]	=0	=0	=2	
=4	=1	=891	[NULL]	=0	=1	=0	
=5	=1	=892	=8	=5	=2	=1	
=6	=1	=893	=7	=3	=0	=0	
=7	=1	=894	[NULL]	=0	=0	=0	
=8	=1	=895	[NULL]	=0	=0	=0	
=9	=1	=896	[NULL]	=0	=0	=0	
=10	=1	=897	[NULL]	=4	=0	=0	
=11	=1	=898	[NULL]	=4	=0	=0	
=12	=1	=899	[NULL]	=0	=0	=0	
=13	=1	=900	[NULL]	=0	=0	=0	
=14	=1	=901	[NULL]	=0	=0	=0	
=15	=1	=902	[NULL]	=5	=0	=0	
=16	=1	=903	[NULL]	=6	=0	=0	
=17	=1	=904	[NULL]	=0	=0	=0	
=18	=1	=905	[NULL]	=0	=0	=0	
=19	=1	=906	[NULL]	=0	=0	=0	
=20	=1	=907	[NULL]	=0	=0	=0	
=21	=1	=908	[NULL]	=0	=0	=0	
=22	=1	=909	[NULL]	=6	=0	=0	
=23	=1	=910	[NULL]	=0	=0	=0	
=24	=1	=911	[NULL]	=0	=0	=0	
=25	=1	=912	[NULL]	=0	=0	=0	
=26	=1	=913	[NULL]	=0	=0	=0	
=27	=1	=914	[NULL]	=0	=0	=0	
=28	=1	=915	[NULL]	=0	=0	=0	
=29	=1	=916	[NULL]	=0	=0	=0	
=30	=1	=917	[NULL]	=0	=0	=0	
=31	=1	=918	[NULL]	=0	=0	=0	
=32	=1	=919	[NULL]	=0	=0	=0	
=33	=1	=920	[NULL]	=4	=0	=0	
=34	=1	=921	[NULL]	=0	=0	=0	
=35	=1	=922	[NULL]	=0	=0	=0	
=36	=2	=888	[NULL]	=4	=2	=1	
=37	=2	=889	[NULL]	=1	=0	=0	
=38	=2	=890	[NULL]	=0	=0	=2	
=39	=2	=891	[NULL]	=0	=1	=0	
=40	=2	=892	=8	=5	=2	=1	
=41	=2	=893	=7	=3	=0	=0	
=42	=2	=894	[NULL]	=0	=0	=0	
=43	=2	=895	[NULL]	=0	=0	=0	
=44	=2	=896	[NULL]	=0	=0	=0	
=45	=2	=897	[NULL]	=5	=1	=2	
=46	=2	=898	[NULL]	=4	=4	=0	
=47	=2	=899	[NULL]	=0	=0	=0	
=48	=2	=900	[NULL]	=0	=0	=0	
=49	=2	=901	[NULL]	=0	=0	=0	
=50	=2	=902	[NULL]	=5	=0	=0	
=51	=2	=903	[NULL]	=6	=0	=0	
=52	=2	=904	[NULL]	=0	=0	=0	
=53	=2	=905	[NULL]	=0	=0	=0	
=54	=2	=906	[NULL]	=0	=0	=0	
=55	=2	=907	[NULL]	=0	=0	=0	
=56	=2	=908	[NULL]	=0	=0	=0	
=57	=2	=909	[NULL]	=6	=0	=0	
=58	=2	=910	[NULL]	=0	=0	=0	
=59	=2	=911	[NULL]	=0	=0	=0	
=60	=2	=912	[NULL]	=0	=0	=0	
=61	=2	=913	[NULL]	=0	=0	=0	
=62	=2	=914	[NULL]	=0	=0	=0	
=63	=2	=915	[NULL]	=0	=0	=0	
=64	=2	=916	[NULL]	=0	=0	=0	
=65	=2	=917	[NULL]	=0	=0	=0	
=66	=2	=918	[NULL]	=0	=0	=0	
=67	=2	=919	[NULL]	=0	=0	=0	
=68	=2	=920	[NULL]	=4	=0	=0	
=69	=2	=921	[NULL]	=0	=0	=0	
=70	=2	=922	[NULL]	=0	=0	=0	
=71	=3	=3552	=8	=4	=0	=0	
=72	=3	=3553	=3	=4	=0	=2	
=73	=3	=3554	=6	=2	=0	=0	
=74	=3	=3555	=2	=2	=0	=0	
=75	=3	=3556	=2	=1	=0	=0	
=76	=3	=3557	=2	=0	=0	=0	
=77	=3	=3558	=2	=2	=0	=0	
=78	=3	=3559	=199	=28	=5	=0	
=79	=3	=3560	=147	=83	=5	=2	
=80	=4	=878	=24	=11	=0	=0	
=81	=4	=879	=18	=0	=0	=0	
=82	=4	=880	=24	=18	=0	=2	
=83	=4	=881	=16	=0	=0	=1	
=84	=4	=882	=15	=12	=1	=0	
=85	=4	=883	=18	=0	=0	=0	
=86	=4	=884	=18	=0	=0	=0	
=87	=4	=885	=18	=6	=0	=0	
=88	=4	=886	=18	=18	=0	=0	
=89	=4	=887	=18	=18	=11	=0	
=90	=5	=3550	=7	=1	=0	=0	
=91	=5	=3580	=7	=8	=0	=1	
=92	=5	=3581	=7	=2	=1	=0	
=93	=5	=3582	=7	=1	=0	=0	
=94	=5	=3583	=7	=11	=2	=1	
=95	=5	=3584	=7	=3	=0	=0	
=96	=5	=3585	=7	=2	=0	=0	
=97	=5	=3586	=7	=12	=0	=0	
=98	=5	=6585	=8	=2	=0	=0	
=99	=5	=6586	=2	=2	=0	=0	
=100	=5	=7425	=2	=4	=0	=0	
=101	=10	=41	=1	=2	=3	=4	
