Id	Name	ImportId	Address	City	State	CountryAlpha3Code	ZipCode	PhoneNumber	FaxNumber	Email	Contact	ManagementCode	Code	CommissionPlanId	TaxJurisdictionId	LastUpdatedByIntegrationDateTime	Description	DeliveryPricingPlanId	DeliveryPaymentTermInDays	DeliveryInvoiceSendingPreference	DeliveryStatementSendingPreference	BranchId	SalespersonUserId	AccountManagerUserId	StartDate	EndDate	CustomerGroupId	
=0	=Unassigned (in Treat America North warehouse)	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=1	[NULL]	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1003	=Lennox Recreation Assoc.	=151327D	=LENNOX RECREATION ASSOC. 200 S. 12TH AVE.	=MARSHALLTOWN	=IA	[NULL]	=50158	=6417544331	[NULL]	[NULL]	=Judy Eirikson	[NULL]	[NULL]	[NULL]	[NULL]	=10/20/2009 08:55:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1004	=All Vend Management	=MEI-151329D	=	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1005	=DES MOINES REGISTER-Airport	=1205	=7400 Register Dr.	=Des Moines	=IA	[NULL]	=50321	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1008	=DES MOINES REGISTER-Locust	=1204	=715 Locust St.	=Des Moines	=IA	[NULL]	=50309	=5152862535	[NULL]	[NULL]	=Judy	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1010	=WELLS-Vista	=151319	=7000 Vista Drive	=West Des Moines	=IA	[NULL]	=50266	=5152220856	[NULL]	[NULL]	=Steven Slagter	[NULL]	[NULL]	[NULL]	[NULL]	=11/16/2010 08:02:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1011	=IMT INSURANCE	=1335	=4445 CORPORATE DRIVE	=WEST DES MOINES	=IA	[NULL]	=50266	=5153272777	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=04/17/2011 15:29:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1014	=Katecho	=1370	=4020 Gannette Ave	=Des Moines	=IA	[NULL]	=50321	=5159889094	[NULL]	[NULL]	=RICHARD SCHMIDT	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1015	=KCCI TV - CHANNEL 8	=1375	=888 9TH STREET	=DES MOINES	=IA	[NULL]	=50309	=5152478828	[NULL]	[NULL]	=Kendra ocs orders	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=1016	=TENSION ENVELOPE	=1732	=2100 E 17 ST	=DES MOINES	=IA	[NULL]	=50316	=5152663181	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=10/18/2012 21:13:00	[NULL]	[NULL]	=30	=EP	=EP	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
