WARNINGS                  	                                      	                                                                   	 
Import warnings           	                                      	                                                                   	 
Import Id                 	Object                                	Message                                                            	 
163197                    	Machine                               	Third party device 100 (USA Tech) is unlinked from Asset ID 163197.	 
163197                    	Machine                               	Third party device 11 (USA Tech) is linked to Asset ID 163197.     	 
Machine route changed     	                                      	                                                                   	 
Asset Id                  	Old Route                             	New Route                                                          	 
163197                    	Treat America North warehouse         	70829                                                              	 
INFORMATION               	                                      	                                                                   	 
Summary                   	                                      	                                                                   	 
Data Building Time:       	0h:0m:40s                             	                                                                   	 
Data Processing Time:     	0h:0m:0s                              	                                                                   	 
Product Manufacturers:    	4                                     	Machines:                                                          	1
Product Categories:       	3                                     	Inventories:                                                       	9
Products:                 	8                                     	Machine Visits:                                                    	0
Routes:                   	3                                     	Machine Visit Details:                                             	0
Customers:                	2                                     	Route Schedules:                                                   	0
Locations:                	3                                     	Machine Route Schedules:                                           	0
TECHNICAL INFORMATION     	                                      	                                                                   	 
Reporting Version:        	0.0                                   	                                                                   	 
Client:                   	Processor=Vendmax, Version=2.0.0.29859	                                                                   	 
Request URL:              	http://test.org/                      	                                                                   	 
Username:                 	test@test.com                         	                                                                   	 
Transaction Id:           	0                                     	                                                                   	 
Highest Framework Version:	4.0.30319                             	                                                                   	 
