Id	BranchId	Name	IsDefault	IsPicked	Deleted	CreatedByUserId	
=1	=1	=Treat America North main warehouse	=True	=False	=False	[NULL]	
=2	=1001	=Kansas City main warehouse	=True	=False	=False	[NULL]	
=3	=1003	=Treat Indy main warehouse	=True	=False	=False	[NULL]	
=4	=1003	=70106 truck	=False	=False	=False	[NULL]	
=5	=1003	=70111 truck	=False	=False	=False	[NULL]	
=6	=1003	=70113 truck	=False	=False	=False	[NULL]	
=7	=1003	=70114 truck	=False	=False	=False	[NULL]	
=8	=1003	=70125 truck	=False	=False	=False	[NULL]	
=9	=1003	=70126 truck	=False	=False	=False	[NULL]	
=10	=1003	=70301 truck	=False	=False	=False	[NULL]	
=11	=1003	=70307 truck	=False	=False	=False	[NULL]	
=12	=1003	=70308 truck	=False	=False	=False	[NULL]	
=13	=1003	=70314 truck	=False	=False	=False	[NULL]	
=14	=1003	=70315 truck	=False	=False	=False	[NULL]	
=15	=1003	=70317 truck	=False	=False	=False	[NULL]	
=16	=1003	=70318.. truck	=False	=False	=False	[NULL]	
=17	=1003	=70322.. truck	=False	=False	=False	[NULL]	
=18	=1003	=70324.. truck	=False	=False	=False	[NULL]	
=19	=1003	=70326 truck	=False	=False	=False	[NULL]	
=20	=1003	=70829 truck	=False	=False	=False	[NULL]	
=21	=1003	=75704 truck	=False	=False	=False	[NULL]	
=22	=1003	=75705 truck	=False	=False	=False	[NULL]	
=23	=1	=CDM9.. truck	=False	=False	=True	[NULL]	
=24	=1	=Default Route.. truck	=False	=False	=False	[NULL]	
=25	=1	=DM1.. truck	=False	=False	=False	[NULL]	
=26	=1	=DM10 truck	=False	=False	=False	[NULL]	
=27	=1	=DM2.. truck	=False	=False	=True	[NULL]	
=28	=1	=DM4 truck	=False	=False	=False	[NULL]	
=29	=1	=DM5 truck	=False	=False	=False	[NULL]	
=30	=1	=DM6.. truck	=False	=False	=False	[NULL]	
=31	=1	=DM9 truck	=False	=False	=False	[NULL]	
=32	=1001	=Route 96.. truck	=False	=False	=True	[NULL]	
=33	=1001	=Rt 10002.. truck	=False	=False	=True	[NULL]	
=34	=1001	=Rt 10003 truck	=False	=False	=False	[NULL]	
=35	=1001	=Rt 10005.. truck	=False	=False	=True	[NULL]	
=36	=1001	=Rt 10006 truck	=False	=False	=False	[NULL]	
=37	=1001	=Rt 10008.. truck	=False	=False	=True	[NULL]	
=38	=1001	=Rt 10010 truck	=False	=False	=False	[NULL]	
=39	=1001	=Rt 10013.. truck	=False	=False	=True	[NULL]	
=40	=1001	=Rt 10014 truck	=False	=False	=True	[NULL]	
=41	=1001	=Rt 10015.. truck	=False	=False	=True	[NULL]	
