Id	CoilId	AlertLevel	Par	Capacity	DesiredPriceInCents	ItemId	CoilDeleted	GroupName	
=1	=49058	=6	=24	=24	=125	=867	=False	[NULL]	
=2	=49059	=-1000	=0	=0	=125	=867	=False	[NULL]	
=3	=49060	=6	=48	=48	=125	=1013	=False	[NULL]	
=4	=49061	=6	=24	=24	=125	=8838	=False	[NULL]	
=5	=49062	=6	=24	=24	=125	=865	=False	[NULL]	
=6	=49063	=-1000	=0	=0	=125	=1013	=False	[NULL]	
=7	=97198	=3	=24	=24	=110	=865	=False	[NULL]	
=8	=97199	=3	=24	=24	=110	=867	=False	[NULL]	
=9	=97200	=3	=24	=24	=110	=869	=False	[NULL]	
=10	=97201	=3	=24	=24	=110	=879	=False	[NULL]	
=11	=97202	=3	=24	=24	=110	=861	=False	[NULL]	
=12	=97203	=3	=24	=24	=100	=1013	=False	[NULL]	
=13	=114187	=6	=60	=60	=135	=877	=False	[NULL]	
=14	=114188	=6	=60	=60	=135	=873	=False	[NULL]	
=15	=114189	=6	=60	=60	=135	=875	=False	[NULL]	
=16	=114190	=6	=60	=60	=135	=881	=False	[NULL]	
=17	=114191	=6	=24	=24	=135	=952	=False	[NULL]	
=18	=114192	=6	=12	=12	=135	=898	=False	[NULL]	
=19	=114297	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=20	=114298	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=21	=114299	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=22	=114300	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=23	=114301	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=24	=114302	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=25	=115785	=1	=12	=12	=125	=865	=False	[NULL]	
=26	=115786	=1	=12	=12	=125	=867	=False	[NULL]	
=27	=115787	=1	=12	=12	=125	=877	=False	[NULL]	
=28	=115788	=1	=12	=12	=125	=873	=False	[NULL]	
=29	=115789	=1	=12	=12	=65	=744	=False	[NULL]	
=30	=115790	=1	=12	=12	=65	=744	=False	[NULL]	
=31	=122099	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=32	=122100	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=33	=122101	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=34	=122102	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=35	=122103	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=36	=130249	=36	=96	=96	=75	=744	=False	[NULL]	
=37	=130250	=36	=96	=96	=75	=765	=False	[NULL]	
=38	=130251	=36	=96	=96	=75	=754	=False	[NULL]	
=39	=130252	=36	=96	=96	=75	=756	=False	[NULL]	
=40	=130253	=24	=48	=48	=75	=784	=False	[NULL]	
=41	=130254	=24	=48	=48	=75	=764	=False	[NULL]	
=42	=140755	=9	=44	=44	=125	=865	=False	[NULL]	
=43	=140756	=9	=44	=44	=125	=867	=False	[NULL]	
=44	=140757	=9	=44	=44	=125	=869	=False	[NULL]	
=45	=140758	=9	=44	=44	=125	=1013	=False	[NULL]	
=46	=140759	=6	=22	=22	=125	=8838	=False	[NULL]	
=47	=140760	=6	=22	=22	=125	=8454	=False	[NULL]	
=48	=140761	=6	=48	=48	=75	=744	=False	[NULL]	
=49	=140762	=3	=24	=48	=75	=765	=False	[NULL]	
=50	=140763	=3	=24	=48	=75	=768	=False	[NULL]	
=51	=140764	=6	=48	=48	=75	=774	=False	[NULL]	
=52	=140765	=6	=24	=24	=75	=748	=False	[NULL]	
=53	=140766	=6	=24	=24	=75	=764	=False	[NULL]	
=54	=140768	=18	=48	=48	=75	=744	=False	[NULL]	
=55	=140769	=12	=36	=36	=75	=765	=False	[NULL]	
=56	=140770	=12	=36	=36	=75	=784	=False	[NULL]	
=57	=140771	=6	=24	=24	=75	=754	=False	[NULL]	
=58	=140772	=6	=24	=24	=75	=780	=False	[NULL]	
=59	=140773	=6	=24	=24	=75	=756	=False	[NULL]	
=60	=140774	=6	=104	=104	=70	=744	=False	[NULL]	
=61	=140775	=6	=104	=104	=70	=765	=False	[NULL]	
=62	=140776	=6	=104	=104	=70	=774	=False	[NULL]	
=63	=140777	=6	=104	=104	=70	=754	=False	[NULL]	
=64	=140778	=6	=52	=52	=70	=784	=False	[NULL]	
=65	=140779	=6	=52	=52	=70	=751	=False	[NULL]	
=66	=140790	=6	=58	=58	=75	=744	=False	[NULL]	
=67	=140791	=6	=58	=58	=75	=765	=False	[NULL]	
=68	=140792	=6	=32	=32	=75	=754	=False	[NULL]	
=69	=140793	=6	=32	=32	=75	=756	=False	[NULL]	
=70	=140794	=6	=32	=24	=75	=780	=False	[NULL]	
=71	=140795	=6	=58	=24	=75	=784	=False	[NULL]	
=72	=140999	=6	=48	=44	=135	=865	=False	[NULL]	
=73	=141000	=6	=48	=44	=135	=867	=False	[NULL]	
=74	=141001	=6	=48	=44	=135	=861	=False	[NULL]	
=75	=141002	=6	=48	=44	=135	=879	=False	[NULL]	
=76	=141003	=6	=22	=22	=135	=889	=False	[NULL]	
=77	=141004	=6	=22	=22	=135	=869	=False	[NULL]	
=78	=157364	=6	=58	=58	=65	=748	=False	[NULL]	
=79	=157365	=6	=58	=58	=65	=751	=False	[NULL]	
=80	=157366	=6	=58	=58	=65	=754	=False	[NULL]	
=81	=157367	=6	=30	=30	=65	=774	=False	[NULL]	
=82	=157368	=6	=30	=30	=65	=776	=False	[NULL]	
=83	=157369	=6	=30	=30	=65	=756	=False	[NULL]	
=84	=157668	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=85	=157669	=-1000	=0	[NULL]	[NULL]	=1	=False	[NULL]	
=86	=167345	=6	=0	=0	=65	=744	=False	[NULL]	
=87	=167346	=6	=0	=0	=65	=748	=False	[NULL]	
=88	=167347	=6	=0	=0	=65	=784	=False	[NULL]	
=89	=167348	=6	=0	=0	=65	=765	=False	[NULL]	
=90	=167349	=6	=0	=0	=65	=774	=False	[NULL]	
=91	=167350	=6	=0	[NULL]	[NULL]	=2	=False	[NULL]	
=92	=168101	=6	=48	=48	=75	=744	=False	[NULL]	
=93	=168102	=6	=48	=48	=75	=765	=False	[NULL]	
=94	=168103	=6	=48	=48	=75	=784	=False	[NULL]	
=95	=168104	=6	=48	=48	=75	=748	=False	[NULL]	
=96	=168105	=6	=48	=48	=75	=754	=False	[NULL]	
=97	=168106	=6	=24	=24	=75	=804	=False	[NULL]	
=98	=168168	=6	=24	=24	=55	=744	=False	[NULL]	
=99	=168169	=6	=24	=24	=55	=765	=False	[NULL]	
=100	=168170	=6	=24	=24	=55	=784	=False	[NULL]	
=101	=168171	=6	=24	=24	=55	=780	=False	[NULL]	
=102	=168172	=6	=24	=24	=55	=5724	=False	[NULL]	
=103	=168173	=6	=24	=24	=55	=767	=False	[NULL]	
=104	=171162	=6	=72	=72	=65	=744	=False	[NULL]	
=105	=171163	=6	=0	=0	=65	=804	=False	[NULL]	
=106	=171164	=6	=24	=24	=65	=784	=False	[NULL]	
=107	=171165	=6	=24	=24	=65	=765	=False	[NULL]	
=108	=171166	=6	=18	=18	=65	=5712	=False	[NULL]	
=109	=171167	=6	=18	=18	=65	=747	=False	[NULL]	
=110	=171300	=6	=48	=48	=65	=744	=False	[NULL]	
=111	=171301	=-1000	=0	=0	=65	=744	=False	[NULL]	
=112	=171302	=6	=24	=24	=125	=1013	=False	[NULL]	
=113	=171303	=6	=24	=24	=65	=765	=False	[NULL]	
=114	=171304	=6	=24	=24	=65	=784	=False	[NULL]	
=115	=171305	=6	=24	=24	=65	=754	=False	[NULL]	
=116	=173341	=6	=18	=18	=75	=744	=False	[NULL]	
=117	=173342	=6	=18	=18	=75	=765	=False	[NULL]	
=118	=173343	=6	=18	=18	=75	=784	=False	[NULL]	
=119	=173344	=6	=18	=18	=75	=5712	=False	[NULL]	
=120	=173345	=6	=18	=18	=75	=780	=False	[NULL]	
=121	=173346	=-1000	=0	=0	=75	=780	=False	[NULL]	
=122	=187688	=6	=60	=60	=75	=744	=False	[NULL]	
=123	=187689	=6	=60	=60	=75	=748	=False	[NULL]	
=124	=187690	=6	=60	=60	=75	=784	=False	[NULL]	
=125	=187691	=6	=30	=30	=75	=754	=False	[NULL]	
=126	=187692	=6	=30	=30	=75	=774	=False	[NULL]	
=127	=187693	=6	=30	=30	=75	=780	=False	[NULL]	
=128	=190924	=6	=30	=30	=50	=756	=False	[NULL]	
=129	=190925	=6	=56	=56	=50	=765	=False	[NULL]	
=130	=190926	=6	=56	=56	=50	=744	=False	[NULL]	
=131	=190927	=6	=16	=16	=50	=767	=False	[NULL]	
=132	=190928	=6	=32	=32	=50	=754	=False	[NULL]	
=133	=190929	=6	=32	=24	=50	=772	=False	[NULL]	
=134	=197240	=4	=44	=44	=135	=865	=False	[NULL]	
=135	=197241	=4	=44	=44	=135	=867	=False	[NULL]	
=136	=197242	=4	=46	=46	=135	=889	=False	[NULL]	
=137	=197243	=4	=44	=44	=135	=1017	=False	[NULL]	
=138	=197244	=4	=24	=24	=135	=869	=False	[NULL]	
=139	=197245	=4	=22	=6	=135	=1013	=False	[NULL]	
=140	=198117	=6	=44	=44	=125	=865	=False	[NULL]	
=141	=198118	=6	=46	=46	=125	=867	=False	[NULL]	
=142	=198119	=6	=44	=44	=125	=1013	=False	[NULL]	
=143	=198120	=6	=100	=100	=70	=744	=False	[NULL]	
=144	=198121	=6	=50	=50	=70	=5712	=False	[NULL]	
=145	=198122	=6	=50	=50	=70	=784	=False	[NULL]	
=146	=217330	=18	=64	=64	=70	=744	=False	[NULL]	
=147	=217331	=18	=64	=64	=70	=765	=False	[NULL]	
=148	=217332	=18	=64	=64	=70	=756	=False	[NULL]	
=149	=217333	=9	=32	=32	=70	=751	=False	[NULL]	
=150	=217334	=9	=32	=32	=70	=754	=False	[NULL]	
=151	=217335	=9	=32	=32	=70	=774	=False	[NULL]	
=152	=222747	=6	=46	=46	=125	=865	=False	[NULL]	
=153	=222748	=6	=46	=46	=125	=867	=False	[NULL]	
=154	=222749	=6	=46	=46	=125	=953	=False	[NULL]	
=155	=222750	=6	=46	=46	=125	=861	=False	[NULL]	
=156	=222751	=-1000	=0	=0	=125	=861	=False	[NULL]	
=157	=222752	=6	=46	=46	=125	=877	=False	[NULL]	
=158	=228433	=6	=30	=30	=75	=744	=False	[NULL]	
=159	=228434	=6	=30	=30	=75	=765	=False	[NULL]	
=160	=228435	=6	=30	=30	=75	=764	=False	[NULL]	
=161	=228436	=6	=30	=30	=75	=780	=False	[NULL]	
=162	=228437	=6	=30	=30	=75	=784	=False	[NULL]	
=163	=228438	=6	=30	=30	=75	=5725	=False	[NULL]	
=164	=233038	=6	=44	=44	=135	=865	=False	[NULL]	
=165	=233039	=6	=44	=44	=135	=867	=False	[NULL]	
=166	=233040	=6	=44	=44	=135	=1013	=False	[NULL]	
=167	=233041	=6	=44	=44	=135	=869	=False	[NULL]	
=168	=233042	=6	=22	=22	=135	=889	=False	[NULL]	
=169	=233043	=6	=22	=22	=135	=1017	=False	[NULL]	
=170	=240521	=6	=48	=48	=75	=744	=False	[NULL]	
=171	=240522	=-1000	=0	=0	=75	=744	=False	[NULL]	
=172	=240523	=6	=100	=100	=75	=765	=False	[NULL]	
=173	=240524	=6	=24	=24	=75	=780	=False	[NULL]	
=174	=240525	=6	=24	=24	=75	=5712	=False	[NULL]	
=175	=240526	=6	=24	=24	=75	=784	=False	[NULL]	
=176	=242315	=6	=24	=24	=50	=756	=False	[NULL]	
=177	=242316	=6	=18	=18	=50	=748	=False	[NULL]	
=178	=242317	=6	=48	=48	=50	=765	=False	[NULL]	
=179	=242318	=6	=24	=24	=50	=751	=False	[NULL]	
=180	=242319	=6	=24	=24	=50	=744	=False	[NULL]	
=181	=242320	=6	=24	=24	=50	=784	=False	[NULL]	
=182	=257790	=6	=72	=72	=75	=744	=False	[NULL]	
=183	=257791	=6	=60	=60	=75	=765	=False	[NULL]	
=184	=257792	=6	=72	=72	=75	=748	=False	[NULL]	
=185	=257793	=6	=60	=60	=75	=756	=False	[NULL]	
=186	=257794	=6	=48	=48	=75	=754	=False	[NULL]	
=187	=257795	=6	=48	=48	=75	=784	=False	[NULL]	
=188	=258849	=6	=36	=36	=55	=744	=False	[NULL]	
=189	=258850	=6	=36	=36	=55	=754	=False	[NULL]	
=190	=258851	=6	=36	=36	=55	=774	=False	[NULL]	
=191	=258852	=6	=36	=36	=55	=748	=False	[NULL]	
=192	=258853	=6	=24	=24	=55	=5724	=False	[NULL]	
=193	=258854	=6	=24	=24	=55	=784	=False	[NULL]	
=194	=259820	=12	=48	=96	=75	=765	=False	[NULL]	
=195	=259821	=6	=24	=96	=75	=744	=False	[NULL]	
=196	=259822	=6	=24	=96	=75	=756	=False	[NULL]	
=197	=259823	=6	=24	=96	=75	=751	=False	[NULL]	
=198	=259824	=6	=24	=48	=75	=774	=False	[NULL]	
=199	=259825	=6	=24	=48	=75	=748	=False	[NULL]	
=200	=264394	=6	=90	=90	=75	=748	=False	[NULL]	
=201	=264395	=6	=90	=90	=75	=774	=False	[NULL]	
=202	=264396	=6	=48	=48	=75	=804	=False	[NULL]	
=203	=264397	=6	=48	=48	=75	=751	=False	[NULL]	
=204	=264398	=6	=48	=48	=75	=778	=False	[NULL]	
=205	=264399	=6	=48	=48	=75	=776	=False	[NULL]	
