Id	ItemId	Name	ItemsCount	IsDefaultForReceive	IsDefaultForTransfer	Enabled	
=1	=1	=Each	=1	=False	=False	=True	
=2	=2	=Each	=1	=False	=False	=True	
=1071	=748	=Each	=1	=False	=False	=True	
=1072	=751	=Each	=1	=False	=False	=True	
=1085	=774	=Each	=1	=False	=False	=True	
=1086	=778	=Each	=1	=False	=False	=True	
=1091	=768	=Each	=1	=False	=False	=True	
=1098	=5724	=Each	=1	=False	=False	=True	
=1099	=5725	=Each	=1	=False	=False	=True	
=1103	=804	=Each	=1	=False	=False	=True	
=1106	=776	=Each	=1	=False	=False	=True	
=1156	=744	=Each	=1	=False	=False	=True	
=1157	=765	=Each	=1	=False	=False	=True	
=1158	=764	=Each	=1	=False	=False	=True	
=1159	=772	=Each	=1	=False	=False	=True	
=1162	=780	=Each	=1	=False	=False	=True	
=1163	=786	=Each	=1	=False	=False	=True	
=1166	=784	=Each	=1	=False	=False	=True	
=1167	=767	=Each	=1	=False	=False	=True	
=1169	=747	=Each	=1	=False	=False	=True	
=1171	=5712	=Each	=1	=False	=False	=True	
=1186	=754	=Each	=1	=False	=False	=True	
=1187	=756	=Each	=1	=False	=False	=True	
=1249	=873	=Each	=1	=False	=False	=True	
=1250	=875	=Each	=1	=False	=False	=True	
=1262	=877	=Each	=1	=False	=False	=True	
=1263	=881	=Each	=1	=False	=False	=True	
=1282	=913	=Each	=1	=False	=False	=True	
=1286	=898	=Each	=1	=False	=False	=True	
=1288	=953	=Each	=1	=False	=False	=True	
=1289	=952	=Each	=1	=False	=False	=True	
=1311	=8454	=Each	=1	=False	=False	=True	
=1318	=865	=Each	=1	=False	=False	=True	
=1319	=867	=Each	=1	=False	=False	=True	
=1321	=1017	=Each	=1	=False	=False	=True	
=1322	=889	=Each	=1	=False	=False	=True	
=1325	=5876	=Each	=1	=False	=False	=True	
=1329	=869	=Each	=1	=False	=False	=True	
=1330	=891	=Each	=1	=False	=False	=True	
=1332	=883	=Each	=1	=False	=False	=True	
=1375	=861	=Each	=1	=False	=False	=True	
=1376	=879	=Each	=1	=False	=False	=True	
=1410	=892	=Each	=1	=False	=False	=True	
=1422	=1013	=Each	=1	=False	=False	=True	
=1472	=1001	=Each	=1	=False	=False	=True	
=1473	=987	=Each	=1	=False	=False	=True	
=4866	=8838	=Each	=1	=False	=False	=True	
