Id	MachineId	Name	NameAlpha	NameNumber	VmsCoilOrder	GroupName	Inventory	Par	AlertLevel	Capacity	PriceInCents	DesiredPriceInCents	ItemId	VendsSinceInitializationQuantity	
=49058	=1034913	=1	=	=1	[NULL]	=A	=30	=24	=6	=24	=125	=125	=867	=7221	
=49059	=1034913	=2	=	=2	[NULL]	=A	=0	=0	=-1000	=0	=125	=125	=867	=2620	
=49060	=1034913	=3	=	=3	[NULL]	=B	=44	=48	=6	=48	=125	=125	=1013	=5065	
=49061	=1034913	=4	=	=4	[NULL]	[NULL]	=40	=24	=6	=24	=125	=125	=8838	=4141	
=49062	=1034913	=5	=	=5	[NULL]	[NULL]	=29	=24	=6	=24	=125	=125	=865	=4390	
=49063	=1034913	=6	=	=6	[NULL]	=B	=0	=0	=-1000	=0	=65	=125	=1013	=3357	
=97198	=1034898	=1	=	=1	[NULL]	[NULL]	=16	=24	=3	=24	=125	=110	=865	=152	
=97199	=1034898	=2	=	=2	[NULL]	[NULL]	=-2	=24	=3	=24	=125	=110	=867	=264	
=97200	=1034898	=3	=	=3	[NULL]	[NULL]	=12	=24	=3	=24	=125	=110	=869	=78	
=97201	=1034898	=4	=	=4	[NULL]	[NULL]	=8	=24	=3	=24	=100	=110	=879	=238	
=97202	=1034898	=5	=	=5	[NULL]	[NULL]	=2	=24	=3	=24	=125	=110	=861	=143	
=97203	=1034898	=6	=	=6	[NULL]	[NULL]	=12	=24	=3	=24	=125	=100	=1013	=432	
=114187	=1099012	=1	=	=1	[NULL]	[NULL]	=32	=60	=6	=60	=135	=135	=877	=8740	
=114188	=1099012	=3	=	=3	[NULL]	[NULL]	=56	=60	=6	=60	=135	=135	=873	=5541	
=114189	=1099012	=5	=	=5	[NULL]	[NULL]	=50	=60	=6	=60	=125	=135	=875	=4869	
=114190	=1099012	=7	=	=7	[NULL]	[NULL]	=47	=60	=6	=60	=135	=135	=881	=3583	
=114191	=1099012	=9	=	=9	[NULL]	[NULL]	=28	=24	=6	=24	=135	=135	=952	=1219	
=114192	=1099012	=10	=	=10	[NULL]	[NULL]	=4	=12	=6	=12	=135	=135	=898	=1162	
=114297	=1137617	=1	=	=1	[NULL]	[NULL]	=-8	=0	=-1000	[NULL]	=75	[NULL]	=1	=10778	
=114298	=1137617	=2	=	=2	[NULL]	[NULL]	=-1	=0	=-1000	[NULL]	=75	[NULL]	=1	=5489	
=114299	=1137617	=3	=	=3	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=75	[NULL]	=1	=12969	
=114300	=1137617	=4	=	=4	[NULL]	[NULL]	=-4	=0	=-1000	[NULL]	=75	[NULL]	=1	=6181	
