Id	Name	ImportId	CustomerId	ChannelId	RegionId	ZipCode	City	State	CountryAlpha3Code	Address	PhoneNumber	FaxNumber	Email	Contact	LastUpdatedByIntegrationDateTime	GeoCodeStatus	GeoCodeError	GeoCodeDate	GeoCodeLatitude	GeoCodeLongitude	Description	SubLocationsAllowed	ManagementCode	ManagementAccountCode	Code	CommissionPlanId	TaxJurisdictionId	SnoozeId	DeliveryPricingPlanId	UseAddressForDelivery	DeliveryPaymentTermInDays	DeliveryInvoiceSendingPreference	DeliveryStatementSendingPreference	
=0	=Unassigned (in Treat America North warehouse)	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	=Location not found	=02/26/2008 07:27:00	=31.1690368652344	=-100.076889038086	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1001	=CASEY'S	=1109	=1392	[NULL]	[NULL]	=50021	=ANKENY	=IA	[NULL]	=1 SE CONVENIENCE BLVD	=5159656225	[NULL]	[NULL]	=Patty - OSC orders	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.693743	=-93.573043	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1003	=Lennox Recreation Assoc.	=151327D	=1003	[NULL]	[NULL]	=50158	=MARSHALLTOWN	=IA	[NULL]	=LENNOX RECREATION ASSOC. 200 S. 12TH AVE.	=6417544331	[NULL]	[NULL]	=Judy Eirikson	=10/20/2009 08:55:00	=S	=200	=10/20/2009 11:00:00	=42.0467681884766	=-92.892936706543	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1004	=Trinity Structural Towers	=151329D	=1004	[NULL]	[NULL]	=50208	=Newton	=IA	[NULL]	=801 N. 19th Ave. East	=8172391241	[NULL]	[NULL]	=Bill Jones	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.715238	=-93.040847	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1005	=DES MOINES REGISTER-Airport	=1205	=1005	[NULL]	[NULL]	=50321	=Des Moines	=IA	[NULL]	=7400 Register Dr.	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.5187453	=-93.6714586	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1007	=MENARDS- West	=1455	=1207	[NULL]	[NULL]	=50325	=CLIVE	=IA	[NULL]	=12000 HICKMAN RD	=5152700994	[NULL]	[NULL]	[NULL]	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.6148155	=-93.7836771	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1008	=DES MOINES REGISTER-Locust	=1204	=1008	[NULL]	[NULL]	=50309	=Des Moines	=IA	[NULL]	=715 Locust St.	=5152862535	[NULL]	[NULL]	=Judy	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.5865608	=-93.6263847	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1010	=WELLS-Vista	=151319	=1010	[NULL]	[NULL]	=50266	=West Des Moines	=IA	[NULL]	=7000 Vista Drive	=5152220856	[NULL]	[NULL]	=Steven Slagter	=11/16/2010 08:02:00	=S	[NULL]	=06/18/2010 00:49:00	=41.588382	=-93.804324	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1011	=IMT INSURANCE	=1335	=1011	[NULL]	[NULL]	=50266	=WEST DES MOINES	=IA	[NULL]	=4445 CORPORATE DRIVE	=5153272777	[NULL]	[NULL]	[NULL]	=04/17/2011 15:29:00	=S	[NULL]	=06/18/2010 00:49:00	=41.5980344	=-93.7638322	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
=1014	=Katecho	=1370	=1014	[NULL]	[NULL]	=50321	=Des Moines	=IA	[NULL]	=4020 Gannette Ave	=5159889094	[NULL]	[NULL]	=RICHARD SCHMIDT	=11/07/2012 21:12:00	=S	[NULL]	=06/18/2010 00:49:00	=41.515499	=-93.672506	[NULL]	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	[NULL]	
