Id	MachineId	CollectionDateTime	RestockUtcDateTime	RestockSummaryFrozen	
=464698	=1099012	=11/05/2012 04:45:00	=11/05/2012 12:45:00	=False	
=465098	=603569	=11/05/2012 11:03:00	=11/05/2012 19:03:00	=False	
=465140	=608346	=11/05/2012 12:04:00	=11/05/2012 20:04:00	=False	
=465498	=1146522	=11/06/2012 05:25:00	=11/06/2012 13:25:00	=False	
=465500	=1108827	=11/06/2012 05:25:00	=11/06/2012 13:25:00	=False	
=465518	=1108608	=11/06/2012 05:44:00	=11/06/2012 13:44:00	=False	
=465791	=1108820	=11/06/2012 09:52:00	=11/06/2012 17:52:00	=False	
=465816	=1034898	=11/06/2012 10:28:00	=11/06/2012 18:28:00	=False	
=465912	=1035140	=11/06/2012 01:00:00	=11/06/2012 09:00:00	=False	
=465913	=1035277	=11/06/2012 01:00:00	=11/06/2012 09:00:00	=False	
=465915	=1035202	=11/06/2012 01:00:00	=11/06/2012 09:00:00	=False	
=465917	=1035111	=11/06/2012 01:00:00	=11/06/2012 09:00:00	=False	
=465919	=1177962	=11/06/2012 01:00:00	=11/06/2012 09:00:00	=False	
=466413	=608771	=11/07/2012 09:13:00	=11/07/2012 17:13:00	=False	
=466473	=1108615	=11/07/2012 10:37:00	=11/07/2012 18:37:00	=False	
=466587	=1146397	=11/07/2012 11:10:00	=11/07/2012 19:10:00	=False	
=466640	=1142855	=11/05/2012 23:48:00	=11/06/2012 07:48:00	=False	
