Id	LocationId	RouteId	ImportId	AssetId	DeviceSerialNumber	CentralThirdPartyDeviceId	UserMachineSerialNumber	Place	LastRestockDateTime	Deployed	OfflineMachineType	MeterType	LastInventoryAdjustmentDateTime	LastUpdatedByIntegrationUtcDateTime	
=0	=0	=0	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=600149	=0	=0	[NULL]	=600149	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=603401	=3142	=31010	=161849	=161849	=103401	[NULL]	=2473 6241BT	=CUSTOMER SERVICE	=10/30/2012 04:03:00	=1	[NULL]	[NULL]	=10/04/2012 05:00:00	=11/07/2012 19:12:00	
=603431	=0	=0	[NULL]	=603431	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=603442	=0	=0	[NULL]	=603442	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=603568	=3302	=21006	=167687	=167687	[NULL]	[NULL]	=04526252BI	=2ND FLR X-RAY	=09/05/2012 07:23:00	=0	=F	[NULL]	=08/13/2012 11:57:00	=10/10/2012 01:52:00	
=603569	=3185	=31010	=168052	=168052	=103569	[NULL]	=200101CA00092	=1ST FLR RM 160	=11/05/2012 11:03:00	=1	[NULL]	[NULL]	=11/05/2012 11:03:00	=11/07/2012 19:12:00	
=603639	=3349	=31010	=167669	=167669	=103639	[NULL]	=200208CA00059	=1ST FLR	=11/02/2012 11:20:00	=1	[NULL]	[NULL]	=11/02/2012 11:20:00	=11/07/2012 19:12:00	
=603764	=3459	=31003	=159997	=159997	=103764	[NULL]	=06976252BT	=BRKRM	=11/02/2012 09:39:00	=1	[NULL]	[NULL]	=10/25/2012 11:08:00	=11/07/2012 19:12:00	
=603770	=3361	=0	=168025	=168025	=103770	[NULL]	=200946CA0024	=CAFETERIA	=09/30/2011 00:40:00	=0	[NULL]	[NULL]	=09/29/2011 00:19:00	=10/04/2011 12:30:00	
=603898	=3288	=31045	=163778	=163778	=103898	[NULL]	=201037CA00095	[NULL]	=10/18/2012 05:40:00	=1	[NULL]	[NULL]	=09/21/2012 08:18:00	=11/07/2012 19:12:00	
=603916	=3243	=31045	=163776	=163776	=103916	[NULL]	=200207CA00007	=BASEMENT	=10/18/2012 09:57:00	=1	[NULL]	[NULL]	=10/18/2012 09:57:00	=11/07/2012 19:12:00	
=604153	=3235	=31044	=167831	=167831	=104153	[NULL]	=20024CA00152	=BIDDLE BLDG	=10/25/2012 07:10:00	=1	[NULL]	[NULL]	=09/06/2012 04:41:00	=11/07/2012 19:12:00	
=604275	=0	=0	[NULL]	=604275	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=608339	=3106	=0	=166355	=166355	[NULL]	[NULL]	=22766241BT	=LUNCHROOM	=08/10/2010 10:02:00	=0	=F	[NULL]	=07/15/2010 06:25:00	=09/01/2010 18:10:00	
=608346	=3362	=31024	=163762	=163762	=137507	[NULL]	=200024CA00293	=B2 BRKRM	=11/05/2012 12:04:00	=1	[NULL]	[NULL]	=11/05/2012 12:04:00	=11/07/2012 19:12:00	
=608349	=3108	=31044	=168010	=168010	=108349	[NULL]	=200946CA00225	=GAME ROOM	=05/24/2012 04:37:00	=0	[NULL]	[NULL]	=04/25/2012 01:19:00	=07/13/2012 01:51:00	
=608370	=3333	=31032	=163654	=163654	[NULL]	[NULL]	=200108CA00010	=	=05/16/2012 09:19:00	=0	=F	[NULL]	=05/16/2012 09:19:00	=05/29/2012 01:53:00	
=608549	=3104	=0	=166365	=166365	[NULL]	[NULL]	=24856241BT	=LOWER LEVEL	=10/04/2011 05:57:00	=1	=P	=C	=09/06/2011 06:26:00	=11/02/2011 13:31:00	
=608639	=3805	=31032	=159891	=159891	=108639	[NULL]	=0541-620603	=INSTALLATION BASE	=10/30/2012 09:47:00	=1	[NULL]	[NULL]	=10/25/2012 13:40:00	=11/07/2012 19:12:00	
=608735	=0	=0	[NULL]	=608735	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=608771	=3305	=31040	=166775	=166775	=108771	[NULL]	=07426287DT	=4TH FLR	=11/07/2012 09:13:00	=1	[NULL]	[NULL]	=11/07/2012 09:13:00	=11/07/2012 19:12:00	
=608959	=3532	=70829	=504161	=504161	=100232	[NULL]	=51560015	=East Cafe	=06/05/2012 07:06:00	=1	[NULL]	[NULL]	[NULL]	=06/20/2012 07:33:00	
=609277	=3121	=0	=166342	=166342	[NULL]	[NULL]	=20886238AT	=MUNICIPAL COURT	=08/06/2010 01:00:00	=0	=F	[NULL]	=08/06/2010 08:19:00	=08/24/2010 10:13:00	
=609284	=3121	=0	=166343	=166343	[NULL]	[NULL]	=20246250BT	=EMP LUNCHROOM	=08/03/2010 06:51:00	=0	=F	[NULL]	=07/08/2010 08:22:00	=08/25/2010 18:10:00	
=610851	=3026	=0	=152153	=152153	[NULL]	[NULL]	=22716168	=MAIN BRKRM	=05/06/2011 04:28:00	=0	=F	[NULL]	=05/06/2011 04:28:00	=05/12/2011 12:31:00	
=611037	=0	=0	[NULL]	=1111037	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=611191	=0	=0	[NULL]	=1111191	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=F	[NULL]	[NULL]	[NULL]	
=614738	=3807	=31032	=163917	=163917	=108735	[NULL]	=200014CA00158	=OB-2 INSTALLATION TRAINING	=10/25/2012 09:46:00	=1	[NULL]	[NULL]	=08/02/2012 09:57:00	=11/07/2012 19:12:00	
=614759	=3186	=21021	=168060	=168060	=114759	[NULL]	=200946CA00226	=PLANT LUNCHROOM	=11/01/2012 12:56:00	=1	[NULL]	[NULL]	=11/01/2012 12:56:00	=11/07/2012 19:12:00	
=615379	=3001	=0	=154845	=154845	[NULL]	[NULL]	=2582	=CAMPUS CENTER	=08/05/2010 01:00:00	=0	=F	[NULL]	[NULL]	=08/15/2011 12:38:00	
=615380	=3002	=0	=156119	=156119	[NULL]	[NULL]	=20013	=	=10/15/2009 06:01:00	=0	=F	[NULL]	[NULL]	=08/23/2011 12:31:00	
=615381	=3334	=0	=156286	=156286	[NULL]	[NULL]	=431-025838	=PRINTING BRKRM	=03/08/2010 03:48:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615382	=3249	=0	=156392	=156392	[NULL]	[NULL]	=43124252	=PERCH BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=04/03/2012 07:35:00	
=615383	=3028	=0	=156855	=156855	[NULL]	[NULL]	=N/A	=COMMONS	=04/25/2008 04:32:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=615385	=3028	=0	=157325	=157325	[NULL]	[NULL]	=43131192	=COMMONS-RIGHT	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=02/16/2012 02:46:00	
=615386	=3892	=0	=157327	=157327	[NULL]	[NULL]	=00052115407	=GROCERY BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615387	=3022	=31033	=157352	=157352	[NULL]	[NULL]	=0019115382	=3RD FLR.	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=615390	=3023	=0	=157631	=157631	[NULL]	[NULL]	=92900233	=3RD FLOOR	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615391	=3023	=0	=157642	=157642	[NULL]	[NULL]	=93701018	=4TH FLOOR	=07/09/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615392	=3023	=0	=157646	=157646	[NULL]	[NULL]	=93701010	=3RD FLR	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615393	=3023	=0	=157653	=157653	[NULL]	[NULL]	=93800409	=1ST FLOOR	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615394	=3180	=0	=157692	=157692	[NULL]	[NULL]	=431-0130285	=PILLAR 3000	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615396	=3745	=0	=159563	=159563	[NULL]	[NULL]	=121155	=2ND FLR	=07/28/2010 01:00:00	=0	=F	[NULL]	[NULL]	=07/30/2011 12:32:00	
=615397	=3028	=0	=159625	=159625	[NULL]	[NULL]	=22301017008	=COMMONS	=07/21/2010 01:00:00	=0	=F	[NULL]	[NULL]	=04/11/2011 12:31:00	
=615398	=3001	=0	=159700	=159700	[NULL]	[NULL]	=637010920	=CAMPUS CENTER	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=08/15/2011 12:38:00	
=615399	=3001	=0	=159701	=159701	[NULL]	[NULL]	=637010920	=HIGH TECH	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=08/15/2011 12:38:00	
=615401	=3026	=0	=161239	=161239	[NULL]	[NULL]	=43147758	=MAXISEAL	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615402	=3026	=0	=161254	=161254	[NULL]	[NULL]	=041310G22746	=MISSION PLASTICS	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615407	=3038	=0	=161848	=161848	[NULL]	[NULL]	=	=MAIN	=07/28/2010 01:00:00	=0	=F	[NULL]	[NULL]	=12/12/2011 02:47:00	
=615408	=3454	=0	=162393	=162393	[NULL]	[NULL]	=01191010532	=MOULDING	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615409	=3028	=0	=162495	=162495	[NULL]	[NULL]	=70668	=2ND FLR ADMIN OFFICE	=07/16/2010 01:00:00	=0	=F	[NULL]	[NULL]	=11/10/2010 18:59:00	
=615410	=3029	=0	=162507	=162507	[NULL]	[NULL]	=32001159089	=OFFICE BRKRM	=09/24/2008 07:19:00	=1	=F	[NULL]	[NULL]	=07/26/2010 18:08:00	
=615412	=3029	=0	=162563	=162563	[NULL]	[NULL]	=3200001281	=B BRKRM	=09/24/2008 07:32:00	=1	=F	[NULL]	[NULL]	=09/28/2010 18:11:00	
=615413	=3007	=0	=162627	=162627	[NULL]	[NULL]	=810205634	=MAIN	=06/21/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615414	=3007	=21021	=162638	=162638	[NULL]	[NULL]	=CL01349	=North bldg	=07/26/2010 01:00:00	=0	=F	[NULL]	[NULL]	=01/24/2011 17:46:00	
=615415	=3007	=0	=162641	=162641	[NULL]	[NULL]	=0107119200	=North bldg	=07/14/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615416	=3024	=0	=162740	=162740	[NULL]	[NULL]	=21100308005	=3RD FLR	=03/04/2010 07:17:00	=0	=F	[NULL]	[NULL]	=05/17/2010 18:08:00	
=615417	=3026	=0	=162796	=162796	[NULL]	[NULL]	=64808503	=MAXISEAL	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=11/20/2011 13:30:00	
=615418	=3032	=0	=163350	=163350	[NULL]	[NULL]	=17946083CQ	=	=02/16/2010 07:40:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=615419	=3900	=0	=164523	=164523	[NULL]	[NULL]	=670010348	=BLDG 3	=07/07/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
