Id	RouteId	WarehouseId	CreatedByUserId	
=1	=70106	=4	[NULL]	
=2	=70111	=5	[NULL]	
=3	=70113	=6	[NULL]	
=4	=70114	=7	[NULL]	
=5	=70125	=8	[NULL]	
=6	=70126	=9	[NULL]	
=7	=70301	=10	[NULL]	
=8	=70307	=11	[NULL]	
=9	=70308	=12	[NULL]	
=10	=70314	=13	[NULL]	
=11	=91316	=14	[NULL]	
=12	=70317	=15	[NULL]	
=13	=70318	=16	[NULL]	
=14	=70322	=17	[NULL]	
=15	=70324	=18	[NULL]	
=16	=70326	=19	[NULL]	
=17	=70829	=20	[NULL]	
=18	=75704	=21	[NULL]	
=19	=75705	=22	[NULL]	
=20	=10007	=23	[NULL]	
=21	=0	=24	[NULL]	
=22	=10005	=25	[NULL]	
=23	=40010	=26	[NULL]	
=24	=10008	=27	[NULL]	
=25	=10003	=28	[NULL]	
=26	=10006	=29	[NULL]	
=27	=10004	=30	[NULL]	
=28	=10002	=31	[NULL]	
=29	=21096	=32	[NULL]	
=30	=21002	=33	[NULL]	
=31	=31003	=34	[NULL]	
=32	=31005	=35	[NULL]	
=33	=21006	=36	[NULL]	
=34	=21008	=37	[NULL]	
=35	=31010	=38	[NULL]	
=36	=31013	=39	[NULL]	
=37	=31014	=40	[NULL]	
=38	=21015	=41	[NULL]	
=39	=31016	=42	[NULL]	
=40	=31017	=43	[NULL]	
=41	=31019	=44	[NULL]	
=42	=31020	=45	[NULL]	
=43	=21021	=46	[NULL]	
=44	=21022	=47	[NULL]	
=45	=31024	=48	[NULL]	
=46	=31026	=49	[NULL]	
=47	=10027	=50	[NULL]	
=48	=31028	=51	[NULL]	
=49	=21029	=52	[NULL]	
=50	=31030	=53	[NULL]	
=51	=31031	=54	[NULL]	
=52	=31032	=55	[NULL]	
=53	=31033	=56	[NULL]	
=54	=21034	=57	[NULL]	
=55	=31035	=58	[NULL]	
=56	=21037	=59	[NULL]	
=57	=31040	=60	[NULL]	
=58	=31042	=61	[NULL]	
=59	=31044	=62	[NULL]	
=60	=31045	=63	[NULL]	
=61	=15	=64	[NULL]	
=62	=17	=65	[NULL]	
=63	=19	=66	[NULL]	
=64	=2	=67	[NULL]	
=65	=20020	=68	[NULL]	
=66	=22	=69	[NULL]	
=67	=20023	=70	[NULL]	
=68	=25	=71	[NULL]	
=69	=29	=72	[NULL]	
=70	=3	=73	[NULL]	
=71	=34	=74	[NULL]	
=72	=20039	=75	[NULL]	
=73	=20004	=76	[NULL]	
=74	=41	=77	[NULL]	
=75	=42	=78	[NULL]	
=76	=6	=79	[NULL]	
=77	=62	=80	[NULL]	
=78	=20007	=81	[NULL]	
=79	=8	=82	[NULL]	
=80	=20081	=83	[NULL]	
=81	=89	=84	[NULL]	
=82	=10502	=85	[NULL]	
=83	=20001	=86	[NULL]	
=84	=20005	=87	[NULL]	
=85	=20009	=88	[NULL]	
=86	=20010	=89	[NULL]	
=87	=20011	=90	[NULL]	
=88	=20012	=91	[NULL]	
=89	=20013	=92	[NULL]	
=90	=20014	=93	[NULL]	
=91	=20016	=94	[NULL]	
=92	=20018	=95	[NULL]	
=93	=70302	=96	[NULL]	
=94	=70311	=97	[NULL]	
=95	=75802	=98	[NULL]	
=96	=75833	=99	[NULL]	
=98	=91318	=101	[NULL]	
=99	=91319	=105	[NULL]	
=100	=91320	=106	[NULL]	
