Id	ScheduleId	MachineId	Deleted	
=1124850	=30367	=1167023	=False	
=1124851	=30367	=1167024	=False	
=1124852	=30367	=1166856	=False	
=1124853	=30367	=1167009	=False	
=1124854	=30367	=1167010	=False	
=1124855	=30367	=1166932	=False	
=1124856	=30367	=1167000	=False	
=1124857	=30367	=1166999	=False	
=1124858	=30367	=1166840	=False	
=1124859	=30367	=1112745	=False	
=1124860	=30367	=1111815	=True	
=1124861	=30367	=1109885	=True	
=1124862	=30367	=1136720	=False	
=1124863	=30367	=1109054	=False	
=1124864	=30367	=1108629	=False	
=1124865	=30367	=1146149	=False	
=1124866	=30367	=1108790	=False	
=1124867	=30367	=1108914	=False	
=1124868	=30367	=1100804	=False	
=1124869	=30367	=1136391	=False	
=1124870	=30367	=1103833	=False	
=1124871	=30367	=1034590	=False	
=1124872	=30367	=1099020	=False	
=1124873	=30367	=1098097	=False	
=1124874	=30367	=1136739	=False	
=1124875	=30367	=1136702	=False	
=1124876	=30367	=1142694	=False	
=1124877	=30367	=1110107	=False	
=1124878	=30367	=1098558	=False	
=1124879	=30367	=1109863	=False	
=1124880	=30367	=1099019	=False	
=1124881	=30367	=1142810	=True	
=1124882	=30367	=1109879	=True	
=1124883	=30367	=1133808	=True	
=1124884	=30367	=1103786	=False	
=1124885	=30367	=1144729	=False	
=1124886	=30367	=1146152	=False	
=1124887	=30367	=1135995	=False	
=1124888	=30367	=1098569	=False	
=1124889	=30367	=1136741	=False	
=1124890	=30367	=1136898	=False	
=1124891	=30367	=1136697	=True	
=1124892	=30367	=1098829	=False	
=1124893	=30367	=1034909	=False	
=1124894	=30367	=1136698	=True	
=1124895	=30367	=1136707	=True	
=1124896	=30367	=1098592	=False	
=1124897	=30367	=1098536	=False	
=1124898	=30367	=1045873	=False	
=1124899	=30367	=1136736	=True	
=1124900	=30367	=1146145	=False	
=1124901	=30367	=1109575	=True	
=1124902	=30367	=1146203	=True	
=1124903	=30367	=1098582	=True	
=1124904	=30367	=1109523	=True	
=1124905	=30367	=1136190	=True	
=1124906	=30367	=1136142	=True	
=1124907	=30367	=1109530	=True	
=1124908	=30367	=1111959	=True	
=1124909	=30367	=1109528	=True	
=1124910	=30367	=1136725	=True	
=1124911	=30367	=1136716	=True	
=1124912	=30367	=1109574	=True	
=1124913	=30367	=1133590	=True	
=1124914	=30367	=1114857	=True	
=1124915	=30367	=1098994	=True	
=1124916	=30367	=1104450	=True	
=1124917	=30367	=1167001	=False	
=1124918	=30367	=1167002	=False	
=1124919	=30367	=1166841	=False	
=1124920	=30367	=1136919	=True	
=1124921	=30367	=1136701	=True	
=1124922	=30367	=1133782	=True	
=1124923	=30367	=1136790	=False	
=1124924	=30367	=1142801	=True	
=1124925	=30367	=1136942	=False	
=1124926	=30367	=1136938	=True	
=1124928	=30367	=1133661	=False	
=1124929	=30368	=1167055	=False	
=1124930	=30368	=1167054	=False	
=1124931	=30368	=1167056	=False	
=1124932	=30368	=1140148	=False	
=1124933	=30368	=1167007	=False	
=1124934	=30368	=1167008	=False	
=1124935	=30368	=1166847	=False	
=1124936	=30368	=1167013	=False	
=1124937	=30368	=1166855	=False	
=1124938	=30368	=1167014	=False	
=1124939	=30368	=1098535	=False	
=1124940	=30368	=1103771	=False	
=1124941	=30368	=1098552	=False	
=1124942	=30368	=1104353	=False	
=1124943	=30368	=1108907	=False	
=1124944	=30368	=1098820	=False	
=1124945	=30368	=1098828	=True	
=1124946	=30368	=1136717	=True	
=1124947	=30368	=1047155	=True	
=1124948	=30368	=1098800	=True	
=1124949	=30368	=1098613	=True	
=1124950	=30368	=1046896	=False	
=1124951	=30368	=1136274	=False	
=1124952	=30368	=1166799	=False	
=1124953	=30368	=1098741	=False	
=1124954	=30368	=1108919	=False	
=1124955	=30368	=1034910	=False	
=1124956	=30368	=1098983	=True	
=1124957	=30368	=1136737	=False	
=1124958	=30368	=1136254	=True	
=1124959	=30368	=1133999	=True	
=1124960	=30368	=1098904	=False	
=1124961	=30368	=1133998	=True	
=1124962	=30368	=1142130	=True	
=1124963	=30368	=1108675	=False	
=1124964	=30368	=1098539	=False	
=1124965	=30368	=1109061	=False	
=1124966	=30368	=1108669	=False	
