Id	BranchId	ItemCategoryId	ItemManufacturerId	ProductCode	ImportId	Name	Size	Count	UnitCost	PickOrder	AverageShelfLife	ItemCommissionCategoryId	ItemTaxCategoryId	ItemDepositCategoryId	ItemFinanceCategoryId	ItemCompanyKitchenCategoryId	IsIngredient	IngredientMeasure	PrepickTransferToWarehouseEnabled	Deleted	IsInvoiceOnly	
=1	[NULL]	[NULL]	[NULL]	=00000	[NULL]	=Unknown Item	=1	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=2	[NULL]	[NULL]	[NULL]	=000000	[NULL]	=Non-Existent Coil	=1	=1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=247	[NULL]	=25	=82	=10000	=P-10000	=Coke 12oz can 1000	[NULL]	=24	=0.3600	=10000	=8 MONTHS	=1	=2	=1	=3	[NULL]	=False	[NULL]	=True	=False	=False	
=248	[NULL]	=25	=82	=10001	=P-10001	=Diet Coke 12oz can 1003	[NULL]	=24	=0.3600	=10001	=2 MONTHS	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=249	[NULL]	=25	=37	=10002	=P-10002	=Dr Pepper 12oz can	=	=24	=0.3000	=10002	=8 MONTHS	=20	=9	[NULL]	=2	[NULL]	=False	[NULL]	=True	=False	=False	
=250	[NULL]	=25	=82	=10003	=P-10003	=Sprite 12oz can 1009	[NULL]	=24	=0.3700	=10003	=8 MONTHS	=21	=10	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=251	[NULL]	=25	=37	=10004	=P-10004	=Sunkist Orange Soda 12oz can	=	=24	=0.2800	=10004	=8 MONTHS	=22	=11	=2	=7	[NULL]	=False	[NULL]	=True	=False	=False	
=252	[NULL]	=25	=37	=10005	=P-10005	=7 Up 12oz can 109712	[NULL]	=24	=0.2500	=10005	=8 MONTHS	=22	=12	=2	=8	[NULL]	=False	[NULL]	=True	=False	=False	
=253	[NULL]	=25	=37	=10006	=P-10006	=Diet Dr Pepper 12oz can	=11oz	=24	=0.2500	=10006	=2 MONTHS	=22	=13	=2	=8	[NULL]	=False	[NULL]	=True	=False	=False	
=254	[NULL]	=25	=37	=10007	=P-10007	=Sunkist Grape 12oz can	=	=24	=0.2500	=10007	=8 MONTHS	=22	=14	=2	=8	[NULL]	=False	[NULL]	=True	=False	=False	
=255	[NULL]	=25	=37	=10008	=P-10008	=Strawberry Soda Welchs 12oz can	[NULL]	=24	=0.3100	=10008	=8 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=256	[NULL]	=25	=37	=10009	=P-10009	=Root Beer AW 12oz can	=	=24	=0.2200	=10009	=8 MONTHS	=22	=14	=2	=8	[NULL]	=False	[NULL]	=True	=False	=False	
=257	[NULL]	=25	=37	=10010	=P-10010	=Country Time Lemonade 12oz can	[NULL]	=24	=0.3100	=10010	=8 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=258	=1	=25	=37	=10011	=P-10011	=Diet 7 Up 12 oz can  50019	[NULL]	=24	=0.1900	=10011	=2 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=False	=False	
=259	[NULL]	=25	=83	=10012	=P-10012	=Brisk Tea Lipton 12oz can 39213	[NULL]	=24	=0.3000	=10012	=4 MONTHS	=22	=15	=2	=8	[NULL]	=False	[NULL]	=True	=False	=False	
=260	[NULL]	=25	=83	=10013	=P-10013	=Mountain Dew 12oz can 781184	[NULL]	=24	=0.2800	=10013	=4 MONTHS	[NULL]	=16	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=261	[NULL]	=25	=83	=10014	=P-10014	=Pepsi 12oz can 78114	=	=24	=0.2800	=10014	=8 MONTHS	=24	=17	[NULL]	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=262	[NULL]	=25	=83	=10015	=P-10015	=Hawaiian Punch 12oz can	[NULL]	=24	=0.2900	=10015	=4 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=263	[NULL]	=25	=83	=10016	=P-10016	=Diet Brisk Tea Lipton 12oz can	[NULL]	=12	=0.3000	=10016	=2 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=264	[NULL]	=28	=82	=10017	=P-10017	=Coke Zero 12oz can 0376	[NULL]	=24	=0.3600	=10017	=2 MONTHS	=25	=17	[NULL]	=2	[NULL]	=False	[NULL]	=True	=False	=False	
=265	[NULL]	=25	=83	=10018	=P-10018	=Diet Pepsi 12oz can	[NULL]	=24	=0.2400	=10018	=2 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=266	[NULL]	=25	=37	=10019	=P-10019	=Diet Cherry 7 Up 12oz can	[NULL]	=24	=0.2400	=10019	=2 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=267	[NULL]	=25	=37	=10020	=P-10020	=Diet Root Beer AW 12oz can  50547	[NULL]	=24	=0.3100	=10020	=2 MONTHS	=26	=18	[NULL]	=3	[NULL]	=False	[NULL]	=True	=False	=False	
=268	[NULL]	=57	=82	=10021	=P-10021	=Fresca 12oz can	=	=24	=0.3700	=10021	=2 MONTHS	=27	=18	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=269	[NULL]	=57	=82	=10022	=P-10022	=Sprite Zero 12oz can 4807	[NULL]	=24	=0.3700	=10022	=2 MONTHS	=28	=18	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=270	[NULL]	=25	=83	=10023	=P-10023	=Mountain Dew Code Red 12oz can	[NULL]	=24	=0.2300	=10023	=8 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=271	[NULL]	=25	=37	=10024	=P-10024	=Caffiene Free Diet Dr Pepper 12oz can	[NULL]	=24	=0.2300	=10024	=2 MONTHS	=1	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=272	[NULL]	=25	=83	=10025	=P-10025	=Diet Mountain Dew 12oz can  51302	[NULL]	=24	=0.3300	=10025	=2 MONTHS	=29	=18	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=273	[NULL]	=39	=83	=150000	=P-150000	=Orange Juice - 10oz Tropicana 826860	=	=1	=0.5600	=150000	=5 MONTHS	=55	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=274	[NULL]	=39	=83	=150001	=P-150001	=Apple Juice - 10oz Tropicana 826853	=	=1	=0.5400	=150001	=5 MONTHS	=56	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=275	[NULL]	=39	=102	=150002	=P-150002	=V-8 Juice - 11.5oz 21879	=	=1	=0.4990	=150002	=1 YEAR	=57	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=276	[NULL]	=39	=39	=150003	=P-150003	=Orange Juice Juice Bowl 11.5oz	[NULL]	=1	=0.6000	=150003	=8 MONTHS	=16	=5	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
