Id	ItemId	Name	ItemsCount	IsDefaultForReceive	IsDefaultForTransfer	IsDefaultForDelivery	Enabled	
=1	=290	=each	=1	=False	=False	=False	=True	
=2	=1	=each	=1	=False	=False	=False	=True	
=3	=2	=each	=1	=False	=False	=False	=True	
=4	=247	=each	=1	=False	=False	=False	=True	
=5	=305	=each	=1	=False	=False	=False	=True	
=6	=306	=each	=1	=False	=False	=False	=True	
=7	=307	=each	=1	=False	=False	=False	=True	
=8	=676	=each	=1	=False	=False	=False	=True	
=9	=705	=each	=1	=False	=False	=False	=True	
=10	=706	=each	=1	=False	=False	=False	=True	
=11	=707	=each	=1	=False	=False	=False	=True	
=12	=248	=each	=1	=False	=False	=False	=True	
=13	=249	=each	=1	=False	=False	=False	=True	
=14	=250	=each	=1	=False	=False	=False	=True	
=15	=251	=each	=1	=False	=False	=False	=True	
=16	=252	=each	=1	=False	=False	=False	=True	
=17	=253	=each	=1	=False	=False	=False	=True	
=18	=254	=each	=1	=False	=False	=False	=True	
=19	=255	=each	=1	=False	=False	=False	=True	
=20	=256	=each	=1	=False	=False	=False	=True	
=21	=257	=each	=1	=False	=False	=False	=True	
=22	=258	=each	=1	=False	=False	=False	=True	
=23	=259	=each	=1	=False	=False	=False	=True	
=24	=260	=each	=1	=False	=False	=False	=True	
=25	=261	=each	=1	=False	=False	=False	=True	
=26	=262	=each	=1	=False	=False	=False	=True	
=27	=263	=each	=1	=False	=False	=False	=True	
=28	=264	=each	=1	=False	=False	=False	=True	
=29	=265	=each	=1	=False	=False	=False	=True	
=30	=266	=each	=1	=False	=False	=False	=True	
=31	=267	=each	=1	=False	=False	=False	=True	
=32	=268	=each	=1	=False	=False	=False	=True	
=33	=269	=each	=1	=False	=False	=False	=True	
=34	=270	=each	=1	=False	=False	=False	=True	
=35	=271	=each	=1	=False	=False	=False	=True	
=36	=272	=each	=1	=False	=False	=False	=True	
=37	=443	=each	=1	=False	=False	=False	=True	
=38	=477	=each	=1	=False	=False	=False	=True	
=39	=623	=each	=1	=False	=False	=False	=True	
=40	=674	=each	=1	=False	=False	=False	=True	
=41	=675	=each	=1	=False	=False	=False	=True	
=42	=713	=each	=1	=False	=False	=False	=True	
=43	=725	=each	=1	=False	=False	=False	=True	
=44	=726	=each	=1	=False	=False	=False	=True	
=45	=738	=each	=1	=False	=False	=False	=True	
=46	=739	=each	=1	=False	=False	=False	=True	
=47	=429	=each	=1	=False	=False	=False	=True	
=48	=430	=each	=1	=False	=False	=False	=True	
=49	=431	=each	=1	=False	=False	=False	=True	
=50	=450	=each	=1	=False	=False	=False	=True	
=51	=458	=each	=1	=False	=False	=False	=True	
=52	=462	=each	=1	=False	=False	=False	=True	
=53	=593	=each	=1	=False	=False	=False	=True	
=54	=612	=each	=1	=False	=False	=False	=True	
=55	=626	=each	=1	=False	=False	=False	=True	
=56	=691	=each	=1	=False	=False	=False	=True	
=57	=692	=each	=1	=False	=False	=False	=True	
=58	=708	=each	=1	=False	=False	=False	=True	
=59	=709	=each	=1	=False	=False	=False	=True	
=60	=716	=each	=1	=False	=False	=False	=True	
=61	=581	=each	=1	=False	=False	=False	=True	
=62	=363	=each	=1	=False	=False	=False	=True	
=63	=364	=each	=1	=False	=False	=False	=True	
=64	=365	=each	=1	=False	=False	=False	=True	
=65	=366	=each	=1	=False	=False	=False	=True	
=66	=367	=each	=1	=False	=False	=False	=True	
=67	=368	=each	=1	=False	=False	=False	=True	
=68	=369	=each	=1	=False	=False	=False	=True	
=69	=370	=each	=1	=False	=False	=False	=True	
=70	=371	=each	=1	=False	=False	=False	=True	
=71	=372	=each	=1	=False	=False	=False	=True	
=72	=373	=each	=1	=False	=False	=False	=True	
=73	=374	=each	=1	=False	=False	=False	=True	
=74	=478	=each	=1	=False	=False	=False	=True	
=75	=536	=each	=1	=False	=False	=False	=True	
=76	=549	=each	=1	=False	=False	=False	=True	
=77	=595	=each	=1	=False	=False	=False	=True	
=78	=638	=each	=1	=False	=False	=False	=True	
=79	=639	=each	=1	=False	=False	=False	=True	
=80	=693	=each	=1	=False	=False	=False	=True	
=81	=348	=each	=1	=False	=False	=False	=True	
=82	=432	=each	=1	=False	=False	=False	=True	
=83	=439	=each	=1	=False	=False	=False	=True	
=84	=449	=each	=1	=False	=False	=False	=True	
=85	=452	=each	=1	=False	=False	=False	=True	
=86	=565	=each	=1	=False	=False	=False	=True	
=87	=566	=each	=1	=False	=False	=False	=True	
=88	=677	=each	=1	=False	=False	=False	=True	
=89	=704	=each	=1	=False	=False	=False	=True	
=90	=647	=each	=1	=False	=False	=False	=True	
=91	=273	=each	=1	=False	=False	=False	=True	
=92	=274	=each	=1	=False	=False	=False	=True	
=93	=275	=each	=1	=False	=False	=False	=True	
=94	=276	=each	=1	=False	=False	=False	=True	
=95	=277	=each	=1	=False	=False	=False	=True	
=96	=474	=each	=1	=False	=False	=False	=True	
=97	=614	=each	=1	=False	=False	=False	=True	
=98	=615	=each	=1	=False	=False	=False	=True	
