Id	PackId	Barcode	Deleted	
=251	=661	=008346177059	=False	
=252	=834	=008346122264	=False	
=253	=835	=009800057719	=False	
=254	=659	=009800007615	=False	
=255	=836	=012000025457	=False	
=256	=37	=012000017513	=False	
=257	=837	=012000028502	=False	
=258	=84	=012000028496	=False	
=259	=838	=014113911863	=False	
=260	=454	=014113911856	=False	
=261	=839	=00016000139107	=False	
=262	=340	=016000138704	=False	
=263	=840	=00016000142503	=False	
=264	=267	=016000142008	=False	
=265	=473	=016000442825	=False	
=266	=841	=016000441514	=False	
=267	=842	=00017082462626	=False	
=268	=657	=017082460622	=False	
=269	=843	=020501453037	=False	
=270	=448	=020501052032	=False	
=271	=844	=00021000016419	=False	
=272	=62	=021000010875	=False	
=273	=845	=021000025824	=False	
=274	=665	=21000023226	=False	
=275	=552	=021131501112	=False	
=276	=846	=021131300999	=False	
=277	=728	=022000159335	=False	
=278	=847	=022000158925	=False	
=279	=48	=022592536545	=False	
=280	=848	=022592432113	=False	
=281	=239	=024100122615	=False	
=282	=849	=024100122363	=False	
=283	=850	=025000058387	=False	
=284	=540	=025000058073	=False	
=285	=445	=026200006161	=False	
=286	=851	=026200006154	=False	
=287	=852	=026200497693	=True	
=288	=254	=026200471730	=False	
=289	=853	=028000131791	=False	
=290	=212	=028000131708	=False	
=291	=854	=028000259204	=False	
=292	=219	=028000259105	=False	
=293	=855	=028400013598	=False	
=294	=291	=028400013567	=False	
=295	=856	=029000077911	=False	
=296	=443	=029000076822	=False	
=297	=857	=00030000265871	=False	
=298	=542	=030000263372	=False	
=299	=858	=030100239765	=False	
=300	=363	=030100217688	=False	
=301	=859	=031535596362	=False	
=302	=358	=031535591480	=False	
=303	=235	=034000196067	=False	
=304	=860	=034000196050	=False	
=305	=230	=034856246343	=False	
=306	=861	=034856246336	=False	
=307	=66	=037600138529	=False	
=308	=862	=00037600074995	=False	
=309	=863	=038000077784	=False	
=310	=478	=038000012587	=False	
=311	=864	=038000299834	=False	
=312	=465	=038000296710	=False	
=313	=697	=038000358210	=False	
=314	=865	=038000358005	=False	
=315	=391	=038000524042	=False	
=316	=866	=00038000524028	=False	
=317	=867	=041433019344	=False	
=318	=156	=041433009345	=False	
=319	=727	=041668105010	=False	
=320	=868	=041668105003	=False	
=321	=708	=042238302211	=False	
=322	=869	=042238302204	=False	
=323	=709	=042238323643	=False	
=324	=870	=042238323636	=False	
=325	=871	=042362104552	=False	
=326	=259	=042362020104	=False	
=327	=872	=043695134124	=False	
=328	=547	=043695079210	=False	
=329	=873	=044000029098	=False	
=330	=676	=044000028282	=False	
=331	=874	=047677254862	=False	
=332	=680	=047677001510	=False	
=333	=875	=047677529250	=False	
=334	=679	=047677429253	=False	
=335	=876	=048500500729	=False	
=336	=98	=048500008614	=False	
=337	=28	=049000042566	=False	
=338	=525	=049000042559	=False	
=339	=518	=049000047561	=False	
=340	=877	=049000047516	=False	
=341	=878	=051000085252	=False	
=342	=93	=051000012920	=False	
=343	=5	=052000328660	=False	
=344	=879	=052000207859	=False	
=345	=880	=070847003403	=False	
=346	=88	=070847000037	=False	
=347	=881	=070847811237	=False	
=348	=81	=070847811169	=False	
=349	=882	=070847811275	=False	
=350	=85	=070847811268	=False	
=351	=883	=070953701019	=False	
=352	=395	=070953701002	=False	
=353	=884	=070970452208	=False	
=354	=232	=070970000324	=False	
=355	=885	=00071567791014	=False	
=356	=229	=071567729840	=False	
=357	=886	=00072250902496	=False	
=358	=725	=072250010412	=False	
=359	=887	=072250914062	=False	
=360	=400	=072250914031	=False	
=361	=888	=072320810010	=False	
=362	=364	=072320810003	=False	
=363	=688	=072554112102	=False	
=364	=889	=072554111280	=False	
=365	=890	=073202899581	=False	
=366	=130	=073202889582	=False	
=367	=118	=073202995917	=False	
=368	=891	=073202899598	=False	
=369	=55	=073360707513	=False	
=370	=892	=073360703416	=False	
=371	=57	=073360747519	=False	
=372	=893	=073360743412	=False	
=373	=441	=076150232486	=False	
=374	=894	=076150075656	=False	
=375	=381	=076410900346	=False	
=376	=895	=076410900315	=False	
=377	=896	=076677184954	=False	
=378	=355	=076677100145	=False	
=379	=897	=077034087307	=False	
=380	=451	=077034009897	=False	
=381	=693	=077865006515	=False	
=382	=898	=077865002012	=False	
=383	=899	=00078000011937	=False	
=384	=543	=078000011852	=False	
=385	=900	=078000092547	=False	
=386	=53	=078000092400	=False	
=387	=901	=078907450402	=False	
=388	=293	=078907450365	=False	
=389	=902	=079200353193	=False	
=390	=231	=079200132156	=False	
=391	=903	=079783460899	=False	
=392	=362	=079783459343	=False	
=393	=904	=080793808694	=False	
=394	=43	=080793808670	=False	
=395	=905	=180530000968	=False	
=396	=664	=180530000715	=False	
=397	=906	=611269122114	=False	
=398	=83	=611269101713	=False	
=399	=907	=719410500245	=False	
=400	=658	=719410500016	=False	
=401	=908	=722252300904	=False	
=402	=706	=722252100900	=False	
=403	=502	=757528005276	=False	
=404	=909	=757528002763	=False	
=405	=87	=842885097634	=False	
=406	=910	=842885097627	=False	
=407	=25	=120130	=False	
=408	=29	=120500	=False	
=409	=24	=120850	=False	
=410	=911	=120850	=False	
=411	=912	=121300	=False	
=412	=188	=01213007	=False	
=413	=184	=121310	=False	
=414	=167	=121500	=False	
=415	=913	=012000030789	=False	
=416	=52	=121590	=False	
=417	=36	=121660	=False	
=418	=27	=123120	=False	
=419	=914	=012000810107	=False	
=420	=663	=126490	=False	
=421	=915	=012000100826	=False	
=422	=169	=127910	=False	
=423	=916	=012000014079	=False	
=424	=601	=172355	=False	
=425	=917	=205188	=False	
=426	=506	=078907399503	=False	
=427	=96	=319902	=False	
=428	=918	=031200788238	=False	
=429	=197	=342410	=False	
=430	=919	=034000241002	=False	
=431	=215	=342430	=False	
=432	=920	=034000243006	=False	
=433	=226	=342460	=False	
=434	=921	=034000246007	=False	
=435	=195	=343200	=False	
=436	=922	=034000903207	=False	
=437	=213	=343700	=False	
=438	=923	=034000370146	=False	
=439	=210	=343860	=False	
=440	=201	=344400	=False	
=441	=924	=034000440009	=False	
=442	=225	=345020	=False	
=443	=925	=034000530021	=False	
=444	=426	=347640	=False	
=445	=926	=034000714032	=False	
=446	=425	=347670	=False	
=447	=927	=034000714124	=False	
=448	=217	=349370	=False	
=449	=928	=034000246519	=False	
=450	=207	=400310	=False	
=451	=929	=040000012313	=False	
=452	=199	=400320	=False	
=453	=930	=040000012320	=False	
=454	=204	=400510	=False	
=455	=931	=040000011514	=False	
=456	=208	=401010	=False	
=457	=932	=040000011019	=False	
=458	=209	=401560	=False	
=459	=933	=040000011569	=False	
=460	=202	=401600	=False	
=461	=934	=040000011606	=False	
=462	=211	=402960	=False	
=463	=935	=040000122968	=False	
=464	=206	=404350	=False	
=465	=936	=040000353911	=False	
=466	=414	=413063	=False	
=467	=937	=10041300000069	=False	
=468	=21	=436900	=False	
=469	=938	=446090	=False	
=470	=176	=490440	=False	
=471	=177	=490450	=False	
=472	=14	=491320	=False	
=473	=939	=491320	=False	
=474	=32	=492480	=False	
=475	=4	=496340	=False	
=476	=523	=496340	=False	
=477	=12	=496580	=False	
=478	=33	=497150	=False	
=479	=192	=497640	=False	
=480	=19	=768624	=False	
=481	=16	=780380	=False	
=482	=940	=780380	=False	
=483	=22	=780790	=False	
=484	=941	=780790	=False	
=485	=539	=781140	=False	
=486	=942	=781140	=False	
=487	=180	=781610	=False	
=488	=943	=781610	=False	
=489	=20	=781870	=False	
=490	=944	=781870	=False	
=491	=31	=782560	=False	
=492	=538	=782640	=False	
=493	=15	=782740	=False	
=494	=945	=782740	=False	
=495	=13	=783150	=False	
=496	=946	=783150	=False	
=497	=17	=783230	=False	
=498	=947	=783230	=False	
=499	=35	=783320	=False	
=500	=948	=783320	=False	
=501	=165	=783860	=False	
=502	=949	=078000804676	=False	
=503	=166	=783880	=False	
=504	=950	=078000804683	=False	
=505	=26	=784000	=False	
=506	=951	=784000	=False	
=507	=30	=788300	=False	
=508	=515	=02248507	=False	
=509	=952	=022000114853	=False	
=510	=520	=02248604	=False	
=511	=953	=022000114860	=False	
=512	=514	=02248808	=False	
=513	=954	=022000114884	=False	
=514	=234	=03422007	=False	
=515	=955	=034000220007	=False	
=516	=227	=03424005	=False	
=517	=956	=034000240005	=False	
=518	=236	=03448005	=False	
=519	=957	=034000480005	=False	
=520	=517	=04014407	=False	
=521	=958	=040000012443	=False	
=522	=711	=04040509	=False	
=523	=959	=040000353874	=False	
=524	=388	=04132135	=False	
=525	=960	=070953891161	=False	
=526	=403	=04132232	=False	
=527	=961	=10041300000229	=False	
=528	=390	=04137936	=False	
=529	=962	=041300007429	=False	
=530	=411	=04138333	=False	
=531	=963	=10041300000021	=False	
=532	=717	=04455004	=False	
=533	=964	=044000011680	=False	
=534	=510	=04905004	=False	
=535	=965	=049000031034	=False	
=536	=39	=04992903	=False	
=537	=966	=04992903	=False	
=538	=51	=04997704	=False	
=539	=967	=05421101	=False	
