Id	SupplierId	ItemId	Code	
=3	=1	=247	[NULL]	
=4	=1	=248	[NULL]	
=5	=1	=249	[NULL]	
=6	=1	=250	[NULL]	
=7	=1	=251	[NULL]	
=8	=1	=252	[NULL]	
=9	=1	=253	[NULL]	
=10	=1	=254	[NULL]	
=11	=1	=256	[NULL]	
=12	=1	=258	[NULL]	
=13	=1	=259	[NULL]	
=14	=1	=260	[NULL]	
=15	=1	=261	[NULL]	
=16	=1	=264	[NULL]	
=17	=1	=267	[NULL]	
=18	=1	=268	[NULL]	
=19	=1	=269	[NULL]	
=20	=1	=272	[NULL]	
=21	=1	=273	[NULL]	
=22	=1	=274	[NULL]	
=23	=1	=275	[NULL]	
=24	=1	=280	[NULL]	
=25	=1	=281	[NULL]	
=26	=1	=282	[NULL]	
=27	=1	=283	[NULL]	
=28	=1	=284	[NULL]	
=29	=1	=285	[NULL]	
=30	=1	=286	[NULL]	
=31	=1	=288	[NULL]	
=32	=1	=289	[NULL]	
=33	=1	=291	[NULL]	
=34	=1	=292	[NULL]	
=35	=1	=296	[NULL]	
=36	=1	=299	[NULL]	
=37	=1	=301	[NULL]	
=38	=1	=308	[NULL]	
=39	=1	=309	[NULL]	
=40	=1	=310	[NULL]	
=41	=1	=311	[NULL]	
=42	=1	=312	[NULL]	
=43	=1	=313	[NULL]	
=44	=1	=316	[NULL]	
=45	=1	=317	[NULL]	
=46	=1	=318	[NULL]	
=47	=1	=319	[NULL]	
=48	=1	=321	[NULL]	
=49	=1	=322	[NULL]	
=50	=1	=324	[NULL]	
=51	=1	=325	[NULL]	
=52	=1	=327	[NULL]	
=53	=1	=329	[NULL]	
=54	=1	=330	[NULL]	
=55	=1	=331	[NULL]	
=56	=1	=336	[NULL]	
=57	=1	=337	[NULL]	
=58	=1	=341	[NULL]	
=59	=1	=343	[NULL]	
=60	=1	=347	[NULL]	
=61	=1	=348	[NULL]	
=62	=1	=350	[NULL]	
=63	=1	=351	[NULL]	
=64	=1	=352	[NULL]	
=65	=1	=353	[NULL]	
=66	=1	=354	[NULL]	
=67	=1	=356	[NULL]	
=68	=1	=357	[NULL]	
=69	=1	=358	[NULL]	
=70	=1	=359	[NULL]	
=71	=1	=364	[NULL]	
=72	=1	=365	[NULL]	
=73	=1	=366	[NULL]	
=74	=1	=367	[NULL]	
=75	=1	=373	[NULL]	
=76	=1	=375	[NULL]	
=77	=1	=376	[NULL]	
=78	=1	=377	[NULL]	
=79	=1	=380	[NULL]	
=80	=1	=381	[NULL]	
=81	=1	=382	[NULL]	
=82	=1	=383	[NULL]	
=83	=1	=384	[NULL]	
=84	=1	=385	[NULL]	
=85	=1	=387	[NULL]	
=86	=1	=389	[NULL]	
=87	=1	=395	[NULL]	
=88	=1	=397	[NULL]	
=89	=1	=400	[NULL]	
=90	=1	=402	[NULL]	
=91	=1	=404	[NULL]	
=92	=1	=405	[NULL]	
=93	=1	=407	[NULL]	
=94	=1	=409	[NULL]	
=95	=1	=411	[NULL]	
=96	=1	=412	[NULL]	
=97	=1	=414	[NULL]	
=98	=1	=415	[NULL]	
=99	=1	=417	[NULL]	
=100	=1	=420	[NULL]	
=101	=1	=421	[NULL]	
=102	=1	=422	[NULL]	
=103	=1	=423	[NULL]	
=104	=1	=425	[NULL]	
=105	=1	=426	[NULL]	
=106	=1	=427	[NULL]	
=107	=1	=430	[NULL]	
=108	=1	=432	[NULL]	
=109	=1	=435	[NULL]	
=110	=1	=437	[NULL]	
=111	=1	=439	[NULL]	
=112	=1	=441	[NULL]	
=113	=1	=444	[NULL]	
=114	=1	=445	[NULL]	
=115	=1	=446	[NULL]	
=116	=1	=447	[NULL]	
=117	=1	=451	[NULL]	
=118	=1	=452	[NULL]	
=119	=1	=453	[NULL]	
=120	=1	=454	[NULL]	
=121	=1	=455	[NULL]	
=122	=1	=456	[NULL]	
=123	=1	=458	[NULL]	
=124	=1	=459	[NULL]	
=125	=1	=467	[NULL]	
=126	=1	=474	[NULL]	
=127	=1	=476	[NULL]	
=128	=1	=477	[NULL]	
=129	=1	=480	[NULL]	
=130	=1	=481	[NULL]	
=131	=1	=486	[NULL]	
=132	=1	=494	[NULL]	
=133	=1	=496	[NULL]	
=134	=1	=498	[NULL]	
=135	=1	=503	[NULL]	
=136	=1	=507	[NULL]	
=137	=1	=512	[NULL]	
=138	=1	=523	[NULL]	
=139	=1	=524	[NULL]	
=140	=1	=525	[NULL]	
=141	=1	=527	[NULL]	
=142	=1	=528	[NULL]	
=143	=1	=530	[NULL]	
=144	=1	=543	[NULL]	
=145	=1	=544	[NULL]	
=146	=1	=549	[NULL]	
=147	=1	=556	[NULL]	
=148	=1	=558	[NULL]	
=149	=1	=561	[NULL]	
=150	=1	=568	[NULL]	
=151	=1	=569	[NULL]	
=152	=1	=570	[NULL]	
=153	=1	=571	[NULL]	
=154	=1	=572	[NULL]	
=155	=1	=573	[NULL]	
=156	=1	=574	[NULL]	
=157	=1	=575	[NULL]	
=158	=1	=577	[NULL]	
=159	=1	=578	[NULL]	
=160	=1	=580	[NULL]	
=161	=1	=583	[NULL]	
=162	=1	=584	[NULL]	
=163	=1	=585	[NULL]	
=164	=1	=586	[NULL]	
=165	=1	=587	[NULL]	
=166	=1	=588	[NULL]	
=167	=1	=589	[NULL]	
=168	=1	=590	[NULL]	
=169	=1	=593	[NULL]	
=170	=1	=594	[NULL]	
=171	=1	=599	[NULL]	
=172	=1	=603	[NULL]	
=173	=1	=604	[NULL]	
=174	=1	=607	[NULL]	
=175	=1	=609	[NULL]	
=176	=1	=610	[NULL]	
=177	=1	=611	[NULL]	
=178	=1	=614	[NULL]	
=179	=1	=615	[NULL]	
=180	=1	=618	[NULL]	
=181	=1	=619	[NULL]	
=182	=1	=622	[NULL]	
=183	=1	=623	[NULL]	
=184	=1	=624	[NULL]	
=185	=1	=625	[NULL]	
=186	=1	=626	[NULL]	
=187	=1	=627	[NULL]	
=188	=1	=631	[NULL]	
=189	=1	=633	[NULL]	
=190	=1	=634	[NULL]	
=191	=1	=635	[NULL]	
=192	=1	=637	[NULL]	
=193	=1	=639	[NULL]	
=194	=1	=649	[NULL]	
=195	=1	=650	[NULL]	
=196	=1	=651	[NULL]	
=197	=1	=652	[NULL]	
=198	=1	=653	[NULL]	
=199	=1	=654	[NULL]	
=200	=1	=655	[NULL]	
=201	=1	=656	[NULL]	
=202	=1	=657	[NULL]	
=203	=1	=658	[NULL]	
=204	=1	=659	[NULL]	
=205	=1	=660	[NULL]	
=206	=1	=661	[NULL]	
=207	=1	=662	[NULL]	
=208	=1	=663	[NULL]	
=209	=1	=664	[NULL]	
=210	=1	=665	[NULL]	
=211	=1	=666	[NULL]	
=212	=1	=667	[NULL]	
=213	=1	=668	[NULL]	
=214	=1	=671	[NULL]	
=215	=1	=672	[NULL]	
=216	=1	=673	[NULL]	
=217	=1	=677	[NULL]	
=218	=1	=678	[NULL]	
=219	=1	=681	[NULL]	
=220	=1	=682	[NULL]	
=221	=1	=685	[NULL]	
=222	=1	=686	[NULL]	
=223	=1	=687	[NULL]	
=224	=1	=692	[NULL]	
=225	=1	=695	[NULL]	
=226	=1	=696	[NULL]	
=227	=1	=697	[NULL]	
=228	=1	=700	[NULL]	
=229	=1	=703	[NULL]	
=230	=1	=705	[NULL]	
=231	=1	=706	[NULL]	
=232	=1	=707	[NULL]	
=233	=1	=711	[NULL]	
=234	=1	=713	[NULL]	
=235	=1	=714	[NULL]	
=236	=1	=715	[NULL]	
=237	=1	=716	[NULL]	
=238	=1	=718	[NULL]	
=239	=1	=719	[NULL]	
=240	=1	=725	[NULL]	
=241	=1	=726	[NULL]	
=242	=1	=727	[NULL]	
=243	=1	=728	[NULL]	
=244	=1	=729	[NULL]	
=245	=1	=730	[NULL]	
=246	=1	=731	[NULL]	
=247	=1	=732	[NULL]	
=248	=1	=733	[NULL]	
=249	=1	=734	[NULL]	
=250	=1	=735	[NULL]	
=251	=1	=736	[NULL]	
=252	=1	=738	[NULL]	
=253	=1	=739	[NULL]	
=254	=1	=745	[NULL]	
=255	=1	=746	[NULL]	
=256	=1	=749	[NULL]	
=257	=1	=752	[NULL]	
