Id	TaxJurisdictionId	ParentTaxJurisdictionId	
=1	=1	=1	
=2	=2	=2	
=3	=2	=7	
=4	=2	=3	
=5	=3	=3	
=6	=4	=4	
=7	=4	=7	
=8	=4	=3	
=9	=5	=5	
=10	=5	=3	
=11	=6	=6	
=12	=6	=5	
=13	=6	=3	
=14	=7	=7	
=15	=7	=3	
=16	=8	=8	
=17	=8	=4	
=18	=8	=7	
=19	=8	=3	
=20	=9	=9	
=21	=9	=8	
=22	=9	=4	
=23	=9	=7	
=24	=9	=3	
=25	=10	=10	
=26	=10	=5	
=27	=10	=3	
=28	=11	=11	
=29	=11	=10	
=30	=11	=5	
=31	=11	=3	
=32	=12	=12	
=33	=12	=11	
=34	=12	=10	
=35	=12	=5	
=36	=12	=3	
=37	=13	=13	
=38	=14	=14	
=39	=15	=15	
=40	=16	=16	
=41	=16	=4	
=42	=16	=7	
=43	=16	=3	
=44	=17	=17	
=45	=18	=18	
=47	=17	=3	
=48	=18	=3	
=49	=18	=17	
