TaxCommissionPeriodId	MachineId	CommissionPlanDetailId	IsNoCommission	RestockId	TaxCommissionRuleId	ItemId	SalesQuantity	AllocatedSalesAmountInCents	AdjustedAllocatedSalesAmountInCents	TaxAmountInCents	DepositAmountInCents	AllocatedRefundAmountInCents	AllocatedCashlessAmountInCents	AllocatedDoNotDeductCashlessAmountInCents	UnitCostInCents	CommissionAmountInCents	AllocatedGuaranteeAmountInCents	
=1	=999946	=57	=False	=16400	=214	=1	=1	=50	=50.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16400	=215	=250	=1	=50	=50.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-20.00000	=0.00000	
=1	=999946	=57	=False	=16458	=214	=1	=9	=450	=450.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16458	=215	=247	=13	=650	=650.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-260.00000	=0.00000	
=1	=999946	=57	=False	=16458	=215	=248	=11	=550	=550.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-220.00000	=0.00000	
=1	=999946	=57	=False	=16458	=215	=250	=9	=450	=450.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-180.00000	=0.00000	
=1	=999946	=57	=False	=16458	=215	=264	=10	=500	=500.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-200.00000	=0.00000	
=1	=999946	=57	=False	=16458	=215	=269	=2	=100	=100.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-40.00000	=0.00000	
=1	=999946	=57	=False	=16705	=214	=348	=3	=600	=600.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16705	=214	=765	=1	=100	=100.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=247	=26	=1300	=1300.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-520.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=248	=44	=2200	=2200.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-880.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=250	=5	=250	=250.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-100.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=264	=15	=750	=750.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-300.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=269	=1	=50	=50.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-20.00000	=0.00000	
=1	=999946	=57	=False	=16705	=215	=725	=5	=250	=250.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-100.00000	=0.00000	
=1	=999946	=57	=False	=16828	=214	=348	=1	=200	=200.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16828	=214	=765	=3	=300	=300.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=247	=21	=1050	=1050.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-420.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=248	=62	=3100	=3100.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1240.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=250	=7	=350	=350.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-140.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=264	=17	=850	=850.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-340.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=269	=11	=550	=550.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-220.00000	=0.00000	
=1	=999946	=57	=False	=16828	=215	=725	=4	=200	=200.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-80.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=348	=0	=386	=386.00000	=29.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=458	=0	=385	=385.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=570	=0	=386	=386.00000	=30.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=571	=0	=386	=386.00000	=29.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=705	=0	=386	=386.00000	=29.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=715	=0	=385	=385.00000	=30.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16157	=1	=718	=0	=386	=386.00000	=30.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=348	=8	=1384	=1384.00000	=106.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=458	=2	=259	=259.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=570	=7	=908	=908.00000	=69.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=571	=5	=649	=649.00000	=50.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=705	=7	=909	=909.00000	=69.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=715	=18	=2336	=2336.00000	=178.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16282	=1	=718	=1	=130	=130.00000	=10.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=348	=16	=3106	=3106.00000	=236.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=458	=5	=728	=728.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=570	=23	=3348	=3348.00000	=256.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=571	=6	=874	=874.00000	=67.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=705	=8	=1165	=1165.00000	=88.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=715	=33	=4805	=4805.00000	=365.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999947	=1	=True	=16630	=1	=718	=8	=1164	=1164.00000	=89.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
